series,cagr_base,cagr_overlay,mdd_base,mdd_overlay,timing_gain,p_vs_random_schedule
equal_weight_universe,0.22263766352378034,0.2547501770874461,-0.2024962546272424,-0.18664251223483408,0.3090460965800057,0.0384807596201899
150.86% Residual 1.25x,0.4237316019915087,0.4180340431971725,-0.18198529364119487,-0.17922915237591397,0.10104790784560458,0.1024487756121939
174.97% Fragile 1.35x,0.3841063819386141,0.4146449396195928,-0.22247501912378398,-0.21403589620198604,0.19264009366340207,0.04847576211894053
ETF Incumbent,0.14604277568643442,0.14430427183323924,-0.4353022422892424,-0.4353022422892424,-0.0010805403654603474,0.41879060469765117
142% Growth / Micron,0.3333525749329689,0.3317636858196924,-0.36301623795578464,-0.3309362237941368,0.05674171981118592,0.2448775612193903
102% Daily-Audited,0.3861720477502413,0.41058736447294986,-0.21473689564444642,-0.2082537286482513,0.16973867409284638,0.04147926036981509
124% Sector Ensemble,0.45411093655651613,0.4511965462372336,-0.21322374374663866,-0.20889727738342545,0.10707553116230262,0.08495752123938032
