state,fwd_weeks,lag_weeks,stock_breadth_feature,stock_spy_lift,stock_n_high,stock_n_low,etf_breadth_feature,etf_spy_lift,etf_n_high,etf_n_low,stock_beats_etf,diagnostic_label
all_states,4,1,pct_above_200d_ma,-0.015147547341603647,545,107,breadth_sma_43,0.0010194402058055375,589,516,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
all_states,13,1,pct_above_200d_ma,-0.026191253980025597,537,107,breadth_sma_43,0.011597189696163464,580,516,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,4,1,pct_above_200d_ma,0.0029210914453628454,221,17,breadth_sma_43,-0.009951626345434705,278,17,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,13,1,pct_above_200d_ma,0.04551379036811082,221,17,breadth_sma_43,-0.004895419918860555,278,17,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,4,1,pct_above_200d_ma,-0.0002482436884045595,254,19,breadth_sma_43,0.003030077288441518,224,266,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,13,1,pct_above_200d_ma,-0.03659782326688474,246,19,breadth_sma_43,0.01818145925780661,216,266,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,4,1,pct_above_200d_ma,,23,0,breadth_sma_43,0.008843201711341621,27,22,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,13,1,pct_above_200d_ma,,23,0,breadth_sma_43,0.02599513389656333,27,22,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,4,1,pct_above_200d_ma,,31,0,breadth_sma_43,0.000264941441518703,39,4,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,13,1,pct_above_200d_ma,,31,0,breadth_sma_43,0.005434962583176946,39,4,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,4,1,pct_above_200d_ma,-0.02875155587809551,16,71,breadth_sma_43,-0.008550380448628086,21,207,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,13,1,pct_above_200d_ma,-0.03103694972705409,16,71,breadth_sma_43,-8.48881975506234e-05,20,207,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
