Date,communication_services_pct_above_200d_ma,communication_services_pct_positive_13w_return,consumer_discretionary_pct_above_200d_ma,consumer_discretionary_pct_positive_13w_return,consumer_staples_pct_above_200d_ma,consumer_staples_pct_positive_13w_return,energy_pct_above_200d_ma,energy_pct_positive_13w_return,financials_pct_above_200d_ma,financials_pct_positive_13w_return,health_care_pct_above_200d_ma,health_care_pct_positive_13w_return,industrials_pct_above_200d_ma,industrials_pct_positive_13w_return,information_technology_pct_above_200d_ma,information_technology_pct_positive_13w_return,materials_pct_above_200d_ma,materials_pct_positive_13w_return,real_estate_pct_above_200d_ma,real_estate_pct_positive_13w_return,utilities_pct_above_200d_ma,utilities_pct_positive_13w_return,diagnostic_label
2005-01-07,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-01-14,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-01-21,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-01-28,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-02-04,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-02-11,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-02-18,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-02-25,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-03-04,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-03-11,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-03-18,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-03-25,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-04-01,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-04-08,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-04-15,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-04-22,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-04-29,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-05-06,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-05-13,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-05-20,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-05-27,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-06-03,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-06-10,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-06-17,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-06-24,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-07-01,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-07-08,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-07-15,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-07-22,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-07-29,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-08-05,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
2005-08-12,,,,,,,,,,,,,,,,,,,,,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
