,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2018-08-17,0.13549752865475173,0.12035205534803144,0.15785501040804042,0.1765400401660286,0.21160203089382376,0.19815333452932404
2018-08-24,0.13549752865475173,0.12035205534803144,0.15785501040804042,0.1765400401660286,0.21160203089382376,0.19815333452932404
2018-08-31,0.14836677898035389,0.17316446005457073,0.1841271090789029,0.1947424296718887,0.2731608805021535,0.02643834171213033
2018-09-07,0.14836677898035389,0.17316446005457073,0.1841271090789029,0.1947424296718887,0.2731608805021535,0.02643834171213033
2018-09-14,0.14836677898035389,0.17316446005457073,0.1841271090789029,0.1947424296718887,0.2731608805021535,0.02643834171213033
2018-09-21,0.14836677898035389,0.17316446005457073,0.1841271090789029,0.1947424296718887,0.2731608805021535,0.02643834171213033
2018-09-28,0.12383921420187104,0.1369425453502476,0.1497873309300867,0.16444586067671163,0.22498504884108314,0.19999999999999984
2018-10-05,0.12383921420187104,0.1369425453502476,0.1497873309300867,0.16444586067671163,0.22498504884108314,0.19999999999999984
2018-10-12,0.12383921420187104,0.1369425453502476,0.1497873309300867,0.16444586067671163,0.22498504884108314,0.19999999999999984
2018-10-19,0.12383921420187104,0.1369425453502476,0.1497873309300867,0.16444586067671163,0.22498504884108314,0.19999999999999984
2018-10-26,0.06094075020896748,0.06401599840958323,0.07379652721415363,0.0866441216307361,0.11460260253655954,0.6
2018-11-02,0.06094075020896748,0.06401599840958323,0.07379652721415363,0.0866441216307361,0.11460260253655954,0.6
2018-11-09,0.06094075020896748,0.06401599840958323,0.07379652721415363,0.0866441216307361,0.11460260253655954,0.6
2018-11-16,0.06094075020896748,0.06401599840958323,0.07379652721415363,0.0866441216307361,0.11460260253655954,0.6
2018-11-23,0.06094075020896748,0.06401599840958323,0.07379652721415363,0.0866441216307361,0.11460260253655954,0.6
2018-11-30,0.04524671973451364,0.04698364792520031,0.09150673186633576,0.10123526955088105,0.11502763092306928,0.5999999999999999
2018-12-07,0.04524671973451364,0.04698364792520031,0.09150673186633576,0.10123526955088105,0.11502763092306928,0.5999999999999999
2018-12-14,0.04524671973451364,0.04698364792520031,0.09150673186633576,0.10123526955088105,0.11502763092306928,0.5999999999999999
2018-12-21,0.04524671973451364,0.04698364792520031,0.09150673186633576,0.10123526955088105,0.11502763092306928,0.5999999999999999
2018-12-28,0.03637033513164313,0.03740394903008581,0.10420270031558494,0.11326999639012565,0.10875301913256051,0.6
