,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2020-08-28,0.13752394190486936,0.22224159116278194,0.14958645905163398,0.22368000000000002,0.20856000000000002,0.05840800788071476
2020-09-04,0.13752394190486936,0.22224159116278194,0.14958645905163398,0.22368000000000002,0.20856000000000002,0.05840800788071476
2020-09-11,0.13752394190486936,0.22224159116278194,0.14958645905163398,0.22368000000000002,0.20856000000000002,0.05840800788071476
2020-09-18,0.13752394190486936,0.22224159116278194,0.14958645905163398,0.22368000000000002,0.20856000000000002,0.05840800788071476
2020-09-25,0.1210766332459463,0.16378583967872595,0.15278719984851372,0.3031810884712983,0.1991692387555157,0.05999999999999994
2020-10-02,0.1210766332459463,0.16378583967872595,0.15278719984851372,0.3031810884712983,0.1991692387555157,0.05999999999999994
2020-10-09,0.1210766332459463,0.16378583967872595,0.15278719984851372,0.3031810884712983,0.1991692387555157,0.05999999999999994
2020-10-16,0.1210766332459463,0.16378583967872595,0.15278719984851372,0.3031810884712983,0.1991692387555157,0.05999999999999994
2020-10-23,0.1210766332459463,0.16378583967872595,0.15278719984851372,0.3031810884712983,0.1991692387555157,0.05999999999999994
2020-10-30,0.11101016387676596,0.12812549184799094,0.1582425392189659,0.35110865308277894,0.19151315197349814,0.060000000000000164
2020-11-06,0.11101016387676596,0.12812549184799094,0.1582425392189659,0.35110865308277894,0.19151315197349814,0.060000000000000164
2020-11-13,0.11101016387676596,0.12812549184799094,0.1582425392189659,0.35110865308277894,0.19151315197349814,0.060000000000000164
2020-11-20,0.11101016387676596,0.12812549184799094,0.1582425392189659,0.35110865308277894,0.19151315197349814,0.060000000000000164
2020-11-27,0.13641363667295178,0.22019048983316292,0.15269450854040212,0.22368000000000002,0.20856000000000002,0.058461364953483086
2020-12-04,0.13641363667295178,0.22019048983316292,0.15269450854040212,0.22368000000000002,0.20856000000000002,0.058461364953483086
2020-12-11,0.13641363667295178,0.22019048983316292,0.15269450854040212,0.22368000000000002,0.20856000000000002,0.058461364953483086
2020-12-18,0.13641363667295178,0.22019048983316292,0.15269450854040212,0.22368000000000002,0.20856000000000002,0.058461364953483086
2020-12-25,0.1371812774585424,0.22023899044446762,0.15189214168185095,0.22368000000000002,0.20856000000000002,0.05844759041513914
2021-01-01,0.1371812774585424,0.22023899044446762,0.15189214168185095,0.22368000000000002,0.20856000000000002,0.05844759041513914
2021-01-08,0.1371812774585424,0.22023899044446762,0.15189214168185095,0.22368000000000002,0.20856000000000002,0.05844759041513914
2021-01-15,0.1371812774585424,0.22023899044446762,0.15189214168185095,0.22368000000000002,0.20856000000000002,0.05844759041513914
2021-01-22,0.1371812774585424,0.22023899044446762,0.15189214168185095,0.22368000000000002,0.20856000000000002,0.05844759041513914
2021-01-29,0.12461011657229278,0.16279621193359042,0.1577911282775182,0.3060916903526227,0.19771741882590796,0.050993434038067886
2021-02-05,0.12461011657229278,0.16279621193359042,0.1577911282775182,0.3060916903526227,0.19771741882590796,0.050993434038067886
2021-02-12,0.12461011657229278,0.16279621193359042,0.1577911282775182,0.3060916903526227,0.19771741882590796,0.050993434038067886
2021-02-19,0.12461011657229278,0.16279621193359042,0.1577911282775182,0.3060916903526227,0.19771741882590796,0.050993434038067886
2021-02-26,0.1172281818349861,0.12769933791290972,0.16100687828071936,0.3556629428508329,0.1905863932128504,0.047816265907701494
2021-03-05,0.1172281818349861,0.12769933791290972,0.16100687828071936,0.3556629428508329,0.1905863932128504,0.047816265907701494
2021-03-12,0.1172281818349861,0.12769933791290972,0.16100687828071936,0.3556629428508329,0.1905863932128504,0.047816265907701494
2021-03-19,0.1172281818349861,0.12769933791290972,0.16100687828071936,0.3556629428508329,0.1905863932128504,0.047816265907701494
2021-03-26,0.20873083397300535,0.07563531026961477,0.17160205926970956,0.45,0.09403179648767032,0.0
2021-04-02,0.20873083397300535,0.07563531026961477,0.17160205926970956,0.45,0.09403179648767032,0.0
2021-04-09,0.20873083397300535,0.07563531026961477,0.17160205926970956,0.45,0.09403179648767032,0.0
2021-04-16,0.20873083397300535,0.07563531026961477,0.17160205926970956,0.45,0.09403179648767032,0.0
2021-04-23,0.20873083397300535,0.07563531026961477,0.17160205926970956,0.45,0.09403179648767032,0.0
2021-04-30,0.2081263937890873,0.07574211262323913,0.17189799737726874,0.45,0.09423349621040483,0.0
2021-05-07,0.2081263937890873,0.07574211262323913,0.17189799737726874,0.45,0.09423349621040483,0.0
2021-05-14,0.2081263937890873,0.07574211262323913,0.17189799737726874,0.45,0.09423349621040483,0.0
2021-05-21,0.2081263937890873,0.07574211262323913,0.17189799737726874,0.45,0.09423349621040483,0.0
2021-05-28,0.20568613857421778,0.07565702156457411,0.17437542886107504,0.45,0.09428141100013307,0.0
2021-06-04,0.20568613857421778,0.07565702156457411,0.17437542886107504,0.45,0.09428141100013307,0.0
2021-06-11,0.20568613857421778,0.07565702156457411,0.17437542886107504,0.45,0.09428141100013307,0.0
2021-06-18,0.20568613857421778,0.07565702156457411,0.17437542886107504,0.45,0.09428141100013307,0.0
2021-06-25,0.20500335961811106,0.07464378403607712,0.1765988547452195,0.45,0.09375400160059232,0.0
2021-07-02,0.20500335961811106,0.07464378403607712,0.1765988547452195,0.45,0.09375400160059232,0.0
2021-07-09,0.20500335961811106,0.07464378403607712,0.1765988547452195,0.45,0.09375400160059232,0.0
2021-07-16,0.20500335961811106,0.07464378403607712,0.1765988547452195,0.45,0.09375400160059232,0.0
2021-07-23,0.20500335961811106,0.07464378403607712,0.1765988547452195,0.45,0.09375400160059232,0.0
2021-07-30,0.11194566853832102,0.07685383850136351,0.17640500825125363,0.45,0.18479548470906182,0.0
