,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2018-08-03,0.24215339277923598,0.0,0.0,0.04498764660637057,0.0,0.07259076328665812,0.1256302572730654,0.0,0.0,0.0575233187515558,0.03959071959922426,0.0,0.19242934846008597,0.02160077737744077,0.0,0.0,0.11479830843426062,0.0,0.020357777971442895,0.0,0.0,0.0,0.0683376894606597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-10,0.24215339277923587,0.0,0.0,0.04498764660637057,0.0,0.07259076328665812,0.1256302572730654,0.0,0.0,0.0658764196958799,0.03959071959922426,0.0,0.18405506722145354,0.024617922247618773,0.0,0.0,0.11992224383811266,0.0,0.008586429058355311,0.0,0.0,0.0,0.07198913839402554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-17,0.24215339277923587,0.0,0.0,0.04498764660637057,0.0,0.07259076328665812,0.1256302572730654,0.0,0.0,0.06616982499286563,0.03959071959922426,0.0,0.17361839690438696,0.03394956489715332,0.0,0.0,0.1236815990498007,0.0,0.009193912491197768,0.0,0.0,0.0,0.06843392212004142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-24,0.24215339277923587,0.0,0.0,0.04498764660637057,0.0,0.07259076328665812,0.13471112096403157,0.0,0.0,0.06855008868124067,0.03959071959922426,0.0,0.17061790387943598,0.03441948868777156,0.0,0.0,0.12385887096950685,0.0,0.0,0.0,0.0,0.0,0.06852000454652458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-31,0.08006072077092563,0.0,0.0,0.05855983376314473,0.0,0.0,0.12817355526436344,0.0,0.0,0.09682583963917474,0.034504516109117894,0.0,0.1922860321091456,0.05367978406556897,0.0,0.0,0.1613831639197185,0.0,0.08824399912692377,0.0,0.0,0.0,0.10628255523191665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07,0.08006072077092563,0.0,0.0,0.05855983376314473,0.0,0.0,0.12817355526436344,0.0,0.0,0.09206478380299746,0.034504516109117894,0.0,0.18673338902750816,0.05428025895650646,0.0,0.0,0.15616542463484534,0.0,0.08824399912692377,0.0,0.0,0.0,0.12121351854366708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-14,0.08006072077092563,0.0,0.0,0.05855983376314473,0.0,0.0,0.14102291745923218,0.0,0.0,0.09200310358347279,0.034504516109117894,0.0,0.19944703250787935,0.04562857928098572,0.0,0.0,0.15360837631333674,0.0,0.08824399912692377,0.0,0.0,0.0,0.10692092108498119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-21,0.08006072077092563,0.0,0.0,0.05855983376314473,0.0,0.0,0.12817355526436344,0.0,0.0,0.09364472692978869,0.034504516109117894,0.0,0.19027678552469812,0.048502287675870184,0.0,0.0,0.1659245622702779,0.0,0.08824399912692377,0.0,0.0,0.0,0.11210901256488959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-28,0.24336697807497976,0.0,0.0,0.0,0.0,0.0,0.1200045516998503,0.0,0.0,0.06925326268239732,0.031770183831530074,0.0,0.17085000923478524,0.03889567685827979,0.0,0.0,0.14288280593031505,0.0,0.0,0.0,0.0,0.0,0.18297653168786246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05,0.24336697807497976,0.0,0.0,0.0,0.0,0.0,0.1200045516998503,0.0,0.0,0.06507257076906053,0.031770183831530074,0.0,0.1709984686204143,0.04214328331806904,0.0,0.0,0.14914092404502666,0.0,0.0,0.0,0.0,0.0,0.1775030396410693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12,0.24336697807497987,0.0,0.0,0.0,0.0,0.0,0.1200045516998503,0.0,0.0,0.06353668744804497,0.031770183831530074,0.0,0.1724938741684226,0.049527509168315456,0.0,0.0,0.14257780495853206,0.0,0.0,0.0,0.0,0.0,0.17672241065032476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-19,0.24336697807497987,0.0,0.0,0.0,0.0,0.0,0.13096271016108738,0.0,0.0,0.06317731008122146,0.031770183831530074,0.0,0.1718427096148341,0.04027979382867552,0.0,0.0,0.13855077317954548,0.0,0.0,0.0,0.0,0.0,0.18004954122812616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-26,0.658077979126504,0.0,0.0,0.0,0.0,0.0,0.0530538388957238,0.0,0.0,0.020742397501241766,0.016746137133240923,0.0,0.07957603158427506,0.018771780901993728,0.0,0.0,0.06891249767515165,0.0,0.0,0.0,0.0,0.0,0.08411933718186909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-02,0.658077979126504,0.0,0.0,0.0,0.0,0.0,0.06214167180335643,0.0,0.0,0.017631587021789345,0.016746137133240923,0.0,0.08333842975956882,0.01562117323450528,0.0,0.0,0.06502215911005911,0.0,0.0,0.0,0.0,0.0,0.0814208628109761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-09,0.658077979126504,0.0,0.0,0.0,0.0,0.0,0.0638488952654587,0.0,0.0,0.014971896357030362,0.016746137133240923,0.0,0.08606386146572804,0.017649906921276996,0.0,0.0,0.06792387998119218,0.0,0.0,0.0,0.0,0.0,0.0747174437495688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-16,0.6580779791265039,0.0,0.0,0.0,0.0,0.0,0.07356681932693153,0.0,0.0,0.008848881537106447,0.016746137133240923,0.0,0.08953692827585483,0.016008274720491704,0.0,0.0,0.06249753613030179,0.0,0.0,0.0,0.0,0.0,0.0747174437495688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-23,0.658077979126504,0.0,0.0,0.0,0.0,0.0,0.07175330892939953,0.0,0.0,0.007818189497798618,0.016746137133240923,0.0,0.09219391662904598,0.015647847895088652,0.0,0.0,0.060287124730751415,0.0,0.0,0.0,0.0,0.0,0.07747549605817088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-30,0.6668585052479881,0.0,0.0,0.0,0.0,0.0,0.07618756164423368,0.0,0.0,0.0,0.030855069563173063,0.0,0.05802419642185808,0.0015621976009543236,0.0,0.0,0.015892252782018047,0.0,0.030855069563173063,0.0,0.0,0.0,0.11976514717660172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-07,0.6668585052479881,0.0,0.0,0.0,0.0,0.0,0.07641444782510083,0.0,0.0,0.0,0.030855069563173063,0.0,0.04674732234519111,0.00397647566897993,0.0,0.0,0.02314264544706881,0.0,0.030855069563173063,0.0,0.0,0.0,0.12115046433932518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-14,0.6668585052479881,0.0,0.0,0.0,0.0,0.0,0.06724460900115928,0.0,0.0,0.0,0.033954883670203356,0.0,0.04674732234519111,0.00523733523403949,0.0,0.0,0.023747065341266117,0.0,0.030855069563173063,0.0,0.0,0.0,0.12535520959697957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-21,0.6668585052479881,0.0,0.0,0.0,0.0,0.0038999544683972994,0.059541330535224944,0.0,0.0,0.0,0.04279526106876492,0.0,0.04674732234519111,0.0007002714129772404,0.0,0.0,0.021747096463712808,0.0,0.030855069563173063,0.0,0.0,0.0,0.1268551888945706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-28,0.6994777512099092,0.0,0.0,0.0,0.0,0.012306688941060805,0.04621103225815219,0.0,0.0,0.0,0.047756078143479846,0.0,0.03543398006956445,0.0,0.0,0.0,0.0019804427642020075,0.0,0.1113063839793218,0.0,0.0,0.0,0.04552764263430972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04,0.6994777512099092,0.0,0.0,0.0,0.0,0.009996383071975314,0.0455091141938477,0.0,0.0,0.0,0.03543398006956445,0.0,0.03543398006956445,0.0057428455052408005,0.0,0.0,0.00857645423960793,0.0,0.10852097988054435,0.0,0.0,0.0,0.05130851175974582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
