,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2011-03-04,0.18864360346542902,0.11521423687110441,0.21052975487729605,0.08216505623961658,0.27635036758797454,0.12709698095857944,0.0
2011-03-11,0.18864360346542902,0.11521423687110441,0.21052975487729605,0.08216505623961658,0.27635036758797454,0.12709698095857944,0.0
2011-03-18,0.18864360346542902,0.11521423687110441,0.21052975487729605,0.08216505623961658,0.27635036758797454,0.12709698095857944,0.0
2011-03-25,0.18700934142298928,0.11203870474992073,0.21148803215244177,0.0897968853013953,0.27267263128656427,0.12699440508668866,0.0
2011-04-01,0.18700934142298928,0.11203870474992073,0.21148803215244177,0.0897968853013953,0.27267263128656427,0.12699440508668866,0.0
2011-04-08,0.18700934142298928,0.11203870474992073,0.21148803215244177,0.0897968853013953,0.27267263128656427,0.12699440508668866,0.0
2011-04-15,0.18700934142298928,0.11203870474992073,0.21148803215244177,0.0897968853013953,0.27267263128656427,0.12699440508668866,0.0
2011-04-22,0.18700934142298928,0.11203870474992073,0.21148803215244177,0.0897968853013953,0.27267263128656427,0.12699440508668866,0.0
2011-04-29,0.18235669723882791,0.11123481106448231,0.21232478215341574,0.09225252813033669,0.27315607556425453,0.1286751058486828,0.0
2011-05-06,0.18235669723882791,0.11123481106448231,0.21232478215341574,0.09225252813033669,0.27315607556425453,0.1286751058486828,0.0
2011-05-13,0.18235669723882791,0.11123481106448231,0.21232478215341574,0.09225252813033669,0.27315607556425453,0.1286751058486828,0.0
2011-05-20,0.18235669723882791,0.11123481106448231,0.21232478215341574,0.09225252813033669,0.27315607556425453,0.1286751058486828,0.0
2011-05-27,0.18146631319344847,0.11012556987126676,0.21184589003349952,0.09400985115924032,0.2743520025118598,0.12820037323068512,0.0
2011-06-03,0.18146631319344847,0.11012556987126676,0.21184589003349952,0.09400985115924032,0.2743520025118598,0.12820037323068512,0.0
2011-06-10,0.18146631319344847,0.11012556987126676,0.21184589003349952,0.09400985115924032,0.2743520025118598,0.12820037323068512,0.0
