,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2016-03-11,0.046703488072453864,0.03384035017545955,0.0827775901404188,0.035938891031702384,0.10300641117517638,0.09773326940478903,0.6
2016-03-18,0.046703488072453864,0.03384035017545955,0.0827775901404188,0.035938891031702384,0.10300641117517638,0.09773326940478903,0.6
2016-03-25,0.09150306979509987,0.0668392842349116,0.17621938220615718,0.08514117889451252,0.18900456152387157,0.20251309847284105,0.18877942487260624
2016-04-01,0.09150306979509987,0.0668392842349116,0.17621938220615718,0.08514117889451252,0.18900456152387157,0.20251309847284105,0.18877942487260624
2016-04-08,0.09150306979509987,0.0668392842349116,0.17621938220615718,0.08514117889451252,0.18900456152387157,0.20251309847284105,0.18877942487260624
2016-04-15,0.09150306979509987,0.0668392842349116,0.17621938220615718,0.08514117889451252,0.18900456152387157,0.20251309847284105,0.18877942487260624
2016-04-22,0.09150306979509987,0.0668392842349116,0.17621938220615718,0.08514117889451252,0.18900456152387157,0.20251309847284105,0.18877942487260624
2016-04-29,0.10195515772622517,0.08968461271917555,0.20987506061065492,0.1551815166133654,0.1999821416245777,0.2117677578806824,0.031553752825318915
2016-05-06,0.10195515772622517,0.08968461271917555,0.20987506061065492,0.1551815166133654,0.1999821416245777,0.2117677578806824,0.031553752825318915
2016-05-13,0.10195515772622517,0.08968461271917555,0.20987506061065492,0.1551815166133654,0.1999821416245777,0.2117677578806824,0.031553752825318915
2016-05-20,0.10195515772622517,0.08968461271917555,0.20987506061065492,0.1551815166133654,0.1999821416245777,0.2117677578806824,0.031553752825318915
2016-05-27,0.08643104359952106,0.16036565795292132,0.12130441096838028,0.2701006794297318,0.14322169371354884,0.15795328167380068,0.060623232662095905
2016-06-03,0.08643104359952106,0.16036565795292132,0.12130441096838028,0.2701006794297318,0.14322169371354884,0.15795328167380068,0.060623232662095905
2016-06-10,0.08643104359952106,0.16036565795292132,0.12130441096838028,0.2701006794297318,0.14322169371354884,0.15795328167380068,0.060623232662095905
2016-06-17,0.08643104359952106,0.16036565795292132,0.12130441096838028,0.2701006794297318,0.14322169371354884,0.15795328167380068,0.060623232662095905
2016-06-24,0.09913213608358418,0.13831610498135483,0.169545313402606,0.2267212938163196,0.14995718533747,0.16603471200583356,0.05029325437283194
2016-07-01,0.09913213608358418,0.13831610498135483,0.169545313402606,0.2267212938163196,0.14995718533747,0.16603471200583356,0.05029325437283194
