outer_year,test_start,maximum_training_decision_date,maximum_training_label_end_date,embargo_pass,train_rows,test_rows,test_months,real_mean_rank_ic,real_positive_month_share,family_weights,selected_configs
2012,2012-01-01,2011-12-02,2011-12-30,True,849,156,12,-0.03205128205128207,0.5,"{""elastic_net"": 0.32545383723237414, ""hist_gradient_boosting"": 0.40230476235977314, ""ridge"": 0.27224140040785266}","{""elastic_net"": ""elastic_net-6b25c811b04b"", ""hist_gradient_boosting"": ""hist_gradient_boosting-45604b4d380a"", ""ridge"": ""ridge-4979b3f4e21b""}"
2013,2013-01-01,2012-11-02,2012-11-30,True,992,156,12,0.021062271062271053,0.5,"{""elastic_net"": 0.30016634737074843, ""hist_gradient_boosting"": 0.407502677880683, ""ridge"": 0.2923309747485686}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-b5965c32b010"", ""ridge"": ""ridge-4979b3f4e21b""}"
2014,2014-01-01,2013-11-01,2013-11-29,True,1148,156,12,0.05357142857142857,0.5833333333333334,"{""elastic_net"": 0.3585058593118783, ""hist_gradient_boosting"": 0.2912833174973553, ""ridge"": 0.35021082319076635}","{""elastic_net"": ""elastic_net-317772f571b5"", ""hist_gradient_boosting"": ""hist_gradient_boosting-eaf6eaa896f1"", ""ridge"": ""ridge-89a1e12a82c0""}"
2015,2015-01-01,2014-11-07,2014-12-05,True,1304,157,12,0.03800366300366299,0.4166666666666667,"{""elastic_net"": 0.4737309229438849, ""hist_gradient_boosting"": 0.0937001893098371, ""ridge"": 0.43256888774627794}","{""elastic_net"": ""elastic_net-3fd68254e0b3"", ""hist_gradient_boosting"": ""hist_gradient_boosting-32c7924dc1d4"", ""ridge"": ""ridge-4979b3f4e21b""}"
2016,2016-01-01,2015-11-06,2015-12-04,True,1460,168,12,-0.17032967032967036,0.3333333333333333,"{""elastic_net"": 0.5004342592067365, ""hist_gradient_boosting"": 0.025331366876548085, ""ridge"": 0.4742343739167155}","{""elastic_net"": ""elastic_net-3fd68254e0b3"", ""hist_gradient_boosting"": ""hist_gradient_boosting-60bbffbde328"", ""ridge"": ""ridge-4979b3f4e21b""}"
2017,2017-01-01,2016-12-02,2016-12-30,True,1642,168,12,0.15164835164835164,0.5833333333333334,"{""elastic_net"": 0.3333333333333333, ""hist_gradient_boosting"": 0.3333333333333333, ""ridge"": 0.3333333333333333}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-70a06d145a5c"", ""ridge"": ""ridge-4979b3f4e21b""}"
2018,2018-01-01,2017-12-01,2017-12-29,True,1810,168,12,0.005860805860805858,0.5,"{""elastic_net"": 0.0, ""hist_gradient_boosting"": 0.6, ""ridge"": 0.3999999999999999}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-70a06d145a5c"", ""ridge"": ""ridge-4979b3f4e21b""}"
2019,2019-01-01,2018-11-02,2018-11-30,True,1964,168,12,0.05311355311355311,0.6666666666666666,"{""elastic_net"": 0.06595649195738969, ""hist_gradient_boosting"": 0.6, ""ridge"": 0.3340435080426104}","{""elastic_net"": ""elastic_net-6da92d318c10"", ""hist_gradient_boosting"": ""hist_gradient_boosting-bde3027f9824"", ""ridge"": ""ridge-4979b3f4e21b""}"
2020,2020-01-01,2019-11-01,2019-11-29,True,2132,168,12,0.09706959706959707,0.6666666666666666,"{""elastic_net"": 0.2558239306705565, ""hist_gradient_boosting"": 0.4125404248103634, ""ridge"": 0.3316356445190801}","{""elastic_net"": ""elastic_net-dd2ae2029359"", ""hist_gradient_boosting"": ""hist_gradient_boosting-3419fe28ba79"", ""ridge"": ""ridge-4979b3f4e21b""}"
2021,2021-01-01,2020-11-06,2020-12-04,True,2300,168,12,0.21355311355311357,0.8333333333333334,"{""elastic_net"": 0.3404250701600422, ""hist_gradient_boosting"": 0.2967691792258453, ""ridge"": 0.36280575061411247}","{""elastic_net"": ""elastic_net-21fb87de1b2f"", ""hist_gradient_boosting"": ""hist_gradient_boosting-9b8526324067"", ""ridge"": ""ridge-48bf3ac658e3""}"
