version,state,n_weeks,avg_composite_regime_offense_component,avg_composite_regime_defense_component,avg_composite_regime_cash_component,avg_dual_momentum_topn,avg_cta_trend_long_only,avg_composite_selective_signals,avg_taa_10m_sma,avg_composite_regime_conditioned,avg_cash::BIL,avg_offensive_total,avg_defensive_total,avg_explicit_cash
improved_phase2b_regime_confidence_boost,calm_trend,295,,,,0.14330353236654286,0.12623478929714274,0.21651682795945143,0.16945186108466728,0.31097656350895186,0.033516425783243604,0.4860551496231372,0.16945186108466728,0.033516425783243604
improved_phase2b_regime_confidence_boost,neutral_mixed,493,,,,0.10428851330811155,0.1046007732383055,0.1841069762376296,0.13471812498752503,0.24904237860585532,0.2232432336225728,0.39299626278404665,0.13471812498752503,0.2232432336225728
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,,,,0.08777399532253198,0.1083563731050289,0.23107260197421764,0.17788775316154726,0.3310716607801548,0.06383761565651912,0.42720297040177857,0.17788775316154726,0.06383761565651912
improved_phase2b_regime_confidence_boost,recovery_fragile,49,,,,0.14373837251295407,0.1245680607289731,0.19013151490391494,0.1390698256782358,0.2789790554315232,0.12351317074439862,0.45843794814584216,0.1390698256782358,0.12351317074439862
improved_phase2b_regime_confidence_boost,stressed_panic,229,,,,0.06352459002926245,0.061951185505940795,0.11643545196606989,0.07616459990740157,0.17259945067106483,0.5093247219202602,0.2419112275012731,0.07616459990740157,0.5093247219202602
improved_phase2b_combo_abc,calm_trend,295,,,,0.14311191510335447,0.12602796190599758,0.21612379017881367,0.16917476156035796,0.3106204737215011,0.03494109752997501,0.4852636671881657,0.16917476156035796,0.03494109752997501
improved_phase2b_combo_abc,neutral_mixed,493,,,,0.10405971546615377,0.10443222043496797,0.18349019904812033,0.13457205237246883,0.2483186861169072,0.22512712656138165,0.3919821349492421,0.13457205237246883,0.22512712656138165
improved_phase2b_combo_abc,recovery_confirmed,44,,,,0.08779848956334353,0.1081063120110589,0.23081316339815203,0.17787439077091516,0.33167395728986526,0.0637336869666649,0.4267179649725545,0.17787439077091516,0.0637336869666649
improved_phase2b_combo_abc,recovery_fragile,49,,,,0.1423349188054023,0.12295511463965134,0.1875103952913514,0.13787432513833636,0.27470801973963593,0.1346172263856224,0.4528004287364051,0.13787432513833636,0.1346172263856224
improved_phase2b_combo_abc,stressed_panic,229,,,,0.06353534858663604,0.06194148757643729,0.11636745672176453,0.07612100785955561,0.172517080932012,0.5095176183235942,0.2418442928848379,0.07612100785955561,0.5095176183235942
improved_phaseyy_conservative_decomposition,calm_trend,295,0.07870512044233219,0.29392901870348165,,0.12493726881616747,0.10978482993602827,0.2055038061729822,0.15170198149912117,,0.03543797442988676,0.5189310253675101,0.44563100020260293,0.03543797442988676
improved_phaseyy_conservative_decomposition,neutral_mixed,493,0.09085229077170395,0.215583740536689,,0.09404566139270665,0.09994608337096461,0.15660301812369556,0.11607472726074823,,0.22689447854349162,0.4414470536590707,0.33165846779743724,0.22689447854349162
