version,state,n_weeks,avg_composite_regime_offense_component,avg_composite_regime_defense_component,avg_composite_regime_cash_component,avg_dual_momentum_topn,avg_cta_trend_long_only,avg_composite_selective_signals,avg_taa_10m_sma,avg_composite_regime_conditioned,avg_cash::BIL,avg_offensive_total,avg_defensive_total,avg_explicit_cash
improved_phaseyy_conservative_decomposition,recovery_confirmed,44,0.1356173140977424,0.22878834491376224,,0.10831920281211307,0.13475949447715255,0.1766476616962089,0.14300095754871248,,0.0728670244543081,0.5553436730832169,0.37178930246247466,0.0728670244543081
improved_phaseyy_conservative_decomposition,recovery_fragile,49,0.10476527885477889,0.25743777263619694,,0.1015918052373174,0.11365426732318538,0.15893855589626302,0.13408417801309813,,0.12952814203916,0.4789499073115447,0.39152195064929507,0.12952814203916
improved_phaseyy_conservative_decomposition,stressed_panic,229,0.04551717464444179,0.15219519142193222,,0.05455457862910201,0.06004825820347909,0.10475057504575926,0.07369778115100785,,0.5092364409042774,0.26487058652278217,0.22589297257294008,0.5092364409042774
improved_phasezz_recovery_neutral_offense_rebudget,calm_trend,295,0.08151292092729534,0.2907514817543049,,0.12579887932350894,0.110846206447829,0.20545937493422847,0.14996574831989884,,0.03566538829293427,0.5236173816328618,0.44071723007420377,0.03566538829293427
improved_phasezz_recovery_neutral_offense_rebudget,neutral_mixed,493,0.10284085479122615,0.20197050606676237,,0.0980047544424,0.10442815922196706,0.1566246933538291,0.10839248659577981,,0.22773854552803524,0.4618984618094223,0.3103629926625422,0.22773854552803524
improved_phasezz_recovery_neutral_offense_rebudget,recovery_confirmed,44,0.16361945524564667,0.20104487419718764,,0.1144268320211831,0.14316123821906548,0.17345479352198653,0.12551954293959458,,0.07877326385533566,0.5946623190078819,0.32656441713678225,0.07877326385533566
improved_phasezz_recovery_neutral_offense_rebudget,recovery_fragile,49,0.12522643281081292,0.23612652764759687,,0.10543619805929581,0.12031540492564606,0.15842917209038404,0.12362748087878406,,0.13083878358747997,0.5094072078861388,0.3597540085263809,0.13083878358747997
improved_phasezz_recovery_neutral_offense_rebudget,stressed_panic,229,0.04845549729753471,0.14887796062010442,,0.0555670453196173,0.06118180529577465,0.10480602033204006,0.07187666236464126,,0.5092350087702873,0.2700103682449667,0.2207546229847457,0.5092350087702873
improved_phaseaaa_confirmed_offense_mix_tilt,calm_trend,295,0.08200374161771502,0.2907373171688104,,0.12548839555191535,0.11194911730966399,0.20414693682375595,0.14995650035226413,,0.03571799117587488,0.5235881913030502,0.44069381752107467,0.03571799117587488
improved_phaseaaa_confirmed_offense_mix_tilt,neutral_mixed,493,0.10470503998148903,0.20191477761293533,,0.09689794571935581,0.10814192406122651,0.15202597219275246,0.10835719342722021,,0.2279571470050204,0.4617708819548238,0.3102719710401555,0.2279571470050204
improved_phaseaaa_confirmed_offense_mix_tilt,recovery_confirmed,44,0.17471365321490478,0.20065344970575402,,0.10704957242768627,0.16701676508193236,0.14482029627063775,0.12526633058462808,,0.08047993271445647,0.5936002869951612,0.325919780290382,0.08047993271445647
improved_phaseaaa_confirmed_offense_mix_tilt,recovery_fragile,49,0.12600656384773803,0.23612354089013202,,0.10492039550775852,0.12183549576988195,0.15665564229551687,0.12362557973221594,,0.13083278195675635,0.5094180974208954,0.3597491206223479,0.13083278195675635
improved_phaseaaa_confirmed_offense_mix_tilt,stressed_panic,229,0.0484802436523535,0.14887765114023876,,0.05555162233106206,0.06123110621988545,0.10474804291613375,0.07187643498356812,,0.5092348987567581,0.2700110151194348,0.2207540861238069,0.5092348987567581
improved_phasebbb_stronger_confirmed_offense_mix,calm_trend,295,0.08245040653320136,0.2907296059047141,,0.12540438879336593,0.11220101834290014,0.2035116814370126,0.1499514948242996,,0.03575140416450604,0.52356749510648,0.44068110072901373,0.03575140416450604
improved_phasebbb_stronger_confirmed_offense_mix,neutral_mixed,493,0.10634537423741386,0.20188518173723136,,0.09657224633389905,0.10900724206530608,0.14976198141911218,0.10833838905458339,,0.2280895851524538,0.4616868440557312,0.3102235707918148,0.2280895851524538
improved_phasebbb_stronger_confirmed_offense_mix,recovery_confirmed,44,0.1846638334515367,0.2004325930422409,,0.1047786535903596,0.172574954814752,0.13090643008286598,0.12512374595263256,,0.08151978906561202,0.5929238719395143,0.32555633899487346,0.08151978906561202
improved_phasebbb_stronger_confirmed_offense_mix,recovery_fragile,49,0.12670475058083291,0.23612315039724802,,0.1047579129041806,0.12212928090981265,0.1558275767422547,0.12362533117364223,,0.1308319972920286,0.5094195211370809,0.35974848157089023,0.1308319972920286
improved_phasebbb_stronger_confirmed_offense_mix,stressed_panic,229,0.04850215296242913,0.14887758985896507,,0.05554698529610965,0.061241908373427856,0.10472010268186083,0.0718763884905025,,0.5092348723367046,0.2700111493138275,0.22075397834946758,0.5092348723367046
improved_phasebbb_composite_offense_component_tilt,calm_trend,295,0.08345788062143925,0.29072133856657806,,0.12492965746268166,0.11155740370421119,0.2035738429676265,0.14994637175398356,,0.03581350492347955,0.5235187847559586,0.44066771032056157,0.03581350492347955
improved_phasebbb_composite_offense_component_tilt,neutral_mixed,493,0.10960866401401513,0.20185744803002467,,0.09501531325050656,0.10684509318051592,0.15004684702929902,0.10832036791688086,,0.22830626657875752,0.4615159174743366,0.3101778159469055,0.22830626657875752
improved_phasebbb_composite_offense_component_tilt,recovery_confirmed,44,0.2058674321313769,0.20014420212905132,,0.09481261349961684,0.15857847712090123,0.13233849307352535,0.12493917620577086,,0.08331960583975721,0.5915970158254203,0.32508337833482215,0.08331960583975721
improved_phasebbb_composite_offense_component_tilt,recovery_fragile,49,0.12821469747350275,0.23612782770166565,,0.10408460811564477,0.12122985754405584,0.15587330484833214,0.12362830839608019,,0.1308413959207184,0.5094024679815355,0.3597561360977458,0.1308413959207184
improved_phasebbb_composite_offense_component_tilt,stressed_panic,229,0.04854710389967875,0.14887802642559558,,0.055526273166537264,0.06121357608058159,0.10472329775464491,0.07187670585290178,,0.5092350168200598,0.27001025090144254,0.2207547322784974,0.5092350168200598
improved_phasebbb_offense_defense_composition_combo,calm_trend,295,0.08377599521885327,0.2911237855673015,,0.12485556957973361,0.1116519195322042,0.20324179302569623,0.14953802574479685,,0.03581291133141414,0.5235252773564874,0.4406618113120983,0.03581291133141414
improved_phasebbb_offense_defense_composition_combo,neutral_mixed,493,0.11074936101111107,0.20308134199606562,,0.09474785203302234,0.10717775305719422,0.1488679670604648,0.1070813639588671,,0.22829436088327462,0.46154293316179246,0.3101627059549326,0.22829436088327462
improved_phasebbb_offense_defense_composition_combo,recovery_confirmed,44,0.21295663332269713,0.21178584174669088,,0.09303264249665451,0.16075407523347277,0.1250943310110044,0.11322351983732397,,0.08315295635215615,0.5918376820638288,0.3250093615840149,0.08315295635215615
improved_phasebbb_offense_defense_composition_combo,recovery_fragile,49,0.12869997655698992,0.23680984818608886,,0.10395046603462159,0.1213251097900579,0.1554336029602091,0.1229352179411577,,0.13084577853087462,0.5094091553418785,0.35974506612724655,0.13084577853087462
improved_phasebbb_offense_defense_composition_combo,stressed_panic,229,0.04856237325128397,0.14890384790451078,,0.0555224583333925,0.061217560207019565,0.10470873617403358,0.07184991264731186,,0.5092351114824474,0.2700111279657296,0.22075376055182264,0.5092351114824474
improved_phasebbb_conservative_confirmed_composition,calm_trend,295,0.08284295359787344,0.2907274614941004,,0.12518790357620843,0.11181616691340912,0.2037014933023264,0.1499502239750824,,0.03577379714099956,0.5235485173898174,0.44067768546918284,0.03577379714099956
improved_phasebbb_conservative_confirmed_composition,neutral_mixed,493,0.10756965381622023,0.20187902497022767,,0.09587446816623885,0.1077094452260309,0.15046989806955285,0.10833427791435057,,0.22816323183737866,0.4616234652780428,0.31021330288457816,0.22816323183737866
improved_phasebbb_conservative_confirmed_composition,recovery_confirmed,44,0.19280512315940257,0.20034663786613177,,0.10035591646893378,0.16418271740879326,0.13509623379649094,0.12506905728169235,,0.08214431401855507,0.5924399908336205,0.32541569514782415,0.08214431401855507
improved_phasebbb_conservative_confirmed_composition,recovery_fragile,49,0.12728491467558647,0.2361255860210511,,0.10446198853623424,0.12160623288342343,0.15605750489914433,0.12362688150968826,,0.13083689147487196,0.5094106409943884,0.35975246753073925,0.13083689147487196
improved_phasebbb_conservative_confirmed_composition,stressed_panic,229,0.04851913772671366,0.1488778233520235,,0.055537794113039836,0.061225047593802914,0.10472868736262109,0.07187655871218372,,0.5092349511396149,0.2700106667961775,0.2207543820642072,0.5092349511396149
