artifact,cutoff,maximum_prefix_difference,missingness_differences,label_differences,prefix_pass
regime_score,2023-12-29,0.0,0,0,True
regime_states,2023-12-29,0.0,0,0,True
market_state_history,2023-12-29,0.0,0,0,True
causal_meta_predictions,2023-12-29,0.0,0,0,True
regime_score,2024-12-27,0.0,0,0,True
regime_states,2024-12-27,0.0,0,0,True
market_state_history,2024-12-27,0.0,0,0,True
causal_meta_predictions,2024-12-27,0.0,0,0,True
regime_score,2025-12-26,0.0,0,0,True
regime_states,2025-12-26,0.0,0,0,True
market_state_history,2025-12-26,0.0,0,0,True
causal_meta_predictions,2025-12-26,0.0,0,0,True
