security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership
yahoo-ticker:BIL,BIL,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:21:51.792851+00:00,yfinance-1.5.2:2026-08-09T00:21:51.792851+00:00,false
yahoo-ticker:DBA,DBA,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:21:54.452228+00:00,yfinance-1.5.2:2026-08-09T00:21:54.452228+00:00,false
yahoo-ticker:EEM,EEM,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:21:57.269246+00:00,yfinance-1.5.2:2026-08-09T00:21:57.269246+00:00,false
yahoo-ticker:EFA,EFA,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:00.524775+00:00,yfinance-1.5.2:2026-08-09T00:22:00.524775+00:00,false
yahoo-ticker:EWJ,EWJ,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:02.791040+00:00,yfinance-1.5.2:2026-08-09T00:22:02.791040+00:00,false
yahoo-ticker:GLD,GLD,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:05.057024+00:00,yfinance-1.5.2:2026-08-09T00:22:05.057024+00:00,false
yahoo-ticker:HYG,HYG,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:06.593250+00:00,yfinance-1.5.2:2026-08-09T00:22:06.593250+00:00,false
yahoo-ticker:IAU,IAU,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:11.258697+00:00,yfinance-1.5.2:2026-08-09T00:22:11.258697+00:00,false
yahoo-ticker:IEF,IEF,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:12.943082+00:00,yfinance-1.5.2:2026-08-09T00:22:12.943082+00:00,false
yahoo-ticker:IWM,IWM,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:16.490541+00:00,yfinance-1.5.2:2026-08-09T00:22:16.490541+00:00,false
yahoo-ticker:LQD,LQD,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:19.498106+00:00,yfinance-1.5.2:2026-08-09T00:22:19.498106+00:00,false
yahoo-ticker:MBB,MBB,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:24.904067+00:00,yfinance-1.5.2:2026-08-09T00:22:24.904067+00:00,false
yahoo-ticker:PDBC,PDBC,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:26.365690+00:00,yfinance-1.5.2:2026-08-09T00:22:26.365690+00:00,false
yahoo-ticker:QQQ,QQQ,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:27.394819+00:00,yfinance-1.5.2:2026-08-09T00:22:27.394819+00:00,false
yahoo-ticker:SHY,SHY,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:31.133499+00:00,yfinance-1.5.2:2026-08-09T00:22:31.133499+00:00,false
yahoo-ticker:SLV,SLV,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:32.611312+00:00,yfinance-1.5.2:2026-08-09T00:22:32.611312+00:00,false
yahoo-ticker:SPY,SPY,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:34.133219+00:00,yfinance-1.5.2:2026-08-09T00:22:34.133219+00:00,false
yahoo-ticker:TIP,TIP,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:36.061431+00:00,yfinance-1.5.2:2026-08-09T00:22:36.061431+00:00,false
yahoo-ticker:TLT,TLT,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:37.603399+00:00,yfinance-1.5.2:2026-08-09T00:22:37.603399+00:00,false
yahoo-ticker:USO,USO,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:38.737205+00:00,yfinance-1.5.2:2026-08-09T00:22:38.737205+00:00,false
yahoo-ticker:UUP,UUP,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:40.663730+00:00,yfinance-1.5.2:2026-08-09T00:22:40.663730+00:00,false
yahoo-ticker:VEA,VEA,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:42.187974+00:00,yfinance-1.5.2:2026-08-09T00:22:42.187974+00:00,false
yahoo-ticker:VNQ,VNQ,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:43.971054+00:00,yfinance-1.5.2:2026-08-09T00:22:43.971054+00:00,false
yahoo-ticker:VTV,VTV,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:45.411272+00:00,yfinance-1.5.2:2026-08-09T00:22:45.411272+00:00,false
yahoo-ticker:VUG,VUG,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:46.728782+00:00,yfinance-1.5.2:2026-08-09T00:22:46.728782+00:00,false
yahoo-ticker:VWO,VWO,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:50.126711+00:00,yfinance-1.5.2:2026-08-09T00:22:50.126711+00:00,false
yahoo-ticker:XLB,XLB,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:54.119020+00:00,yfinance-1.5.2:2026-08-09T00:22:54.119020+00:00,false
yahoo-ticker:XLE,XLE,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:57.232988+00:00,yfinance-1.5.2:2026-08-09T00:22:57.232988+00:00,false
yahoo-ticker:XLF,XLF,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:22:59.917077+00:00,yfinance-1.5.2:2026-08-09T00:22:59.917077+00:00,false
yahoo-ticker:XLI,XLI,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:23:02.760235+00:00,yfinance-1.5.2:2026-08-09T00:23:02.760235+00:00,false
yahoo-ticker:XLK,XLK,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:23:04.102802+00:00,yfinance-1.5.2:2026-08-09T00:23:04.102802+00:00,false
yahoo-ticker:XLP,XLP,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:23:06.423307+00:00,yfinance-1.5.2:2026-08-09T00:23:06.423307+00:00,false
yahoo-ticker:XLU,XLU,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:23:08.812749+00:00,yfinance-1.5.2:2026-08-09T00:23:08.812749+00:00,false
yahoo-ticker:XLV,XLV,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:23:11.203747+00:00,yfinance-1.5.2:2026-08-09T00:23:11.203747+00:00,false
yahoo-ticker:XLY,XLY,portfolio_optimizer_free_current_etfs,,,2026-08-09T00:23:13.111528+00:00,yfinance-1.5.2:2026-08-09T00:23:13.111528+00:00,false
