candidate,lookback_weeks,momentum_weight,breadth,rank_buffer,peak_total_stock_weight,sleeve_annual_turnover,selection_events,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates,joint_improvement
mom52__w15__b30__buf5,52,0.15,30,5,0.026456386538893636,2.558303725938031,80,1.00092532711595,2.5925533468187627,-0.11186695265845437,0.3906328968670496,0.8828616715109576,False,False
mom52__w10__b25__buf5,52,0.1,25,5,0.031081775251581,2.227435746975501,57,0.9947248539782578,2.5802016633740186,-0.11441806832438695,0.3604109970861238,0.8795503136513625,False,False
mom52__w10__b30__buf0,52,0.1,30,0,0.026265238926076954,3.565254659273278,131,0.9917392056388095,2.5795405923800776,-0.11282718467230068,0.3764144951102748,0.8729366755058945,False,False
mom52__w15__b25__buf0,52,0.15,25,0,0.03179726517446965,5.010511732222535,166,0.9837702616843065,2.555607601511028,-0.11830315711618644,0.3885843995282363,0.8654510849788037,False,False
mom39__w15__b30__buf5,39,0.15,30,5,0.025156795948327124,2.949595371884233,105,0.9814149890455475,2.557414452896873,-0.1169233338793666,0.3657360458739951,0.8662271310605667,False,False
mom39__w10__b25__buf0,39,0.1,25,0,0.028021650514911116,4.175407342587809,141,0.97140108689871,2.52933269531985,-0.1251608152799354,0.37304690529997275,0.8522342066368096,False,False
mom52__w10__b25__buf0,52,0.1,25,0,0.02777730730556806,3.7381046764102708,132,0.9674072778837319,2.5130336592504707,-0.12940556553122895,0.3783401497901675,0.850734734004692,False,False
mom39__w10__b30__buf0,39,0.1,30,0,0.02500083044325083,4.105365036812475,148,0.9671768335031286,2.5138716597311763,-0.12914784159245496,0.3616211477226181,0.8488773239033409,False,False
mom52__w10__b30__buf5,52,0.1,30,5,0.027444384794077115,2.1280237841720355,54,0.9656930482188335,2.5152924959223975,-0.12790713377972474,0.3794375705569766,0.8497263551864265,False,False
mom39__w10__b25__buf5,39,0.1,25,5,0.03128405952150035,2.2692608734864406,59,0.9607749128727006,2.506591272834736,-0.12912818933374548,0.3747495406176544,0.8443551160322074,False,False
mom52__w15__b30__buf0,52,0.15,30,0,0.022541626832897954,4.192836458919438,151,0.9599597531346546,2.508952160250666,-0.12706626949299116,0.3775362588639206,0.8409250924827276,False,False
mom39__w15__b30__buf0,39,0.15,30,0,0.021855052705575594,4.78131419129862,170,0.9585406387848308,2.501793403240049,-0.13129494514543738,0.3631258674049167,0.8411628023935751,False,False
mom39__w10__b30__buf5,39,0.1,30,5,0.02752513538708672,2.3957387247865762,68,0.956987685655547,2.499618483889672,-0.1304526273137142,0.3975829295228257,0.8423126496806026,False,False
mom39__w20__b30__buf5,39,0.2,30,5,0.02674127840781108,3.600064086280847,127,0.9540292750628518,2.499904408077005,-0.12874365094725693,0.38060222433350455,0.8391806474028278,False,False
mom39__w20__b25__buf5,39,0.2,25,5,0.02772316801612219,4.018813272561186,123,0.9502268216187562,2.5325910827634033,-0.11688277705738692,0.3435728899473467,0.8058007577658415,False,False
mom39__w15__b25__buf0,39,0.15,25,0,0.02521421818372117,5.334403999541589,167,0.9456481862490989,2.471762566222807,-0.13441888678479008,0.3534010233101881,0.8306792356060655,False,False
mom52__w20__b25__buf0,52,0.2,25,0,0.02830721032876708,5.337350204321323,170,0.9428626779421854,2.4738694999734583,-0.13344511257616087,0.3771947762625447,0.8266539837955644,False,False
mom39__w15__b25__buf5,39,0.15,25,5,0.03204738536268348,3.0728322793544214,92,0.9424565225149089,2.467387047973342,-0.13441888678479008,0.3625443820241794,0.8280576465971172,False,False
mom52__w20__b30__buf0,52,0.2,30,0,0.021344470538925894,5.224436138903606,168,0.9397076085038287,2.4628101271243974,-0.1344188867847902,0.3602156412878934,0.8272116998122967,False,False
mom52__w20__b25__buf5,52,0.2,25,5,0.03189775951597871,3.34591784073965,107,0.9231041941304321,2.4331384584154536,-0.13441888678479008,0.36979270260225783,0.8222769358977446,False,False
mom52__w20__b30__buf5,52,0.2,30,5,0.027061144148252673,3.188585328420086,108,0.9231041941304317,2.4331384584154514,-0.13441888678479008,0.3542525820544524,0.8222769358977453,False,False
mom52__w15__b25__buf5,52,0.15,25,5,0.031098843585932616,2.651972750228492,76,0.9231041941304314,2.4331384584154505,-0.1344188867847902,0.364307079738438,0.8222769358977449,False,False
mom39__w20__b30__buf0,39,0.2,30,0,0.021855052705575598,5.8844928965745815,181,0.8940305668268105,2.4058925241131646,-0.13104345647876725,0.34255916595590397,0.7571175470179947,False,False
mom39__w20__b25__buf0,39,0.2,25,0,0.03000117589328375,5.999294812439723,173,0.8891887893258734,2.413642496305083,-0.12996978361032852,0.3439800502699657,0.7464524996750397,False,False
