decision_at,signal_reference_at,cik10,company_name_as_filed,sector,cash_score,momentum_return,momentum_score,adjusted_score,rank,intended_weight
2023-01-06,2022-12-30,0001124804,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",technology,0.9573991031390134,-0.043902511642062714,0.775,0.9300392376681613,1,0.03333333333333333
2023-01-06,2022-12-30,0001070412,CNX RESOURCES CORP,energy,1.0,,0.5,0.9249999999999999,2,0.03333333333333333
2023-01-06,2022-12-30,0000874499,GULFPORT ENERGY CORP,energy,0.9955156950672646,,0.5,0.9211883408071748,3,0.03333333333333333
2023-01-06,2022-12-30,0000917273,RAMBUS INC,technology,0.9932735426008968,,0.5,0.9192825112107622,4,0.03333333333333333
2023-01-06,2022-12-30,0001314727,SONOS INC,technology,0.9910313901345291,,0.5,0.9173766816143497,5,0.03333333333333333
2023-01-06,2022-12-30,0001327567,PALO ALTO NETWORKS INC,technology,0.9887892376681614,,0.5,0.9154708520179371,6,0.03333333333333333
2023-01-06,2022-12-30,0001273441,GRAN TIERRA ENERGY INC.,energy,0.9854260089686099,,0.5,0.9126121076233183,7,0.03333333333333333
2023-01-06,2022-12-30,0001509991,KOSMOS ENERGY LTD.,energy,0.9854260089686099,,0.5,0.9126121076233183,8,0.03333333333333333
2023-01-06,2022-12-30,0001173489,CEVA INC,technology,0.9820627802690582,,0.5,0.9097533632286995,9,0.03333333333333333
2023-01-06,2022-12-30,0000101778,MARATHON OIL CORP,energy,0.9282511210762332,0.6691897260988429,0.8,0.9090134529147982,10,0.03333333333333333
2023-01-06,2022-12-30,0001827075,CVENT HOLDING CORP.,technology,0.9798206278026906,,0.5,0.907847533632287,11,0.03333333333333333
2023-01-06,2022-12-30,0001773383,"DYNATRACE, INC.",technology,0.9775784753363229,,0.5,0.9059417040358744,12,0.03333333333333333
2023-01-06,2022-12-30,0001107843,"QUALYS, INC.",technology,0.9753363228699552,,0.5,0.9040358744394619,13,0.03333333333333333
2023-01-06,2022-12-30,0001585521,"ZOOM VIDEO COMMUNICATIONS, INC.",technology,0.9730941704035875,,0.5,0.9021300448430493,14,0.03333333333333333
2023-01-06,2022-12-30,0001280263,AMBARELLA INC,technology,0.9708520179372198,,0.5,0.9002242152466368,15,0.03333333333333333
2023-01-06,2022-12-30,0000732834,"CONTINENTAL RESOURCES, INC",energy,0.968609865470852,,0.5,0.8983183856502241,16,0.03333333333333333
2023-01-06,2022-12-30,0001373715,"SERVICENOW, INC.",technology,0.9663677130044843,,0.5,0.8964125560538116,17,0.03333333333333333
2023-01-06,2022-12-30,0000320193,APPLE INC,technology,0.9641255605381166,,0.5,0.894506726457399,18,0.03333333333333333
