candidate,lookback_weeks,momentum_weight,breadth,rank_buffer,peak_total_stock_weight,sleeve_annual_turnover,selection_events,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates
mom26__w00__b20__buf5,26,0.0,20,5,0.04328265431137028,1.50635739319861,14,1.060668276256448,2.716506258164532,-0.09599656877127372,0.4083496796348529,0.940962341780962,False
mom39__w00__b20__buf5,39,0.0,20,5,0.04328265431137028,1.50635739319861,14,1.060668276256448,2.716506258164532,-0.09599656877127372,0.4083496796348529,0.940962341780962,False
mom52__w00__b20__buf5,52,0.0,20,5,0.04328265431137028,1.50635739319861,14,1.060668276256448,2.716506258164532,-0.09599656877127372,0.4083496796348529,0.940962341780962,False
mom26__w00__b20__buf0,26,0.0,20,0,0.04450522085996681,1.752904613610346,14,1.052841586863141,2.6989450144255716,-0.09847104329802725,0.38319044649835243,0.9335920510404734,False
mom39__w00__b20__buf0,39,0.0,20,0,0.04450522085996681,1.752904613610346,14,1.052841586863141,2.6989450144255716,-0.09847104329802725,0.38319044649835243,0.9335920510404734,False
mom52__w00__b20__buf0,52,0.0,20,0,0.04450522085996681,1.752904613610346,14,1.052841586863141,2.6989450144255716,-0.09847104329802725,0.38319044649835243,0.9335920510404734,False
mom52__w15__b30__buf5,52,0.15,30,5,0.026456386538893636,2.558303725938031,80,1.00092532711595,2.5925533468187627,-0.11186695265845437,0.3906328968670496,0.8828616715109576,False
mom52__w10__b25__buf5,52,0.1,25,5,0.031081775251581,2.227435746975501,57,0.9947248539782578,2.5802016633740186,-0.11441806832438695,0.3604109970861238,0.8795503136513625,False
mom52__w10__b30__buf0,52,0.1,30,0,0.026265238926076954,3.565254659273278,131,0.9917392056388095,2.5795405923800776,-0.11282718467230068,0.3764144951102748,0.8729366755058945,False
mom52__w15__b25__buf0,52,0.15,25,0,0.03179726517446965,5.010511732222535,166,0.9837702616843065,2.555607601511028,-0.11830315711618644,0.3885843995282363,0.8654510849788037,False
mom39__w15__b30__buf5,39,0.15,30,5,0.025156795948327124,2.949595371884233,105,0.9814149890455475,2.557414452896873,-0.1169233338793666,0.3657360458739951,0.8662271310605667,False
mom52__w20__b20__buf0,52,0.2,20,0,0.032602967340941764,6.041847216635946,161,0.9784343148121866,2.5477741379027785,-0.12038633205285099,0.3676684522926761,0.8604836678463277,False
mom26__w00__b25__buf0,26,0.0,25,0,0.035327212636960675,1.5737503472784318,14,0.9761034093938734,2.523209179772249,-0.12858509370178361,0.39331928156871365,0.8616510399989159,False
mom39__w00__b25__buf0,39,0.0,25,0,0.035327212636960675,1.5737503472784318,14,0.9761034093938734,2.523209179772249,-0.12858509370178361,0.39331928156871365,0.8616510399989159,False
mom52__w00__b25__buf0,52,0.0,25,0,0.035327212636960675,1.5737503472784318,14,0.9761034093938734,2.523209179772249,-0.12858509370178361,0.39331928156871365,0.8616510399989159,False
mom26__w00__b25__buf5,26,0.0,25,5,0.03532721263696068,1.4935013661436096,14,0.976103409393873,2.5232091797722505,-0.1285850937017834,0.3868169590007151,0.8616510399989157,False
mom39__w00__b25__buf5,39,0.0,25,5,0.03532721263696068,1.4935013661436096,14,0.976103409393873,2.5232091797722505,-0.1285850937017834,0.3868169590007151,0.8616510399989157,False
mom52__w00__b25__buf5,52,0.0,25,5,0.03532721263696068,1.4935013661436096,14,0.976103409393873,2.5232091797722505,-0.1285850937017834,0.3868169590007151,0.8616510399989157,False
mom39__w10__b25__buf0,39,0.1,25,0,0.028021650514911116,4.175407342587809,141,0.97140108689871,2.52933269531985,-0.1251608152799354,0.37304690529997275,0.8522342066368096,False
mom26__w10__b30__buf5,26,0.1,30,5,0.025179389715910397,2.5247005659207864,83,0.9683276268740721,2.51937065421737,-0.12669958618793176,0.3930800844200697,0.8525673158394067,False
mom52__w10__b25__buf0,52,0.1,25,0,0.02777730730556806,3.7381046764102708,132,0.9674072778837319,2.5130336592504707,-0.12940556553122895,0.3783401497901675,0.850734734004692,False
mom39__w10__b30__buf0,39,0.1,30,0,0.02500083044325083,4.105365036812475,148,0.9671768335031286,2.5138716597311763,-0.12914784159245496,0.3616211477226181,0.8488773239033409,False
mom52__w10__b20__buf0,52,0.1,20,0,0.03478186937958709,4.745162819227641,141,0.9671193148127306,2.5145287378034014,-0.1285270639934799,0.386663690056414,0.849250481339276,False
mom52__w10__b30__buf5,52,0.1,30,5,0.027444384794077115,2.1280237841720355,54,0.9656930482188335,2.5152924959223975,-0.12790713377972474,0.3794375705569766,0.8497263551864265,False
mom52__w10__b20__buf5,52,0.1,20,5,0.0390155835959193,2.2601614570777606,49,0.9654395905721784,2.5106307098943166,-0.1298701300349997,0.3643443821928809,0.8505436243579325,False
mom26__w10__b25__buf0,26,0.1,25,0,0.025582284090321344,4.748659876046746,151,0.9612570261566051,2.5039669252177963,-0.1317414392545737,0.37622223443264113,0.8452203344949902,False
mom26__w10__b25__buf5,26,0.1,25,5,0.03214734458443542,2.8657296524880174,85,0.9609408607198646,2.503323471741556,-0.13183347334358386,0.36124543221330296,0.8453384227244365,False
mom39__w10__b25__buf5,39,0.1,25,5,0.03128405952150035,2.2692608734864406,59,0.9607749128727006,2.506591272834736,-0.12912818933374548,0.3747495406176544,0.8443551160322074,False
mom26__w00__b30__buf5,26,0.0,30,5,0.028527469563189856,1.4305934977354737,14,0.9606445186499308,2.5038624551860034,-0.12953293306319802,0.3895194785526739,0.8471996219123625,False
mom39__w00__b30__buf5,39,0.0,30,5,0.028527469563189856,1.4305934977354737,14,0.9606445186499308,2.5038624551860034,-0.12953293306319802,0.3895194785526739,0.8471996219123625,False
mom52__w00__b30__buf5,52,0.0,30,5,0.028527469563189856,1.4305934977354737,14,0.9606445186499308,2.5038624551860034,-0.12953293306319802,0.3895194785526739,0.8471996219123625,False
mom26__w00__b30__buf0,26,0.0,30,0,0.028426601244401602,1.540425178689332,14,0.9606358401954391,2.50293085825387,-0.1295717701624708,0.3874052162788477,0.847161961433555,False
mom39__w00__b30__buf0,39,0.0,30,0,0.028426601244401602,1.540425178689332,14,0.9606358401954391,2.50293085825387,-0.1295717701624708,0.3874052162788477,0.847161961433555,False
mom52__w00__b30__buf0,52,0.0,30,0,0.028426601244401602,1.540425178689332,14,0.9606358401954391,2.50293085825387,-0.1295717701624708,0.3874052162788477,0.847161961433555,False
mom52__w15__b30__buf0,52,0.15,30,0,0.022541626832897954,4.192836458919438,151,0.9599597531346546,2.508952160250666,-0.12706626949299116,0.3775362588639206,0.8409250924827276,False
