candidate,lookback_weeks,momentum_weight,breadth,rank_buffer,peak_total_stock_weight,sleeve_annual_turnover,selection_events,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates
mom39__w15__b30__buf0,39,0.15,30,0,0.021855052705575594,4.78131419129862,170,0.9585406387848308,2.501793403240049,-0.13129494514543738,0.3631258674049167,0.8411628023935751,False
mom26__w10__b30__buf0,26,0.1,30,0,0.021806122269263203,4.281673128294137,155,0.9581618085609516,2.505325252165304,-0.12859299149865644,0.39735973630945076,0.8398067933181212,False
mom26__w10__b20__buf0,26,0.1,20,0,0.038240041196003806,5.524513394542865,154,0.9573019423701656,2.4946784796093833,-0.13315389505525133,0.3559966506772523,0.8397324526126633,False
mom39__w10__b30__buf5,39,0.1,30,5,0.02752513538708672,2.3957387247865762,68,0.956987685655547,2.499618483889672,-0.1304526273137142,0.3975829295228257,0.8423126496806026,False
mom52__w15__b20__buf0,52,0.15,20,0,0.03718711022473992,5.597707315332944,165,0.9565598608818735,2.486323751479321,-0.1345580211128904,0.3682578424204741,0.8379228632211249,False
mom39__w20__b30__buf5,39,0.2,30,5,0.02674127840781108,3.600064086280847,127,0.9540292750628518,2.499904408077005,-0.12874365094725693,0.38060222433350455,0.8391806474028278,False
mom39__w10__b20__buf5,39,0.1,20,5,0.04039712455396894,2.5981750758522857,62,0.9527506975043589,2.4948127867492365,-0.12976871688917202,0.3694226356368253,0.8375098639108247,False
mom26__w10__b20__buf5,26,0.1,20,5,0.04027353097246575,3.126311779382438,86,0.9512840206386248,2.4924396912742823,-0.13039987298671596,0.3592723840622092,0.838633078210933,False
mom39__w20__b25__buf5,39,0.2,25,5,0.02772316801612219,4.018813272561186,123,0.9502268216187562,2.5325910827634033,-0.11688277705738692,0.3435728899473467,0.8058007577658415,False
mom52__w15__b20__buf5,52,0.15,20,5,0.03750075841146745,3.0364930934536947,85,0.9474783641218398,2.470826044335773,-0.13441888678478997,0.38530822565828227,0.8330488091733406,False
mom52__w25__b20__buf0,52,0.25,20,0,0.03115688660390928,6.484516699735563,171,0.9470269386655479,2.4867429423293226,-0.12210545000092421,0.3372332590571956,0.8063853031702475,False
mom39__w15__b25__buf0,39,0.15,25,0,0.02521421818372117,5.334403999541589,167,0.9456481862490989,2.471762566222807,-0.13441888678479008,0.3534010233101881,0.8306792356060655,False
mom52__w20__b25__buf0,52,0.2,25,0,0.02830721032876708,5.337350204321323,170,0.9428626779421854,2.4738694999734583,-0.13344511257616087,0.3771947762625447,0.8266539837955644,False
mom39__w10__b20__buf0,39,0.1,20,0,0.037501629604694844,5.18349457131901,148,0.9426496124085078,2.4687510372302457,-0.1351910886227048,0.3700239726043053,0.8242961366688741,False
mom39__w15__b25__buf5,39,0.15,25,5,0.03204738536268348,3.0728322793544214,92,0.9424565225149089,2.467387047973342,-0.13441888678479008,0.3625443820241794,0.8280576465971172,False
mom26__w15__b25__buf0,26,0.15,25,0,0.02463219106340713,6.032078195516139,172,0.941749575185405,2.4718037635198575,-0.13399010141009793,0.35615711161321384,0.8249719102227093,False
mom52__w20__b30__buf0,52,0.2,30,0,0.021344470538925894,5.224436138903606,168,0.9397076085038287,2.4628101271243974,-0.1344188867847902,0.3602156412878934,0.8272116998122967,False
mom26__w15__b30__buf5,26,0.15,30,5,0.02500083750716501,3.529413974320767,129,0.9377931486628328,2.4619550258820118,-0.13441888678478986,0.36769023241326604,0.8245188040354454,False
mom39__w15__b20__buf0,39,0.15,20,0,0.03292031412127801,5.997002788455104,163,0.9358148644884094,2.4552937010305755,-0.13441888678478986,0.37091290618495876,0.8193199523706072,False
mom52__w25__b30__buf5,52,0.25,30,5,0.027935994233746403,3.3924733152097746,120,0.923104194130433,2.433138458415454,-0.13441888678479008,0.37892447371932136,0.8222769358977453,False
mom52__w25__b20__buf5,52,0.25,20,5,0.0368246443029043,3.732970929694348,107,0.923104194130433,2.433138458415454,-0.13441888678479008,0.3714952784251566,0.822276935897746,False
mom39__w20__b20__buf5,39,0.2,20,5,0.036487024515675634,4.01726194024588,107,0.923104194130433,2.433138458415454,-0.13441888678479008,0.34594004268938283,0.8222769358977451,False
mom26__w15__b25__buf5,26,0.15,25,5,0.02857294284666337,3.712666898017684,121,0.923104194130433,2.4331384584154545,-0.13441888678479008,0.3418134251469329,0.8222769358977451,False
mom52__w20__b25__buf5,52,0.2,25,5,0.03189775951597871,3.34591784073965,107,0.9231041941304321,2.4331384584154536,-0.13441888678479008,0.36979270260225783,0.8222769358977446,False
mom52__w20__b30__buf5,52,0.2,30,5,0.027061144148252673,3.188585328420086,108,0.9231041941304317,2.4331384584154514,-0.13441888678479008,0.3542525820544524,0.8222769358977453,False
mom52__w15__b25__buf5,52,0.15,25,5,0.031098843585932616,2.651972750228492,76,0.9231041941304314,2.4331384584154505,-0.1344188867847902,0.364307079738438,0.8222769358977449,False
mom26__w15__b20__buf0,26,0.15,20,0,0.03228703276861102,6.925937946181262,175,0.9122269188020065,2.423952750616205,-0.13917913796079928,0.33328873881301924,0.754060443911404,False
mom52__w20__b20__buf5,52,0.2,20,5,0.03941206863133101,3.3063457916755925,91,0.9118863744578594,2.421881266264146,-0.13153515215163603,0.363734459148217,0.7780288746234731,False
mom39__w25__b30__buf0,39,0.25,30,0,0.02022298164789461,6.095968610116402,184,0.9096465035942225,2.4356598693388456,-0.13441888678478997,0.3487340569542827,0.7658772099050959,False
mom39__w20__b20__buf0,39,0.2,20,0,0.030831833025267655,6.397590877180559,168,0.9018755718472844,2.423857813731601,-0.13441888678478986,0.3486046721906768,0.7586661675405986,False
mom52__w25__b25__buf0,52,0.25,25,0,0.02412192198108841,5.843035012818367,173,0.894442876781983,2.4070134884365078,-0.13441888678478986,0.3557572989614022,0.7648790228853319,False
mom39__w20__b30__buf0,39,0.2,30,0,0.021855052705575598,5.8844928965745815,181,0.8940305668268105,2.4058925241131646,-0.13104345647876725,0.34255916595590397,0.7571175470179947,False
mom39__w20__b25__buf0,39,0.2,25,0,0.03000117589328375,5.999294812439723,173,0.8891887893258734,2.413642496305083,-0.12996978361032852,0.3439800502699657,0.7464524996750397,False
mom52__w25__b25__buf5,52,0.25,25,5,0.03177072934093194,3.596384106148808,117,0.8872331138818808,2.3998474845325592,-0.13441888678478975,0.3389377723188005,0.7592237768061183,False
mom39__w15__b20__buf5,39,0.15,20,5,0.03961111330298788,3.35485761875116,95,0.8802917862865334,2.3555863872737057,-0.15484201472212433,0.343464124138533,0.7140446784714289,False
mom26__w20__b30__buf5,26,0.2,30,5,0.0239860780816248,4.332345931616032,143,0.8681779462324135,2.3961191057069966,-0.12200017355491455,0.3322767259430859,0.7361126926321122,False
mom39__w25__b25__buf5,39,0.25,25,5,0.02901374503779643,4.1437447818397395,129,0.8646366929730074,2.3627728994918695,-0.13441888678478986,0.3260965225704364,0.7443518271865048,False
mom52__w25__b30__buf0,52,0.25,30,0,0.020711024249301106,5.455939765343163,176,0.862668522769487,2.3536060308831064,-0.13441888678478986,0.34334756991865145,0.7368459345933249,False
mom26__w20__b25__buf5,26,0.2,25,5,0.02647999351425071,4.543807414903236,143,0.8578035984664525,2.3604801504702033,-0.13441888678478997,0.3384665681262369,0.7072767556056856,False
mom26__w15__b30__buf0,26,0.15,30,0,0.02197987813169564,5.405533824449422,172,0.8475997656421401,2.3145548367704465,-0.13441888678478975,0.3413816333972288,0.7022421486251889,False
mom26__w25__b30__buf5,26,0.25,30,5,0.02546057040700742,4.80736069711756,150,0.8453935512841111,2.3315925530538535,-0.13441888678478986,0.35077109602124157,0.7239198054373406,False
mom26__w15__b20__buf5,26,0.15,20,5,0.03820358307821796,4.012434258004593,115,0.8441592822119615,2.3221822525264684,-0.13441888678478997,0.33974090414011004,0.7223893438922133,False
mom26__w20__b30__buf0,26,0.2,30,0,0.021979878131695642,6.509006773355306,180,0.8418457070306351,2.3200992218544583,-0.13441888678478986,0.34444453551037335,0.7188337189564329,False
mom26__w25__b30__buf0,26,0.25,30,0,0.02245040751694727,7.027551344533489,182,0.84094509330332,2.32271376320196,-0.13441888678478997,0.3252489136761263,0.7181022354834175,False
mom39__w25__b25__buf0,39,0.25,25,0,0.02369170957177505,6.465311598140833,183,0.8357491531078327,2.3178840352234262,-0.1344188867847902,0.32628509071375333,0.687562287000334,False
mom26__w20__b25__buf0,26,0.2,25,0,0.024840969980864727,7.0461295161944815,178,0.8344007044492558,2.3122280017666808,-0.13441888678478986,0.3298289317735763,0.7097691601616718,False
mom39__w25__b30__buf5,39,0.25,30,5,0.02406511548316302,4.197575891249,150,0.8036216947884245,2.3445036035632834,-0.13559503046388122,0.3328774005147197,0.6456005885106273,False
mom26__w25__b25__buf5,26,0.25,25,5,0.026189070319949253,5.019228153833252,147,0.7992494615985792,2.377971618414519,-0.12423723012909371,0.3273164193854987,0.6440719867573144,False
mom39__w25__b20__buf5,39,0.25,20,5,0.03489389548600894,4.260085781917838,113,0.7863595555692755,2.3101141214812166,-0.13558369970718742,0.3341650087723622,0.6418740923675308,False
mom39__w25__b20__buf0,39,0.25,20,0,0.03211250298366289,6.888292346789405,172,0.7787961496451339,2.303430226472243,-0.13558038138331807,0.3251684002547752,0.6255976513756856,False
mom26__w25__b25__buf0,26,0.25,25,0,0.024471633796832332,7.655016161256412,181,0.7771668675308021,2.3258864537393467,-0.13556834607560486,0.30923541053321757,0.6301137159471681,False
mom26__w25__b20__buf5,26,0.25,20,5,0.037842518202663884,5.1535061483355324,137,0.7602612551538372,2.297305436517166,-0.1355439459009239,0.2954049004435009,0.644983252382757,False
mom26__w20__b20__buf0,26,0.2,20,0,0.030707276986648734,7.499618129894868,176,0.7496616404488423,2.255152247404573,-0.13557359366140176,0.3004857407374093,0.6039437099439022,False
mom26__w25__b20__buf0,26,0.25,20,0,0.03223435037919215,8.195139284302167,175,0.7459993544818291,2.2491595923761514,-0.13554753918942175,0.30566187041391535,0.6027017292500816,False
mom26__w20__b20__buf5,26,0.2,20,5,0.0331829204490779,4.77424605736909,131,0.7221019121411756,2.199160409186867,-0.13555472711894323,0.29937536532396236,0.583771986181536,False
