version,internal_redeploy,offense_component_etfs
improved_phaseeee_smoothed_near_exclude_dual,phaseyy_decomposed,"SPY,QQQ,IWM,EFA,VEA,VWO,EWJ,VNQ,PDBC,DBA"
improved_phasefff_recovery_quality_filtered_offense,phasefff_quality_filtered,"SPY,QQQ,IWM,EFA,VEA,VWO,VNQ"
improved_phasefff_recovery_confirmed_tilted_offense,phasefff_core_equity,"SPY,QQQ,IWM,EFA,VEA,VWO"
improved_phasefff_robust_composite_offense,phasefff_robust,"SPY,QQQ,IWM,EFA,VEA,VWO,EWJ,VNQ"
improved_phasefff_conservative_offense_polish,phasefff_polish,"SPY,QQQ,IWM,EFA,VEA,VWO,EWJ,VNQ,DBA"
