configuration_id,boost_strength,crowding_threshold,buffer_band,cost_bps,observations,years,total_return,annual_return,annual_volatility,sharpe_zero_rf,sortino_zero_target,max_drawdown,max_drawdown_duration_weeks,calmar,cvar_5_weekly,positive_week_share,worst_week,best_week,average_annual_turnover,total_cost,development_sharpe,development_selection_score,oos_2016_2020_sharpe,oos_2021_present_sharpe,fully_invested_pass,unpriced_exposure_events
baseline,0.0,1.0,0.0,10.0,1126,21.653846153846153,4.112124096948341,0.0782613610745202,0.08802759527904735,0.9009141452045025,1.282173652921629,-0.23390268432554384,97,0.33458940969483136,-0.028810557611691042,0.5790408525754884,-0.11096301469862585,0.10397996466937298,2.902434833685173,0.06284887736018278,0.9902491363392318,1.1316543075957795,0.6133760567842634,1.1015690223603842,True,0
baseline,0.0,1.0,0.0,25.0,1126,21.653846153846153,3.652862867666366,0.07358418196987349,0.08801844781711624,0.8515448222904001,1.2064424858762077,-0.23431579903959798,99,0.3140384996294603,-0.02889433358735364,0.5763765541740675,-0.11096301469862585,0.10397996466937298,2.902434833685173,0.15712219340045697,0.9416439119637875,1.0737658530366834,0.57106681091102,1.0406709069054612,True,0
baseline,0.0,1.0,0.0,50.0,1126,21.653846153846153,2.976836317533322,0.06582856277216576,0.08805136475279825,0.7688190479561966,1.0811597241046211,-0.2350043235630217,103,0.2801163900906374,-0.029043407142118446,0.5701598579040853,-0.11096301469862585,0.10397996466937298,2.902434833685173,0.31424438680091393,0.8601860421200926,0.9774365101107749,0.5002415140250087,0.9385742972885484,True,0
baseline,0.0,1.0,0.0,100.0,1126,21.653846153846153,1.903987602436045,0.050465130079802245,0.08829741121808292,0.602321081879834,0.8347176275195201,-0.23638137260986858,113,0.21349029969079467,-0.029396869556363368,0.5630550621669627,-0.11096301469862585,0.10397996466937298,2.902434833685173,0.6284887736018279,0.6961495794060641,0.7857289071239676,0.3578135371038041,0.7331854675446196,True,0
guard_s0.04_c0.50_b0.00,0.04,0.5,0.0,10.0,1126,21.653846153846153,4.103768585727777,0.07817990951774356,0.0880009611236659,0.9003000474873352,1.2812677721284216,-0.2337640077030595,97,0.3344394643381208,-0.02880760243402378,0.5790408525754884,-0.11097077481638458,0.10397996466937298,2.9212910811520993,0.06325718764187047,0.9890970267042319,1.1302873386347427,0.6131025619240263,1.101253546735578,True,0
guard_s0.04_c0.50_b0.00,0.04,0.5,0.0,25.0,1126,21.653846153846153,3.6424049831293903,0.07347262656796594,0.08799304410188291,0.8505823797865156,1.2050068638743174,-0.23419759767420312,99,0.3137206670675382,-0.028892319096641576,0.5763765541740675,-0.11098241499302268,0.10397996466937298,2.9212910811520993,0.15814296910467615,0.9401475697581522,1.0720079112213563,0.5703634114955106,1.0400649789790377,True,0
guard_s0.04_c0.50_b0.00,0.04,0.5,0.0,50.0,1126,21.653846153846153,2.963836643756824,0.06566741474178439,0.08802796009265516,0.7672801355713194,1.0788688343284638,-0.2349201975819567,103,0.27953073178765303,-0.029042960462998375,0.5701598579040853,-0.11100181528741951,0.10397996466937298,2.9212910811520993,0.3162859382093523,0.858117144176501,0.975031640242568,0.4988287036099695,0.9374864015517207,True,0
guard_s0.04_c0.50_b0.00,0.04,0.5,0.0,100.0,1126,21.653846153846153,1.8885716197807394,0.05020694866897868,0.08827779667059642,0.5996485157612738,0.8308216546005878,-0.23636520973937714,113,0.212412599656008,-0.029397126600423273,0.5621669626998224,-0.11104061587621318,0.10397996466937298,2.9212910811520993,0.6325718764187046,0.6929430801400284,0.7820498487943737,0.3550124542239873,0.7311459286727525,True,0
guard_s0.04_c0.50_b0.05,0.04,0.5,0.05,10.0,1126,21.653846153846153,3.9233856763060295,0.07638975738205578,0.08694392331353971,0.8910380589899988,1.2679878554995558,-0.2374305113100822,97,0.32173521827736545,-0.028273840638691813,0.5692717584369449,-0.11401734108900327,0.10661937427316778,2.4838415672589607,0.05378472316795365,0.966652136673343,1.1145127511443995,0.6140780329015542,1.107693488805998,True,0
guard_s0.04_c0.50_b0.05,0.04,0.5,0.05,25.0,1126,21.653846153846153,3.54230315823615,0.0723925335069091,0.08693809367099742,0.8482424585758374,1.2023293732165878,-0.2377877510270452,99,0.3044418107923289,-0.028345759896850047,0.5674955595026643,-0.11401734108900327,0.10661937427316778,2.4838415672589607,0.13446180791988413,0.924677514474923,1.0640375595813096,0.5774591924476625,1.0545567382820864,True,0
guard_s0.04_c0.50_b0.05,0.04,0.5,0.05,50.0,1126,21.653846153846153,2.9712492900916043,0.06575936588709519,0.08696581642050615,0.7765692450316769,1.0935966016767076,-0.23838313395751543,103,0.2758557822249908,-0.028482894687065302,0.5621669626998224,-0.11401734108900327,0.10661937427316778,2.4838415672589607,0.26892361583976826,0.8543903170781989,0.9800469187512818,0.5162003544449839,0.9654498793471703,True,0
guard_s0.04_c0.50_b0.05,0.04,0.5,0.05,100.0,1126,21.653846153846153,2.0345455019802237,0.05260068933338968,0.08716140176018987,0.6323414889148179,0.8791611256885054,-0.23957383757669948,110,0.21955940542359761,-0.028759067739627612,0.5541740674955595,-0.11401734108900327,0.10661937427316778,2.4838415672589607,0.5378472316795365,0.7129552855391678,0.81282778053697,0.39309266000209275,0.7859321267106946,True,0
guard_s0.04_c0.75_b0.00,0.04,0.75,0.0,10.0,1126,21.653846153846153,4.101659927994408,0.07815933370996553,0.08808872554583615,0.8992742625118016,1.2796577375913725,-0.2337640077030595,97,0.3343514447666726,-0.0288427992880687,0.5790408525754884,-0.11097077481638458,0.10397996466937298,2.940456642754421,0.06367219576425918,0.987421845617632,1.1285794618866043,0.6133384542354134,1.0993336296650984,True,0
