decision_date,offense_scale,breadth,path_clarity,persistence,quality,leadership_fragility,stressed,buffer_band,buffer_held
2005-01-07,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,False
2005-01-14,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-01-21,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-01-28,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-02-04,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-02-11,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-02-18,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-02-25,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-03-04,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-03-11,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-03-18,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-03-25,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-04-01,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-04-08,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-04-15,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-04-22,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-04-29,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-05-06,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-05-13,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-05-20,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-05-27,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-06-03,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-06-10,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-06-17,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-06-24,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-07-01,1.0,0.5,0.0,0.0,0.0,0.0,True,0.0,True
2005-07-08,1.0,0.6666666666666666,0.1147710744909008,0.07692307692307693,-0.42775945461290377,0.6115403619806956,False,0.0,True
2005-07-15,1.0,0.8333333333333334,0.16056331636904125,0.15384615384615385,-0.2348381309676477,0.6753954174968388,False,0.0,True
2005-07-22,1.0,0.8333333333333334,0.23088609879585356,0.23076923076923078,-0.1366742247343882,0.6215129973142772,False,0.0,True
2005-07-29,1.0,0.8333333333333334,0.219331149185048,0.3076923076923077,-0.09309547319287392,0.7672671093188579,False,0.0,False
2005-08-05,1.0,0.8333333333333334,0.11333561769475553,0.38461538461538464,-0.11247710957101764,0.6247443032830859,False,0.0,True
2005-08-12,1.0,1.0,0.1028534380328929,0.46153846153846156,0.042927933047569665,0.648162948090625,False,0.0,True
2005-08-19,1.0,1.0,0.09580789708485424,0.5384615384615384,0.08951295703092847,0.6539548436432661,False,0.0,True
2005-08-26,1.0,1.0,0.008943080388436745,0.6153846153846154,0.0828851305153681,0.7158423985592017,False,0.0,False
2005-09-02,1.0,1.0,0.015436890582515773,0.6923076923076923,0.13849638859347205,0.7009189748708033,False,0.0,True
2005-09-09,1.0,1.0,0.15882711970422214,0.7692307692307693,0.28537192595666094,0.7517605892478052,False,0.0,True
2005-09-16,1.0,1.0,0.19036407487691817,0.8461538461538461,0.35767861402050954,0.6863162005809818,False,0.0,True
2005-09-23,1.0,1.0,0.16777408263651422,0.9230769230769231,0.3939006704756249,0.7417362819087807,False,0.0,True
2005-09-30,1.0,1.0,0.20110569074532603,1.0,0.46740379383021735,0.7399970533093359,False,0.0,False
2005-10-07,1.0,1.0,0.0726206328960992,1.0,0.3817470885973995,0.6887612756802808,False,0.0,True
2005-10-14,1.0,1.0,0.17282521184364666,1.0,0.44855014122909775,0.6981021041400242,False,0.0,True
2005-10-21,1.0,1.0,0.11299214473828814,1.0,0.4086614298255254,0.6069224529297172,False,0.0,True
2005-10-28,1.0,1.0,0.15359912845872756,1.0,0.43573275230581837,0.6406660643329474,False,0.0,False
2005-11-04,1.0,1.0,0.1768093616772912,1.0,0.45120624111819413,0.6235493803224603,False,0.0,True
2005-11-11,1.0,1.0,0.26717459605981486,1.0,0.5114497307065432,0.7020794504371777,False,0.0,True
2005-11-18,1.0,1.0,0.21521067119186132,1.0,0.47680711412790755,0.7756256410434119,False,0.0,True
2005-11-25,1.0,1.0,0.23446035767375356,1.0,0.4896402384491691,0.7417553290638343,False,0.0,False
2005-12-02,1.0,1.0,0.2281542915844106,1.0,0.48543619438960706,0.7646731122832273,False,0.0,True
2005-12-09,1.0,1.0,0.20845343765187255,1.0,0.472302291767915,0.8161171981587998,False,0.0,True
2005-12-16,1.0,1.0,0.18384208669577118,1.0,0.45589472446384743,0.8649511063277986,False,0.0,True
2005-12-23,1.0,1.0,0.2886256080074572,1.0,0.5257504053383047,0.9375485918813777,False,0.0,True
2005-12-30,1.0,1.0,0.18775907189212412,1.0,0.45850604792808275,0.9723319189078787,False,0.0,False
2006-01-06,1.0,1.0,0.23601620067952048,1.0,0.4906774671196803,1.0,False,0.0,True
2006-01-13,1.0,1.0,0.20492199711364134,1.0,0.4699479980757609,1.0,False,0.0,True
2006-01-20,1.0,1.0,0.09934073557984231,1.0,0.39956049038656155,0.97555377488117,False,0.0,True
2006-01-27,1.0,1.0,0.15468076151503665,1.0,0.43645384101002443,1.0,False,0.0,False
2006-02-03,1.0,1.0,0.11488408994980415,1.0,0.4099227266332028,1.0,False,0.0,True
2006-02-10,1.0,1.0,0.11900822593609264,1.0,0.41267215062406176,0.7792537487256208,False,0.0,True
2006-02-17,1.0,1.0,0.18209004317093852,1.0,0.45472669544729233,0.8128445367735595,False,0.0,True
2006-02-24,1.0,1.0,0.2479222172276948,1.0,0.49861481148512987,0.820016816724173,False,0.0,False
2006-03-03,1.0,1.0,0.1956581959283474,1.0,0.46377213061889827,0.7815538664332142,False,0.0,True
2006-03-10,1.0,1.0,0.13735843664712524,1.0,0.42490562443141683,0.6630288003883318,False,0.0,True
2006-03-17,1.0,1.0,0.2106797329261677,1.0,0.47378648861744516,0.6524839409449261,False,0.0,True
2006-03-24,1.0,1.0,0.2678955484540712,1.0,0.5119303656360475,0.6041537332349369,False,0.0,True
2006-03-31,1.0,1.0,0.21919414455192832,1.0,0.4794627630346189,0.5735503234133135,False,0.0,False
2006-04-07,1.0,1.0,0.34364923315161483,1.0,0.5624328221010765,0.7057311087811695,False,0.0,True
2006-04-14,1.0,1.0,0.351437203757244,1.0,0.5676248025048293,0.7557635459101228,False,0.0,True
2006-04-21,1.0,1.0,0.42467438881807473,1.0,0.6164495925453831,0.8426075814615941,False,0.0,True
2006-04-28,1.0,1.0,0.3954367940365585,1.0,0.596957862691039,0.835541960135957,False,0.0,False
2006-05-05,1.0,1.0,0.36550364716893885,1.0,0.5770024314459592,0.8753286163247811,False,0.0,True
2006-05-12,1.0,0.8571428571428571,0.19842671444831309,1.0,0.37037971439411344,0.7896481854051001,False,0.0,True
2006-05-19,1.0,0.8571428571428571,0.09074512028611965,1.0,0.29859198495265116,0.6561747104403988,False,0.0,True
2006-05-26,1.0,0.8571428571428571,0.07076053590009669,1.0,0.2852689286953025,0.596427304442998,False,0.0,False
2006-06-02,1.0,0.8571428571428571,0.09626749478307894,1.0,0.30227356795062404,0.5294015031229622,False,0.0,True
2006-06-09,1.0,0.7142857142857143,0.004921589281593787,1.0,0.1461382023782054,0.5487697880702642,False,0.0,True
2006-06-16,1.0,0.5714285714285714,0.01778986540788145,1.0,0.059478957890968576,0.43251631596592344,True,0.0,True
2006-06-23,1.0,0.42857142857142855,0.034313250782674116,0.0,-0.6914102137639316,0.37295441242075056,True,0.0,True
2006-06-30,1.0,0.8571428571428571,0.10361410842241765,0.07692307692307693,-0.30821330500776556,0.5800689335936025,False,0.0,False
2006-07-07,1.0,0.42857142857142855,0.021933198966191093,0.0,-0.6996635816415869,0.42389301191970963,True,0.0,True
2006-07-14,1.0,0.2857142857142857,0.10893281593449436,0.0,-0.7369019322341467,0.37863875737470526,True,0.0,True
2006-07-21,1.0,0.2857142857142857,0.028062036727349565,0.0,-0.7908157850389098,0.38629572109221183,True,0.0,True
2006-07-28,1.0,0.42857142857142855,0.01393740302260277,0.0,-0.7049941122706458,0.45675578475747225,False,0.0,False
2006-08-04,1.0,0.42857142857142855,0.08742162036697555,0.0,-0.6560046340410639,0.48359206544000244,False,0.0,True
2006-08-11,1.0,0.42857142857142855,0.04073196600398188,0.0,-0.6871310702830598,0.410117268113685,False,0.0,True
2006-08-18,1.0,0.7142857142857143,0.07956144684801084,0.07692307692307693,-0.41948650796213194,0.49592603398706586,False,0.0,True
2006-08-25,1.0,0.42857142857142855,0.039378610042406045,0.0,-0.6880333075907769,0.40854481771419116,False,0.0,False
2006-09-01,1.0,0.7142857142857143,0.09742256144522017,0.07692307692307693,-0.4075790982306591,0.5233988816748476,False,0.0,True
2006-09-08,1.0,0.7142857142857143,0.07044936619856443,0.15384615384615385,-0.3742791771130449,0.48528083781053194,False,0.0,True
2006-09-15,1.0,0.42857142857142855,0.06289119251847919,0.0,-0.6723582526067281,0.36892743436964215,False,0.0,True
2006-09-22,1.0,0.42857142857142855,0.06084975776609329,0.0,-0.6737192091083187,0.4036599531210415,False,0.0,True
2006-09-29,1.0,0.42857142857142855,0.11912730172960566,0.0,-0.6348675131326439,0.3814768423227558,False,0.0,False
2006-10-06,1.0,0.42857142857142855,0.15717533430612257,0.0,-0.6095021580816326,0.5366392402479209,False,0.0,True
2006-10-13,1.0,0.8571428571428571,0.21305347972293703,0.07692307692307693,-0.23525372414075263,0.7863962184480766,False,0.0,True
2006-10-20,1.0,0.5714285714285714,0.16677599052207548,0.15384615384615385,-0.40529952280213283,0.6050085847719294,False,0.0,True
2006-10-27,1.0,0.7142857142857143,0.18158672062167194,0.23076923076923078,-0.24890555621558866,0.694161091507155,False,0.0,False
2006-11-03,1.0,0.2857142857142857,0.12219723833201854,0.0,-0.7280589839691305,0.4222705507577052,True,0.0,True
2006-11-10,1.0,0.8571428571428571,0.2547546693320041,0.07692307692307693,-0.20745293106804127,0.6960728278657828,False,0.0,True
2006-11-17,1.0,0.8571428571428571,0.3699507295784873,0.15384615384615385,-0.0793735062883345,0.6723243027055845,False,0.0,True
2006-11-24,1.0,0.8571428571428571,0.3428882420756644,0.23076923076923078,-0.0461331133414985,0.7633420113449481,False,0.0,False
2006-12-01,1.0,0.8571428571428571,0.32607823733087177,0.3076923076923077,-0.006057731889308952,0.712749878146339,False,0.0,True
2006-12-08,1.0,1.0,0.49979259122540065,0.38461538461538464,0.25627198389385686,0.7687921811031462,False,0.0,True
2006-12-15,1.0,1.0,0.5335410840122575,0.46153846153846156,0.33005303036714606,0.7440747773038914,False,0.0,True
2006-12-22,1.0,1.0,0.47957510831823696,0.5384615384615384,0.3453577645198503,0.7741265178018222,False,0.0,True
2006-12-29,1.0,1.0,0.44172975313862867,0.6153846153846154,0.37140957901549604,0.7028914077892097,False,0.0,False
2007-01-05,1.0,1.0,0.42859284699547395,0.6923076923076923,0.4139336928687775,0.6071527602156022,False,0.0,True
2007-01-12,1.0,1.0,0.617312658380255,0.7692307692307693,0.5910289517406828,0.6442061044398786,False,0.0,True
2007-01-19,1.0,1.0,0.5915011184910033,0.8461538461538461,0.6251033097632329,0.6487827679714075,False,0.0,True
2007-01-26,1.0,1.0,0.4882842050612571,0.9230769230769231,0.6075740854254534,0.6897112783875747,False,0.0,False
2007-02-02,1.0,1.0,0.5289205713734118,1.0,0.6859470475822745,0.6503142746552153,False,0.0,True
2007-02-09,1.0,1.0,0.5498363864279757,1.0,0.6998909242853172,0.7123171500386878,False,0.0,True
