market_state,n_weeks,avg_BIL,avg_SPY,avg_portfolio_ret,avg_spy_ret,ann_portfolio_ret,ann_spy_ret,opportunity_cost_vs_spy_ann
calm_trend,295,0.1103,0.0798,0.0008,0.0031,0.0425,0.1746,-0.1321
neutral_mixed,493,0.2604,0.0658,0.0021,0.0018,0.1153,0.098,0.0173
recovery_confirmed,44,0.1136,0.0558,0.0005,0.0066,0.0263,0.4079,-0.3816
recovery_fragile,49,0.1699,0.0542,0.0013,0.0084,0.0699,0.5449,-0.475
stressed_panic,229,0.5313,0.0252,0.0007,-0.0001,0.0371,-0.0052,0.0423
