target_return,incremental_return_needed,required_bil_reduction,new_avg_bil_estimate,new_avg_offense_estimate,implied_ann_vol,implied_sharpe,implied_max_drawdown,implied_cvar_5
0.09,0.0186,0.2045,0.0621,0.7879,0.0911,0.9876,-0.1407,-0.0303
0.1,0.0286,0.3143,0.0,0.85,0.0991,1.0088,-0.1531,-0.033
0.11,0.0386,0.4242,0.0,0.85,0.1071,1.0269,-0.1654,-0.0357
