market_state,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
calm_trend,0.1227,0.1132,0.2021,0.0887,0.2886,0.1483,0.0363
neutral_mixed,0.0889,0.1083,0.1503,0.1123,0.2036,0.1079,0.2286
recovery_confirmed,0.058,0.1637,0.1329,0.222,0.2187,0.1204,0.0843
recovery_fragile,0.1012,0.1209,0.1569,0.1264,0.2407,0.1237,0.1302
stressed_panic,0.0554,0.0614,0.1048,0.0485,0.1489,0.0718,0.5092
