portfolio,window,beta,corr_to_spy
ggg1_robust_offense,full,-0.0308,-0.071
ggg1_robust_offense,holdout_2016,-0.0575,-0.1224
ggg1_robust_offense,holdout_2020,-0.0653,-0.1429
ggg1_robust_offense,holdout_2021,-0.0343,-0.0726
ggg1_robust_offense,bear_2022,0.012,0.0452
ggg1_robust_offense,recovery_2023,-0.0703,-0.1257
prod_phase2b_rcb,full,-0.0249,-0.0561
prod_phase2b_rcb,holdout_2016,-0.0419,-0.0908
prod_phase2b_rcb,holdout_2020,-0.0464,-0.104
prod_phase2b_rcb,holdout_2021,-0.0304,-0.0639
prod_phase2b_rcb,bear_2022,0.0179,0.0705
prod_phase2b_rcb,recovery_2023,-0.0653,-0.1233
shadow_phase2b_abc,full,-0.0249,-0.0563
shadow_phase2b_abc,holdout_2016,-0.0416,-0.0903
shadow_phase2b_abc,holdout_2020,-0.0459,-0.1039
shadow_phase2b_abc,holdout_2021,-0.0302,-0.0639
shadow_phase2b_abc,bear_2022,0.0167,0.0674
shadow_phase2b_abc,recovery_2023,-0.0642,-0.1221
