portfolio,window,upside_capture,downside_capture,capture_spread,beta,correlation,active_return_ann,tracking_error_ann,info_ratio,n_weeks
ggg1_robust_offense,full,0.0451,-0.1262,0.1713,-0.0308,-0.071,-0.034,0.1965,-0.173,1109
ggg1_robust_offense,holdout_2016,0.0605,-0.1406,0.2012,-0.0575,-0.1224,-0.0598,0.1963,-0.3047,537
ggg1_robust_offense,holdout_2020,0.0655,-0.1362,0.2017,-0.0653,-0.1429,-0.0459,0.2234,-0.2054,328
ggg1_robust_offense,holdout_2021,0.0914,-0.1404,0.2318,-0.0343,-0.0726,-0.0349,0.1822,-0.1916,276
ggg1_robust_offense,bear_2022,0.0362,0.0425,-0.0064,0.012,0.0452,0.1688,0.236,0.7152,52
ggg1_robust_offense,recovery_2023,0.136,-0.2322,0.3681,-0.0703,-0.1257,-0.0627,0.1724,-0.3639,171
prod_phase2b_rcb,full,0.0433,-0.1227,0.1659,-0.0249,-0.0561,-0.0364,0.1962,-0.1857,1109
prod_phase2b_rcb,holdout_2016,0.0621,-0.1187,0.1808,-0.0419,-0.0908,-0.0674,0.1935,-0.3482,537
prod_phase2b_rcb,holdout_2020,0.0617,-0.1086,0.1703,-0.0464,-0.104,-0.0607,0.2195,-0.2767,328
prod_phase2b_rcb,holdout_2021,0.0854,-0.1303,0.2158,-0.0304,-0.0639,-0.0425,0.1818,-0.2336,276
prod_phase2b_rcb,bear_2022,0.067,0.043,0.024,0.0179,0.0705,0.1869,0.234,0.7985,52
prod_phase2b_rcb,recovery_2023,0.1197,-0.1992,0.3189,-0.0653,-0.1233,-0.0828,0.1699,-0.4871,171
shadow_phase2b_abc,full,0.0427,-0.1225,0.1652,-0.0249,-0.0563,-0.0368,0.1961,-0.1876,1109
shadow_phase2b_abc,holdout_2016,0.062,-0.1187,0.1808,-0.0416,-0.0903,-0.0674,0.1933,-0.3485,537
shadow_phase2b_abc,holdout_2020,0.0614,-0.1082,0.1697,-0.0459,-0.1039,-0.061,0.2191,-0.2784,328
shadow_phase2b_abc,holdout_2021,0.0843,-0.1297,0.214,-0.0302,-0.0639,-0.0433,0.1816,-0.2387,276
shadow_phase2b_abc,bear_2022,0.0632,0.0429,0.0203,0.0167,0.0674,0.1847,0.234,0.7895,52
shadow_phase2b_abc,recovery_2023,0.1191,-0.198,0.3171,-0.0642,-0.1221,-0.0834,0.1695,-0.4923,171
bench_60_40,full,0.5835,0.5435,0.0401,0.569,0.9697,-0.0245,0.0798,-0.3067,1109
bench_60_40,holdout_2016,0.6029,0.5887,0.0142,0.5933,0.9696,-0.049,0.0736,-0.6657,537
bench_60_40,holdout_2020,0.6185,0.6228,-0.0043,0.6048,0.9719,-0.0533,0.0814,-0.6554,328
bench_60_40,holdout_2021,0.6253,0.6501,-0.0248,0.6234,0.9618,-0.0607,0.0667,-0.9092,276
bench_60_40,bear_2022,0.6029,0.6854,-0.0825,0.6401,0.9705,0.017,0.0908,0.187,52
bench_60_40,recovery_2023,0.6478,0.6328,0.015,0.6145,0.9527,-0.0693,0.0618,-1.12,171
equal_weight,full,0.0266,-0.0979,0.1246,-0.0211,-0.0556,-0.0547,0.1914,-0.2857,1109
equal_weight,holdout_2016,0.0516,-0.0947,0.1462,-0.03,-0.0744,-0.0815,0.1878,-0.4339,537
equal_weight,holdout_2020,0.0555,-0.0936,0.149,-0.0339,-0.0853,-0.0706,0.2137,-0.3303,328
equal_weight,holdout_2021,0.0805,-0.1216,0.2021,-0.0204,-0.0496,-0.0481,0.1763,-0.2726,276
equal_weight,bear_2022,0.0638,0.0365,0.0273,0.022,0.0981,0.1904,0.2315,0.8224,52
equal_weight,recovery_2023,0.1106,-0.1749,0.2855,-0.05,-0.1115,-0.095,0.1631,-0.5827,171
