decision_at,train_end,training_decisions,training_rows,selected_alpha,validation_rank_ic
2025-02-21 00:00:00+00:00,2025-01-31 00:00:00+00:00,12,33148,1.0,0.08729134365705313
2025-03-21 00:00:00+00:00,2025-02-28 00:00:00+00:00,13,35889,1.0,-0.15100800914544635
2025-04-18 00:00:00+00:00,2025-03-28 00:00:00+00:00,14,38630,1.0,-0.19024033463134968
2025-05-16 00:00:00+00:00,2025-04-25 00:00:00+00:00,15,41346,10.0,-0.15259354304356781
2025-06-13 00:00:00+00:00,2025-05-23 00:00:00+00:00,16,44063,100.0,0.013626959996302137
2025-07-11 00:00:00+00:00,2025-06-20 00:00:00+00:00,17,46780,100.0,0.08677657388078511
2025-08-08 00:00:00+00:00,2025-07-18 00:00:00+00:00,18,49524,100.0,0.20757064412039894
2025-09-05 00:00:00+00:00,2025-08-15 00:00:00+00:00,19,52272,100.0,0.10885934277087693
2025-10-03 00:00:00+00:00,2025-09-12 00:00:00+00:00,20,55019,100.0,0.1503334644493218
2025-10-31 00:00:00+00:00,2025-10-10 00:00:00+00:00,21,57762,100.0,0.10750626833504243
2025-11-28 00:00:00+00:00,2025-11-07 00:00:00+00:00,22,60504,100.0,0.011650278234001788
2025-12-26 00:00:00+00:00,2025-12-05 00:00:00+00:00,23,63245,100.0,0.04529439163579164
2026-01-23 00:00:00+00:00,2026-01-02 00:00:00+00:00,24,65947,10.0,-0.07355936524615879
2026-02-20 00:00:00+00:00,2026-01-30 00:00:00+00:00,25,68648,100.0,-0.10920922246818035
2026-03-20 00:00:00+00:00,2026-02-27 00:00:00+00:00,26,71352,100.0,-0.13452454823065005
2026-04-17 00:00:00+00:00,2026-03-27 00:00:00+00:00,27,74056,1.0,-0.16527565400184252
2026-05-15 00:00:00+00:00,2026-04-24 00:00:00+00:00,28,76729,1.0,-0.06759470071947726
2026-06-12 00:00:00+00:00,2026-05-22 00:00:00+00:00,29,79402,100.0,0.05525054306159975
2026-07-10 00:00:00+00:00,2026-06-19 00:00:00+00:00,30,82075,100.0,0.1506408056481722
2026-08-07 00:00:00+00:00,2026-07-17 00:00:00+00:00,31,84719,100.0,-0.06617948569758696
