candidate,base_candidate,signal_family,breadth,construction,exposure_rule,full_cagr,full_sharpe,full_drawdown,recent_cagr,recent_sharpe,recent_drawdown,two_year_cagr,two_year_sharpe,two_year_drawdown,common_endpoint_recent_cagr,severe_200bps_recent_cagr,worst_delay_recent_cagr,adverse_missing_recent_cagr,worst_five_issuer_recent_cagr,worst_sector_removed_recent_cagr,maximum_positive_issuer_share,removed_issuers,worst_positive_sector,rolling_26w_outperformance_share,rolling_26w_windows,rolling_52w_outperformance_share,rolling_104w_outperformance_share,raw_bootstrap_probability,familywise_bootstrap_probability,deflated_sharpe_probability,average_gross_exposure,maximum_gross_exposure,annualized_turnover,probability_of_backtest_overfitting,passes_historical_gates
residual_acceleration__n5__rank_inverse_volatility__fixed_1.00x,residual_acceleration__n5__rank_inverse_volatility,residual_acceleration,5,rank_inverse_volatility,fixed_1.00x,-0.035826461685963484,0.09911801823080603,-0.4316435352553789,-0.07635332063026568,0.007984872016562956,-0.40983388874028126,0.11619076442935516,0.4561165628498758,-0.4316435352553789,0.05536318252212302,-0.32171665652694625,0.2229585422072069,-0.36636960092107684,-0.41600766755466523,-0.25404223784318336,0.28754203963481434,0001418819|0000317788|0001782170|0001801661|0001650648,transport_communications_utilities,0.2235294117647059,170,0.2361111111111111,0.0,0.0384,0.0,0.010091890791613824,1.0,1.0,14.409375145853376,0.35714285714285715,False
residual_acceleration__n10__diagonal_shrinkage_signal_optimizer__fixed_1.50x,residual_acceleration__n10__diagonal_shrinkage_signal_optimizer,residual_acceleration,10,diagonal_shrinkage_signal_optimizer,fixed_1.50x,0.01781735075130597,0.2733769425403368,-0.44242072813873556,-0.11100970541205823,0.0157066515091192,-0.4424207281387358,0.21773222625112187,0.6095446086000598,-0.4424207281387357,0.055472926136684864,-0.43339725050344147,0.15375297137637034,-0.33327022854957566,-0.5189973776862074,-0.3605532358421182,0.30152301142121635,0001418819|0001782170|0000317788|0001650648|0001830214,transport_communications_utilities,0.2235294117647059,170,0.3333333333333333,0.05434782608695652,0.1664,0.0,0.02424793322113951,1.5,1.5,14.056383790044908,0.35714285714285715,False
residual_acceleration__n5__rank_inverse_volatility__fixed_1.25x,residual_acceleration__n5__rank_inverse_volatility,residual_acceleration,5,rank_inverse_volatility,fixed_1.25x,-0.0849396372462915,0.05871468207432466,-0.5471106292352731,-0.1345258037413667,-0.03034167608163064,-0.4923314468321106,0.08898308981027658,0.42258258598034926,-0.5220893032185989,0.02063326746794769,-0.41477785502227216,0.23056521147819398,-0.4783612478311363,-0.5068374041529888,-0.3346632754098684,0.28754203963481434,0001418819|0000317788|0001782170|0001801661|0001650648,transport_communications_utilities,0.22941176470588234,170,0.2222222222222222,0.0,0.0634,0.0,0.008149528684976304,1.25,1.25,14.409375145853376,0.35714285714285715,False
residual_acceleration__n5__rank_inverse_volatility__fixed_1.50x,residual_acceleration__n5__rank_inverse_volatility,residual_acceleration,5,rank_inverse_volatility,fixed_1.50x,-0.139376628949602,0.03177915536015167,-0.6643742764909649,-0.19702911618042818,-0.055892708147092976,-0.5652172570739173,0.0492384473397427,0.4002266014006647,-0.60107561905723,-0.02327116799587492,-0.5012411065912711,0.22659566171206125,-0.5845653380955107,-0.5861101648454117,-0.4115130443595575,0.28754203963481434,0001418819|0000317788|0001782170|0001801661|0001650648,transport_communications_utilities,0.21176470588235294,170,0.18055555555555555,0.0,0.083,0.0,0.0070513993175340805,1.5,1.5,14.409375145853376,0.35714285714285715,False
causal_nonlinear_ridge__n10__rank_inverse_volatility__vol30_drawdown_guard,causal_nonlinear_ridge__n10__rank_inverse_volatility,causal_nonlinear_ridge,10,rank_inverse_volatility,vol30_drawdown_guard,-0.014489887920192235,0.07731853383710995,-0.41611887355165045,-0.21116419094887873,-0.49057349527713706,-0.4161188735516501,-0.026996205210666258,0.1056390743088824,-0.41611887355165045,-0.06197771424934828,-0.3370340327259631,-0.11496316281200525,-0.4602803035101847,-0.3494812255249483,-0.16419611013996205,0.16705961109618261,0001868941|0001096296|0001479681|0001821769|0001841408,manufacturing,0.18823529411764706,170,0.13194444444444445,0.021739130434782608,0.0118,0.0,0.008974106917632025,0.9202478311062611,1.5,6.389008788226042,0.35714285714285715,False
causal_nonlinear_ridge__n10__rank_inverse_volatility__fixed_1.00x,causal_nonlinear_ridge__n10__rank_inverse_volatility,causal_nonlinear_ridge,10,rank_inverse_volatility,fixed_1.00x,0.025758935089875257,0.23678181459774825,-0.5176562632189987,-0.2910498837082369,-0.49057349527713734,-0.5176562632189987,0.048841719288336805,0.32364833483731353,-0.5176562632189987,-0.10854220347601107,-0.439000433424652,-0.17310983983262873,-0.5901826909062373,-0.44592575523099687,-0.22380144039613603,0.16705961109618261,0001868941|0001096296|0001479681|0001821769|0001841408,manufacturing,0.27058823529411763,170,0.24305555555555555,0.22826086956521738,0.0618,0.0,0.019994262755516624,1.0,1.0,6.389008788226042,0.35714285714285715,False
causal_nonlinear_ridge__n5__rank_inverse_volatility__vol30_drawdown_guard,causal_nonlinear_ridge__n5__rank_inverse_volatility,causal_nonlinear_ridge,5,rank_inverse_volatility,vol30_drawdown_guard,-0.07210347400541106,-0.07511918827472727,-0.5307476578337667,-0.32236702703057285,-0.57521864874837,-0.5307476578337664,-0.13091620142614946,-0.10263385267258474,-0.5307476578337667,-0.12652543891361223,-0.4233140095505128,-0.13534417082431227,-0.47671207324584375,-0.5203177971950457,-0.34781950711245,0.2779132490146316,0001868941|0001096296|0001479681|0001590560|0001841408,manufacturing,0.17647058823529413,170,0.09027777777777778,0.0,0.0182,0.0,0.003900219693664122,0.9167729117805572,1.5,6.228813924159501,0.35714285714285715,False
causal_nonlinear_ridge__n10__diagonal_shrinkage_signal_optimizer__vol30_drawdown_guard,causal_nonlinear_ridge__n10__diagonal_shrinkage_signal_optimizer,causal_nonlinear_ridge,10,diagonal_shrinkage_signal_optimizer,vol30_drawdown_guard,-0.07132001227930695,-0.12940453635491783,-0.4445762377269351,-0.33068764134611306,-0.8322262039336834,-0.4445762377269352,-0.12953981127873848,-0.17681944841263578,-0.4445762377269351,-0.19894132432239842,-0.44830349785996426,-0.21149266987016735,-0.4441973320571324,-0.49963802359714904,-0.2283818093511959,0.32593961639703567,0001868941|0001841408|0001479681|0001001115|0001831651,manufacturing,0.17058823529411765,170,0.0625,0.0,0.004,0.0,0.002850071093668688,0.9146541758497135,1.5,6.865681248030258,0.35714285714285715,False
causal_nonlinear_ridge__n10__rank_inverse_volatility__fixed_1.25x,causal_nonlinear_ridge__n10__rank_inverse_volatility,causal_nonlinear_ridge,10,rank_inverse_volatility,fixed_1.25x,-0.004154976741435945,0.18678944518384133,-0.6075082768624491,-0.3842913123525845,-0.5242378717394459,-0.6075082768624492,0.010059533377481555,0.2875057033977334,-0.6075082768624491,-0.18185585015250494,-0.5419199504074053,-0.25309430713350667,-0.7098270961179818,-0.5416740108025737,-0.2985212039717974,0.16705961109618264,0001868941|0001096296|0001479681|0001821769|0001841408,manufacturing,0.2647058823529412,170,0.22916666666666666,0.25,0.1026,0.0,0.015687980471486417,1.25,1.25,6.389008788226042,0.35714285714285715,False
causal_nonlinear_ridge__n5__diagonal_shrinkage_signal_optimizer__vol30_drawdown_guard,causal_nonlinear_ridge__n5__diagonal_shrinkage_signal_optimizer,causal_nonlinear_ridge,5,diagonal_shrinkage_signal_optimizer,vol30_drawdown_guard,-0.10559783658892397,-0.18804246693999563,-0.5634909087259043,-0.39876529043576725,-0.8094803226479698,-0.5634909087259045,-0.18880721934285816,-0.25698327938194315,-0.5634909087259043,-0.20800109261388766,-0.4930630206570611,-0.23173098002662207,-0.45124971531359825,-0.5644968808962862,-0.4302511413390838,0.3330496075540124,0001868941|0001479681|0001841408|0001590560|0000723612,manufacturing,0.17647058823529413,170,0.06944444444444445,0.0,0.0082,0.0,0.002015000024422294,0.916954114598738,1.5,6.47834924062604,0.35714285714285715,False
