candidate_sleeve,reference_sleeve,return_corr
composite_anti_chop_clarity,dual_momentum_topn,0.6943122972752136
composite_anti_chop_clarity,taa_10m_sma,0.6802543656248099
composite_anti_chop_clarity,cta_trend_long_only,0.674060342717567
composite_anti_chop_clarity,composite_regime_conditioned,0.6574118948314198
composite_anti_chop_clarity,composite_trend_quality_refined,0.6388213603622805
composite_anti_chop_clarity,composite_confirmation_aware_momentum,0.5975306093844283
composite_calm_trend_participation,cta_trend_long_only,0.7535098838664065
composite_calm_trend_participation,composite_trend_quality_refined,0.7103498372616099
composite_calm_trend_participation,composite_confirmation_aware_momentum,0.6838399217841831
composite_calm_trend_participation,composite_regime_conditioned,0.6631841138014339
composite_calm_trend_participation,dual_momentum_topn,0.6551042124579219
composite_calm_trend_participation,taa_10m_sma,0.653455645202688
composite_recovery_transition,cta_trend_long_only,0.7075325617191843
composite_recovery_transition,composite_confirmation_aware_momentum,0.6793567068869588
composite_recovery_transition,composite_regime_conditioned,0.6628835491035114
composite_recovery_transition,composite_trend_quality_refined,0.6614282887983478
composite_recovery_transition,taa_10m_sma,0.6141371649596189
composite_recovery_transition,dual_momentum_topn,0.574224518508205
