candidate_strategy,reference_strategy,return_corr
composite_trend_quality_module,composite_selective_signals,0.770666449171986
composite_trend_quality_module,composite_regime_conditioned,0.7972421741639448
composite_trend_quality_module,dual_momentum_topn,0.8745064432550237
composite_trend_quality_module,cta_trend_long_only,0.8767140937368086
composite_trend_quality_module,taa_10m_sma,0.7296420955997436
composite_confirmation_aware_momentum,composite_selective_signals,0.7597929790130928
composite_confirmation_aware_momentum,composite_regime_conditioned,0.7782423862150553
composite_confirmation_aware_momentum,dual_momentum_topn,0.7955667286108705
composite_confirmation_aware_momentum,cta_trend_long_only,0.8595372369465695
composite_confirmation_aware_momentum,taa_10m_sma,0.744837908090808
composite_trend_quality_refined,composite_selective_signals,0.7529767690753083
composite_trend_quality_refined,composite_regime_conditioned,0.8013077756037543
composite_trend_quality_refined,dual_momentum_topn,0.864467965868784
composite_trend_quality_refined,cta_trend_long_only,0.8698573432155527
composite_trend_quality_refined,taa_10m_sma,0.738443516144557
