candidate_sleeve,reference_sleeve,return_corr
composite_calm_trend_specialist,cta_trend_long_only,0.7576171866105034
composite_calm_trend_specialist,composite_trend_quality_refined,0.7119147695537432
composite_calm_trend_specialist,composite_confirmation_aware_momentum,0.70077642147196
composite_calm_trend_specialist,dual_momentum_topn,0.6662449723167148
composite_calm_trend_specialist,composite_regime_conditioned,0.6522092364304504
composite_calm_trend_specialist,taa_10m_sma,0.6472226742245835
composite_healthier_recovery_specialist,cta_trend_long_only,0.68462941130681
composite_healthier_recovery_specialist,composite_confirmation_aware_momentum,0.659717494352798
composite_healthier_recovery_specialist,composite_trend_quality_refined,0.6479838481801729
composite_healthier_recovery_specialist,composite_regime_conditioned,0.6356101306776515
composite_healthier_recovery_specialist,taa_10m_sma,0.5952709991155102
composite_healthier_recovery_specialist,dual_momentum_topn,0.5537974327573444
