candidate,sharpe_not_materially_worse,ann_return_not_materially_worse,drawdown_not_materially_worse,cvar_not_materially_worse,turnover_under_cap,guard_states_preserved,hidden_beta_not_higher,concentration_not_worse,guard_state_ann_return_deltas,risk_herfindahl,delta_risk_herfindahl_vs_ggg1,delta_sharpe_vs_ggg1,delta_ann_return_vs_ggg1,decision
improved_phasejjj4_state_risk_contribution_caps,False,False,True,True,True,False,True,False,recovery_confirmed:-1.0612%;recovery_fragile:-2.0776%;stressed_panic:-0.0053%,0.17765792327726182,0.007895119448527194,-0.02189085307578753,-0.0033318804457171947,REJECT
improved_phasejjj4_adaptive_mom_vol_corr_budget,False,False,True,True,True,False,True,False,recovery_confirmed:-1.0612%;recovery_fragile:-2.0776%;stressed_panic:-0.0053%,0.17765792327726182,0.007895119448527194,-0.02189085307578753,-0.0033318804457171947,REJECT
improved_phasejjj4_conservative_adaptive_risk_budget,False,False,True,True,True,False,True,False,recovery_confirmed:-1.0612%;recovery_fragile:-2.0776%;stressed_panic:-0.0053%,0.17765792327726182,0.007895119448527194,-0.02189085307578753,-0.0033318804457171947,REJECT
