variant,decision_date,assets,rank_ic
real,2012-01-06,34,0.6951457725488592
real,2012-02-03,34,-0.140944719556563
real,2012-03-02,34,0.5577396123780417
real,2012-04-06,34,-0.2822348326464519
real,2012-05-04,34,0.0075317623334691395
real,2012-06-01,34,-0.503101560776265
real,2012-07-06,34,0.06239014205329025
real,2012-08-03,34,-0.05091731464957455
real,2012-09-07,34,0.11840336068130838
real,2012-10-05,34,-0.7076959853133699
real,2012-11-02,34,0.17238598363616653
real,2012-12-07,34,0.3215395310750568
real,2013-01-04,34,0.13283680718546423
real,2013-02-01,34,0.03932390831672422
real,2013-03-01,34,0.20534100250998918
real,2013-04-05,34,0.3848319290683114
real,2013-05-03,34,-0.35664200245712446
real,2013-06-07,34,-0.037285981998141815
real,2013-07-05,34,0.1609348047804399
real,2013-08-02,34,0.18604460802685754
real,2013-09-06,34,-0.07398604042579578
real,2013-10-04,34,0.3043276868560002
real,2013-11-01,34,-0.18525890617655713
real,2013-12-06,34,0.3358912764619261
real,2014-01-03,34,-0.33761641026830685
real,2014-02-07,34,0.5402929134438926
real,2014-03-07,34,-0.4923727810750996
real,2014-04-04,34,-0.3410019762697704
real,2014-05-02,34,0.24163856028038558
real,2014-06-06,34,0.3463581488165087
real,2014-07-04,34,-0.3644956991729693
real,2014-08-01,34,0.531366794196722
real,2014-09-05,34,-0.5322880486716425
real,2014-10-03,34,0.4123456754273147
real,2014-11-07,34,0.5121745389232254
real,2014-12-05,34,0.12091526180450311
real,2015-01-02,34,0.028220998487834797
real,2015-02-06,34,0.05146269524923597
real,2015-03-06,34,-0.15445104878022453
real,2015-04-03,34,-0.18385316300447477
real,2015-05-01,34,0.11459379021631079
real,2015-06-05,34,0.018987522790185115
real,2015-07-03,34,0.33351838696533564
real,2015-08-07,34,-0.4675754492808127
real,2015-09-04,34,0.08612728327990038
real,2015-10-02,34,0.14139983105026624
real,2015-11-06,34,0.2033148202501476
real,2015-12-04,35,0.10941983094489723
real,2016-01-01,35,0.015462282696616397
real,2016-02-05,35,0.41289246823764736
real,2016-03-04,35,0.2183580795941246
real,2016-04-01,35,-0.2770400414639611
real,2016-05-06,35,-0.23624972229801727
real,2016-06-03,35,0.004088229223774917
real,2016-07-01,35,0.14760257167580706
real,2016-08-05,35,-0.26697621730009413
real,2016-09-02,35,-0.23852384832800763
real,2016-10-07,35,-0.13172367781497016
real,2016-11-04,35,-0.1662724514991869
real,2016-12-02,35,-0.23048607660275416
real,2017-01-06,35,0.4665680886914864
real,2017-02-03,35,-0.0042270404903791995
real,2017-03-03,35,-0.33933072949795134
real,2017-04-07,35,-0.13883812050074684
real,2017-05-05,35,0.2482812978513165
real,2017-06-02,35,0.1193816714596356
real,2017-07-07,35,0.5114704883867395
real,2017-08-04,35,-0.15214604467657425
real,2017-09-01,35,0.06464642962433081
real,2017-10-06,35,0.24484408964324209
real,2017-11-03,35,0.03724755986330726
real,2017-12-01,35,0.33248832739252754
real,2018-01-05,35,0.11889282846949202
real,2018-02-02,35,-0.5258238474068816
real,2018-03-02,35,-0.19233434631555663
real,2018-04-06,35,0.49276372910705407
real,2018-05-04,35,0.17296587908598282
real,2018-06-01,35,-0.19509754584315084
real,2018-07-06,35,0.3900210937758312
real,2018-08-03,35,0.38695972418093544
real,2018-09-07,35,-0.15176930740554234
real,2018-10-05,35,-0.557585247388078
real,2018-11-02,35,0.03533521718414019
real,2018-12-07,35,-0.5645258529270474
real,2019-01-04,35,0.49347462761401956
real,2019-02-01,35,0.47669789335261215
real,2019-03-01,35,0.21794796184084933
real,2019-04-05,35,0.08240850683202397
real,2019-05-03,35,-0.22668021441533381
real,2019-06-07,35,0.44050923205081116
real,2019-07-05,35,-0.625386394326462
real,2019-08-02,35,0.16453960804283752
real,2019-09-06,35,-0.06784202229418465
real,2019-10-04,35,0.18767830344337352
real,2019-11-01,35,-0.01938241866856461
real,2019-12-06,35,0.36121381712204625
real,2020-01-03,35,0.003784404615533915
real,2020-02-07,35,-0.5560472186479242
real,2020-03-06,35,-0.49059396042463344
real,2020-04-03,35,0.6165782100077266
real,2020-05-01,35,0.4370918054092646
real,2020-06-05,35,0.34662142451992045
real,2020-07-03,35,0.39386382905637507
real,2020-08-07,35,0.2553103661419891
real,2020-09-04,35,-0.28660870373368136
real,2020-10-02,35,-0.28594369749336584
real,2020-11-06,35,0.17528326547377912
real,2020-12-04,35,0.43825612729683766
real,2021-01-01,35,-0.3256598485265372
real,2021-02-05,35,0.03909625725797311
real,2021-03-05,35,0.46914669641058204
real,2021-04-02,35,0.35673768356634966
real,2021-05-07,35,0.3869614968905349
