candidate,sharpe_not_materially_worse,ann_return_not_materially_worse,drawdown_not_materially_worse,cvar_not_materially_worse,turnover_under_cap,stressed_panic_preserved,recovery_confirmed_not_worse,recovery_fragile_not_worse,recovery_confirmed_improved,hidden_beta_not_higher,guard_state_ann_return_deltas,delta_sharpe_vs_ggg1,delta_ann_return_vs_ggg1,decision
improved_phasemmm_recovery_confirmed_css_cap,False,False,True,True,True,True,False,False,False,True,recovery_confirmed:-1.0612%;recovery_fragile:-2.0776%;stressed_panic:-0.0053%,-0.02189085307578753,-0.0033318804457171947,REJECT
improved_phasemmm_recovery_confirmed_css_filter,True,True,True,True,False,True,True,True,True,True,recovery_confirmed:0.1330%;recovery_fragile:-0.0549%;stressed_panic:-0.0276%,-0.001416509361284346,-8.300969080554665e-05,REJECT
improved_phasemmm_conservative_css_polish,False,False,True,True,True,True,False,False,False,True,recovery_confirmed:-1.0612%;recovery_fragile:-2.0776%;stressed_panic:-0.0053%,-0.02189085307578753,-0.0033318804457171947,REJECT
