variant,cost_bps,full_observations,full_years,full_total_return,full_annual_return,full_annual_volatility,full_sharpe_zero_rf,full_sortino_zero_target,full_max_drawdown,full_max_drawdown_duration_weeks,full_calmar,full_cvar_5_weekly,full_positive_week_share,full_worst_week,full_best_week,full_annual_allocation_turnover,full_mean_ml_weight,oos_2016_2020_observations,oos_2016_2020_years,oos_2016_2020_total_return,oos_2016_2020_annual_return,oos_2016_2020_annual_volatility,oos_2016_2020_sharpe_zero_rf,oos_2016_2020_sortino_zero_target,oos_2016_2020_max_drawdown,oos_2016_2020_max_drawdown_duration_weeks,oos_2016_2020_calmar,oos_2016_2020_cvar_5_weekly,oos_2016_2020_positive_week_share,oos_2016_2020_worst_week,oos_2016_2020_best_week,oos_2016_2020_annual_allocation_turnover,oos_2016_2020_mean_ml_weight,oos_2021_present_observations,oos_2021_present_years,oos_2021_present_total_return,oos_2021_present_annual_return,oos_2021_present_annual_volatility,oos_2021_present_sharpe_zero_rf,oos_2021_present_sortino_zero_target,oos_2021_present_max_drawdown,oos_2021_present_max_drawdown_duration_weeks,oos_2021_present_calmar,oos_2021_present_cvar_5_weekly,oos_2021_present_positive_week_share,oos_2021_present_worst_week,oos_2021_present_best_week,oos_2021_present_annual_allocation_turnover,oos_2021_present_mean_ml_weight
core_only,10,761,14.6346154,1.93850539,0.0764345244,0.0917303942,0.849754391,1.19002867,-0.233902684,97,0.326779167,-0.0298721268,0.600525624,-0.110963015,0.103979965,0,0,261,5.01923077,0.359078343,0.0630331192,0.109632901,0.613376057,0.814800676,-0.233902684,80,0.269484377,-0.0373200469,0.616858238,-0.110963015,0.103979965,0,0,293,5.63461538,0.686196618,0.0971610963,0.0877400139,1.10156902,1.68652394,-0.0853387923,60,1.13853376,-0.0259558154,0.57337884,-0.0618870823,0.0441563777,0,0
core_only,50,761,14.6346154,1.44559634,0.0630134896,0.091758529,0.712624196,0.98655641,-0.235004324,103,0.268137576,-0.0301055994,0.593955322,-0.110963015,0.103979965,0,0,261,5.01923077,0.276822764,0.0498924128,0.109510052,0.500241514,0.659959829,-0.235004324,91,0.212304233,-0.0373724278,0.61302682,-0.110963015,0.103979965,0,0,293,5.63461538,0.556987178,0.0817469314,0.0878943123,0.938574297,1.4095873,-0.0858492419,93,0.952214949,-0.0263247043,0.566552901,-0.0634870823,0.0439301416,0,0
core_only,100,761,14.6346154,0.943319251,0.0464453484,0.0920275076,0.539954331,0.737043944,-0.236381373,113,0.196484807,-0.0304793461,0.584756899,-0.110963015,0.103979965,0,0,261,5.01923077,0.180814616,0.0336679064,0.109555865,0.357813537,0.467872857,-0.236381373,102,0.142430455,-0.0374732717,0.593869732,-0.110963015,0.103979965,0,0,293,5.63461538,0.40905982,0.0627501178,0.0883813465,0.733185468,1.07632385,-0.0874574874,98,0.717492804,-0.0268000406,0.563139932,-0.0654870823,0.0436473464,0,0
constant_10,10,761,14.6346154,2.13979459,0.0813189887,0.0937016597,0.882279253,1.23107728,-0.243310516,82,0.334218964,-0.0302298646,0.609724047,-0.114283843,0.104369234,0.00683311432,0.1,261,5.01923077,0.37699813,0.0658110234,0.113050722,0.62143447,0.822597047,-0.243310516,82,0.270481623,-0.0381960486,0.61302682,-0.114283843,0.104369234,0,0.1,293,5.63461538,0.787533119,0.1085841,0.0886282497,1.20852491,1.84493381,-0.0883556393,53,1.22894362,-0.0261953072,0.597269625,-0.0636762084,0.0420102701,0,0.1
constant_10,50,761,14.6346154,1.53373738,0.0655884184,0.093738281,0.725437081,0.999680305,-0.244429644,109,0.268332505,-0.0304817644,0.591327201,-0.114283843,0.104369234,0.00683311432,0.1,261,5.01923077,0.28182003,0.050709804,0.113013041,0.495202548,0.6504509,-0.244429644,91,0.20746176,-0.0383458767,0.593869732,-0.114283843,0.104369234,0,0.1,293,5.63461538,0.633319094,0.09097464,0.0886833566,1.02696781,1.53734901,-0.0905041529,65,1.00519851,-0.0265084639,0.587030717,-0.0651162084,0.0418312709,0,0.1
constant_10,100,761,14.6346154,0.93729335,0.0462233033,0.093959885,0.528565656,0.717264991,-0.245828051,121,0.188031037,-0.0308458006,0.582128778,-0.114283843,0.104369234,0.00683311432,0.1,261,5.01923077,0.171913939,0.0321108661,0.113114334,0.336851723,0.438099636,-0.245828051,106,0.130623279,-0.0385504135,0.582375479,-0.114283843,0.104369234,0,0.1,293,5.63461538,0.458904215,0.0693270541,0.0889761718,0.798324227,1.16730117,-0.0931861449,96,0.743963109,-0.0269375209,0.580204778,-0.0669162084,0.0416075219,0,0.1
constant_20,10,761,14.6346154,2.34973694,0.0861119236,0.0967175744,0.903597468,1.25927176,-0.252635397,82,0.340854546,-0.0309241994,0.622864652,-0.117604671,0.104758503,0.0136662286,0.2,261,5.01923077,0.394374782,0.0684772221,0.117316351,0.624474203,0.825668472,-0.252635397,82,0.271051574,-0.0394972418,0.620689655,-0.117604671,0.104758503,0,0.2,293,5.63461538,0.893509567,0.119973855,0.0910023759,1.29191366,1.96984325,-0.0938514416,39,1.27833791,-0.0267591227,0.627986348,-0.0654653345,0.0417365491,0,0.2
constant_20,50,761,14.6346154,1.62100475,0.0680568846,0.0967727516,0.729679593,1.00339539,-0.253771019,113,0.268182257,-0.0311663149,0.611038108,-0.117604671,0.104758503,0.0136662286,0.2,261,5.01923077,0.286117703,0.0514107261,0.117359282,0.486942458,0.638313374,-0.253771019,97,0.202587066,-0.0397315479,0.605363985,-0.117604671,0.104758503,0,0.2,293,5.63461538,0.712074351,0.100130709,0.0909760047,1.09539391,1.63769476,-0.0960924463,60,1.04202477,-0.0269779031,0.62116041,-0.0667453345,0.0413785507,0,0.2
constant_20,100,761,14.6346154,0.928179386,0.0458862423,0.0969936894,0.511757883,0.692211931,-0.255189664,147,0.179812308,-0.0315048004,0.591327201,-0.117604671,0.104758503,0.0136662286,0.2,261,5.01923077,0.162412991,0.030438333,0.11753609,0.314839,0.408262442,-0.255189664,106,0.119277296,-0.0400396827,0.593869732,-0.117604671,0.104758503,0,0.2,293,5.63461538,0.509311169,0.0757928617,0.0911309318,0.847832309,1.23768349,-0.0988891073,96,0.766442976,-0.0272682393,0.597269625,-0.0683453345,0.0409310527,0,0.2
constant_30,10,761,14.6346154,2.56825695,0.0908121289,0.100684307,0.91490405,1.27706879,-0.261877795,82,0.346772925,-0.0319577779,0.61892247,-0.120925499,0.105147772,0.020499343,0.3,261,5.01923077,0.411183018,0.0710310094,0.122341138,0.623408078,0.825068991,-0.261877795,82,0.271237236,-0.0413735866,0.616858238,-0.120925499,0.105147772,0,0.3,293,5.63461538,1.00423792,0.1313273,0.0947507645,1.35117621,2.06558913,-0.0993239644,39,1.32221162,-0.0275133933,0.624573379,-0.0672544607,0.0414628281,0,0.3
constant_30,50,761,14.6346154,1.70710127,0.0704183045,0.100766701,0.726678341,1.00011899,-0.263028937,121,0.267720751,-0.0321924789,0.608409987,-0.120925499,0.105147772,0.020499343,0.3,261,5.01923077,0.289709513,0.0519950892,0.122459023,0.476323318,0.624549875,-0.263028937,97,0.197678209,-0.041687345,0.609195402,-0.120925499,0.105147772,0,0.3,293,5.63461538,0.793248903,0.109212383,0.0946630722,1.14336213,1.71401667,-0.101656261,41,1.07433012,-0.0276969489,0.607508532,-0.0683744607,0.0409258305,0,0.3
constant_30,100,761,14.6346154,0.916025111,0.0454344245,0.101029746,0.491049459,0.664111716,-0.264466716,153,0.17179638,-0.0325166487,0.58738502,-0.120925499,0.105147772,0.020499343,0.3,261,5.01923077,0.152328114,0.0286509861,0.122727859,0.292575232,0.37917587,-0.264466716,106,0.108334941,-0.0421141935,0.593869732,-0.120925499,0.105147772,0,0.3,293,5.63461538,0.560221244,0.0821453638,0.094739248,0.881320729,1.28968656,-0.104566436,67,0.785580603,-0.0279263933,0.590443686,-0.0697744607,0.0402545834,0,0.3
confidence_tiered_unguarded,10,761,14.6346154,2.20666544,0.0828772369,0.093386135,0.900332978,1.26467095,-0.233902684,98,0.354323582,-0.030423313,0.608409987,-0.110963015,0.103979965,0.731143233,0.073455979,261,5.01923077,0.343830193,0.0606461765,0.110459229,0.58923767,0.782200485,-0.233902684,82,0.259279523,-0.0377240132,0.605363985,-0.110963015,0.103979965,0.577777778,0.0463601533,293,5.63461538,0.86637267,0.117108286,0.0912009672,1.26111994,1.93834862,-0.0922918151,39,1.26889135,-0.027160113,0.607508532,-0.0636762084,0.0441563777,1.31331058,0.142320819
confidence_tiered_unguarded,50,761,14.6346154,1.50668683,0.0648071646,0.0933667768,0.720031679,0.997188907,-0.235004324,109,0.275770095,-0.0306930645,0.600525624,-0.110963015,0.103979965,0.731143233,0.073455979,261,5.01923077,0.241073257,0.0439690127,0.110336161,0.445995193,0.587194337,-0.235004324,99,0.187098739,-0.0378029151,0.597701149,-0.110963015,0.103979965,0.577777778,0.0463601533,293,5.63461538,0.65085801,0.0930446496,0.0912353419,1.02156178,1.53308775,-0.0950622081,65,0.97877644,-0.027481083,0.597269625,-0.0651162084,0.0439301416,1.31331058,0.142320819
confidence_tiered_unguarded,100,761,14.6346154,0.841704423,0.0426121487,0.0935778746,0.493306376,0.67124859,-0.249985192,168,0.170458692,-0.0310783154,0.58869908,-0.110963015,0.103979965,0.731143233,0.073455979,261,5.01923077,0.12343987,0.023460842,0.110387122,0.265997702,0.34648902,-0.249985192,152,0.0938489269,-0.0379916112,0.582375479,-0.110963015,0.103979965,0.577777778,0.0463601533,293,5.63461538,0.415810787,0.0636519992,0.0915579324,0.720161658,1.04959832,-0.0985181517,100,0.646094127,-0.0279418723,0.583617747,-0.0669162084,0.0436473464,1.31331058,0.142320819
confidence_tiered_guarded,10,761,14.6346154,2.09532457,0.080265522,0.0929484852,0.878115897,1.23126204,-0.233902684,98,0.343157763,-0.0303369573,0.604467806,-0.110963015,0.103979965,0.621813403,0.0591327201,261,5.01923077,0.346511152,0.0610674194,0.11015691,0.594157595,0.789691573,-0.233902684,82,0.261080455,-0.0374244562,0.605363985,-0.110963015,0.103979965,0.458237548,0.0329501916,293,5.63461538,0.797982041,0.109731408,0.0904015152,1.19803731,1.82993995,-0.0922918151,65,1.18896142,-0.0271826594,0.597269625,-0.0636762084,0.0441563777,1.13583618,0.117064846
confidence_tiered_guarded,50,761,14.6346154,1.44470524,0.0629870184,0.0929491123,0.704421389,0.974134424,-0.235004324,109,0.268024934,-0.0305974871,0.596583443,-0.110963015,0.103979965,0.621813403,0.0591327201,261,5.01923077,0.248695987,0.0452433905,0.110040005,0.457992193,0.603859833,-0.235004324,99,0.192521524,-0.037503358,0.597701149,-0.110963015,0.103979965,0.458237548,0.0329501916,293,5.63461538,0.600209509,0.087016569,0.0904728831,0.968186284,1.44464119,-0.0950622081,96,0.915364484,-0.027481083,0.587030717,-0.0651162084,0.0439301416,1.13583618,0.117064846
confidence_tiered_guarded,100,761,14.6346154,0.819455774,0.0417466202,0.0931880855,0.486060992,0.660696133,-0.248440327,167,0.168034798,-0.0309811783,0.584756899,-0.110963015,0.103979965,0.621813403,0.0591327201,261,5.01923077,0.136196451,0.0257657468,0.110096546,0.286849022,0.374289892,-0.248440327,152,0.103710002,-0.0376920542,0.582375479,-0.110963015,0.103979965,0.458237548,0.0329501916,293,5.63461538,0.383003227,0.0592354623,0.090854499,0.679188984,0.984921138,-0.108484224,115,0.546028353,-0.0279418723,0.57337884,-0.0669162084,0.0436473464,1.13583618,0.117064846
