name,full_ann_return,full_ann_vol,full_sharpe,full_max_drawdown,full_cvar_5,full_calmar,holdout_ann_return,holdout_ann_vol,holdout_sharpe,holdout_max_drawdown,holdout_cvar_5,avg_BIL,avg_SPY,avg_turnover,max_single_etf_weight,window,start,end,ann_return,ann_vol,sharpe,max_drawdown,cvar_5,calmar
improved_phaseggg_confirmed_only_robust_offense,0.07138099253495178,0.07621368826084082,0.9365901869313925,-0.11773854403501716,-0.025377145718160805,0.6062669886058897,0.14652060102457187,0.08040123651305014,1.8223675080020656,-0.07254060619220981,-0.022021759718812574,0.2665801265614856,0.06025656512327496,0.12356621236292638,1.0,full_window,,,,,,,,
improved_phase2b_regime_confidence_boost,0.06892339744592735,0.07789583362986176,0.8848149411100881,-0.1397540394638661,-0.026181041847003924,0.49317642416874635,0.12434300579402913,0.07652351623850302,1.624899271571444,-0.06264198894939876,-0.021010819552750686,0.2839178772422698,0.07081167142134887,0.11235713174891823,1.0,full_window,,,,,,,,
improved_phase2b_combo_abc,0.06858383853128158,0.07758151231293113,0.8840229648352725,-0.13674121541523387,-0.026085048036177054,0.5015593749332792,0.12357814887332408,0.07592246767663573,1.6276887811347291,-0.0623953152856741,-0.02089448792568889,0.28555249754723755,0.07075650850396528,0.11304102891252374,1.0,full_window,,,,,,,,
improved_phaseeee_smoothed_near_exclude_dual,0.07127236382560498,0.07620376497612329,0.9352866468990941,-0.11773854403501693,-0.02537692458522291,0.6053443620332835,0.14628628670593335,0.08038619749951316,1.8197935871617674,-0.0725413813189516,-0.02202178939068323,0.266545761829705,0.060178289759951355,0.12303737999723965,1.0,full_window,,,,,,,,
improved_phaseggg_confirmed_only_robust_offense,,,,,,,,,,,,,,,,train_first_60pct,2005-01-07,2017-10-06,0.062428941585190856,0.07167472214341901,0.871003607942454,-0.0921682293619227,-0.02473626907237237,0.6773368873133849
improved_phaseggg_confirmed_only_robust_offense,,,,,,,,,,,,,,,,validation_next_20pct,2017-10-13,2022-01-07,0.06512371255210203,0.08817376182409087,0.7385838054865536,-0.11773854403501693,-0.030648847921903047,0.5531214360246668
improved_phaseggg_confirmed_only_robust_offense,,,,,,,,,,,,,,,,test_last_20pct,2022-01-14,2026-04-10,0.10514675932131667,0.0763726719212671,1.3767589463114884,-0.07254060619220959,-0.02010369230247151,1.4494882913262557
improved_phaseggg_confirmed_only_robust_offense,,,,,,,,,,,,,,,,holdout_last_156w,2023-04-21,2026-04-10,0.14652060102457187,0.08040123651305014,1.8223675080020656,-0.07254060619220981,-0.022021759718812574,2.0198425229083186
improved_phase2b_regime_confidence_boost,,,,,,,,,,,,,,,,train_first_60pct,2005-01-07,2017-10-06,0.06564736999456944,0.07575745259415487,0.866546692722803,-0.09911793438561389,-0.025481302643292476,0.6623157595190723
improved_phase2b_regime_confidence_boost,,,,,,,,,,,,,,,,validation_next_20pct,2017-10-13,2022-01-07,0.0535424186096487,0.08876167322595324,0.603215517054869,-0.13975403946386622,-0.032474093114766664,0.3831189339145523
improved_phase2b_regime_confidence_boost,,,,,,,,,,,,,,,,test_last_20pct,2022-01-14,2026-04-10,0.0945619284011554,0.0723048735166376,1.3078223334336707,-0.06264198894939876,-0.019933105597858197,1.509561397827599
improved_phase2b_regime_confidence_boost,,,,,,,,,,,,,,,,holdout_last_156w,2023-04-21,2026-04-10,0.12434300579402913,0.07652351623850302,1.624899271571444,-0.06264198894939876,-0.021010819552750686,1.9849785723513904
improved_phase2b_combo_abc,,,,,,,,,,,,,,,,train_first_60pct,2005-01-07,2017-10-06,0.06516952711574309,0.07552620467294509,0.862873057079327,-0.09841166124095269,-0.02535724768733655,0.6622134642781913
improved_phase2b_combo_abc,,,,,,,,,,,,,,,,validation_next_20pct,2017-10-13,2022-01-07,0.05433577444744686,0.08853815748335109,0.6136989518633735,-0.13674121541523354,-0.03245016012936792,0.39736208488749203
improved_phase2b_combo_abc,,,,,,,,,,,,,,,,test_last_20pct,2022-01-14,2026-04-10,0.09347249833719462,0.07161941401104573,1.305127940906896,-0.06239531528567421,-0.019836817195918392,1.4980691724889101
improved_phase2b_combo_abc,,,,,,,,,,,,,,,,holdout_last_156w,2023-04-21,2026-04-10,0.12357814887332408,0.07592246767663573,1.6276887811347291,-0.0623953152856741,-0.02089448792568889,1.9805677446700471
improved_phaseeee_smoothed_near_exclude_dual,,,,,,,,,,,,,,,,train_first_60pct,2005-01-07,2017-10-06,0.062300268977286244,0.07166168358084606,0.8693665270506992,-0.09195860734924688,-0.02473589784233596,0.677481649332486
improved_phaseeee_smoothed_near_exclude_dual,,,,,,,,,,,,,,,,validation_next_20pct,2017-10-13,2022-01-07,0.06512371358906566,0.08817376209432631,0.7385838149833934,-0.11773854403501693,-0.030648848005382274,0.5531214448320088
improved_phaseeee_smoothed_near_exclude_dual,,,,,,,,,,,,,,,,test_last_20pct,2022-01-14,2026-04-10,0.10498804294522168,0.07636019237222148,1.3749054276009722,-0.07254138131895149,-0.020103758723149134,1.4472848605350925
improved_phaseeee_smoothed_near_exclude_dual,,,,,,,,,,,,,,,,holdout_last_156w,2023-04-21,2026-04-10,0.14628628670593335,0.08038619749951316,1.8197935871617674,-0.0725413813189516,-0.02202178939068323,2.016590862293323
