candidate_id,neighbor_count,median_2016_2020_sharpe,median_2021_present_sharpe,positive_return_neighbors_2016_2020,positive_return_neighbors_2021_present,worst_neighbor_drawdown,pass
candidate-3a187e9134eefe61,9,0.40203826426560985,0.916413869240059,9,9,-0.25095836481222533,True
candidate-539eaf900f7b2b57,9,0.5166841269179532,1.0151209849607348,9,9,-0.29611029386567245,True
candidate-4c75085a1dd85949,9,0.5224739540327314,1.0732091106101378,9,9,-0.29933839711103327,True
candidate-8ca3faf38ba934cb,9,0.4668102096189696,1.083985809512854,9,9,-0.29346156909674836,True
candidate-23e3beb2c30dbeb8,9,0.7436516714621856,0.9620033632640841,9,9,-0.29611029386567245,True
candidate-052f66f29b9fafbe,9,0.4015675004310362,1.10058964782009,9,9,-0.2934436180743628,True
candidate-36a0f3d51675c16f,9,0.5224739540327314,1.0732091106101378,9,9,-0.29933839711103327,True
candidate-0788c02844e389fa,9,0.36461720366996625,1.0751802107185555,9,9,-0.2930595301335076,True
candidate-c1a595f584a5d469,9,0.6006782029502269,0.9238601008399303,9,9,-0.29322048521404287,True
candidate-fc7248702f02b421,9,0.5776726904454929,1.0460375675700653,9,9,-0.29559262389189245,True
