decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status
2012-04-01 00:00:00+00:00,0000101594-12-000017,0000101594,US ENERGY CORP,1311,energy,10-K,2-ACC,2012-03-14,2012-03-15 00:00:00+00:00,20111231,2011,FY,2012Q1,17.0,BSIN,Nasdaq,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-088742,0000101778,MARATHON OIL CORP,2911,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-112214,0000106455,WESTMORELAND COAL CO,1221,energy,10-K,2-ACC,2012-03-13,2012-03-14 00:00:00+00:00,20111231,2011,FY,2012Q1,18.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000277595-12-000007,0000277595,ENERGEN CORP,1311,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001104659-12-017536,0000277924,CREDO PETROLEUM CORP,1311,energy,10-Q,2-ACC,2012-03-12,2012-03-13 00:00:00+00:00,20120131,2012,Q1,2012Q1,19.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000311471-12-000008,0000311471,APCO OIL & GAS INTERNATIONAL INC,1311,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001104659-12-020741,0000314606,GEOKINETICS INC,1311,energy,10-K,2-ACC,2012-03-23,2012-03-24 00:00:00+00:00,20111231,2011,FY,2012Q1,8.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000314808-12-000020,0000314808,ENSCO PLC,1381,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,VAL|VAL-WT,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-046624,0000315131,PANHANDLE OIL & GAS INC,1311,energy,10-Q,2-ACC,2012-02-08,2012-02-09 00:00:00+00:00,20111231,2012,Q1,2012Q1,52.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-075269,0000315852,RANGE RESOURCES CORP,1311,energy,10-K/A,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,RRC,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-081913,0000316300,EXCO RESOURCES INC,1311,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-089368,0000318996,KEY ENERGY SERVICES INC,1389,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001445305-12-000374,0000320575,PIONEER DRILLING CO,1381,energy,10-K,1-LAF,2012-02-21,2012-02-22 00:00:00+00:00,20111231,2011,FY,2012Q1,39.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-046246,0000351231,DAWSON GEOPHYSICAL CO,1382,energy,10-Q,2-ACC,2012-02-08,2012-02-09 00:00:00+00:00,20111231,2012,Q1,2012Q1,52.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000351817-12-000006,0000351817,SWIFT ENERGY CO,1311,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-084989,0000717423,MURPHY OIL CORP /DE,2911,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,MUR,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001185185-12-000468,0000719209,ISRAMCO INC,1311,energy,10-K,2-ACC,2012-03-23,2012-03-24 00:00:00+00:00,20111231,2011,FY,2012Q1,8.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-077054,0000732834,CONTINENTAL RESOURCES INC,1311,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001188112-12-000533,0000742278,RPC INC,1389,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,RES,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-104001,0000750199,ENERGY PARTNERS LTD,1311,energy,10-K,2-ACC,2012-03-08,2012-03-09 00:00:00+00:00,20111231,2011,FY,2012Q1,23.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-070408,0000773910,ANADARKO PETROLEUM CORP,1311,energy,10-K,1-LAF,2012-02-21,2012-02-22 00:00:00+00:00,20111231,2011,FY,2012Q1,39.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000778438-12-000013,0000778438,BERRY PETROLEUM CO,1311,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001354488-12-001090,0000785968,"MILLER ENERGY RESOURCES, INC.",1311,energy,10-Q,2-ACC,2012-03-12,2012-03-13 00:00:00+00:00,20120131,2012,Q3,2012Q1,19.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001047469-12-001378,0000789460,WORLD FUEL SERVICES CORP,5172,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,WKC,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0000797468-12-000016,0000797468,OCCIDENTAL PETROLEUM CORP /DE/,1311,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,OXY|OXY-WT,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-074271,0000798949,UNIT CORP,1311,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001104659-12-018471,0000799165,TGC INDUSTRIES INC,1382,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,DWSN,Nasdaq,current_ticker_available
2012-04-01 00:00:00+00:00,0001140361-12-006236,0000799235,ERHC ENERGY INC,1389,energy,10-Q,2-ACC,2012-02-08,2012-02-09 00:00:00+00:00,20111231,2012,Q1,2012Q1,52.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000813779-12-000011,0000813779,CRIMSON EXPLORATION INC.,1311,energy,10-K,2-ACC,2012-03-13,2012-03-14 00:00:00+00:00,20111231,2011,FY,2012Q1,18.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000821189-12-000014,0000821189,EOG RESOURCES INC,1311,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,EOG,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001047469-12-001902,0000837173,"WALTER ENERGY, INC.",1220,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000844965-12-000020,0000844965,TETRA TECHNOLOGIES INC,1311,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,TTI,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-117688,0000845289,"HARVEST NATURAL RESOURCES, INC.",1311,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001047469-12-001751,0000858470,CABOT OIL & GAS CORP,1311,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-078454,0000866609,ION GEOPHYSICAL CORP,1382,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped
