source_quarter,url,retrieved_at_utc,http_status,zip_bytes,zip_sha256,sub_bytes,sub_sha256,cached_sub_file,elapsed_seconds
2016Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2016q1.zip,2026-08-13T09:49:24.345294+00:00,200,95470843,5c89a6badede1b47ab540913c7484795c7fc4c2a4672ac601b34b8c0afe5a698,1918003,1daa8c5589b4b7679ec9610e5e24dba0f582b2d186143186de91118dccbf9d9d,/project/data/sec_fsds_sub_cache/2016q1.sub.txt.gz,4.047
2016Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2016q2.zip,2026-08-13T09:49:36.692476+00:00,200,73848835,e91daef1f83ab3a6a7a25425f1f09ac6c100be8e42ac7a54e539e1b0c303449c,2228033,9aaea8777cea2996e6d14f595ba1351407c0cc643441b6956753fe719afab030,/project/data/sec_fsds_sub_cache/2016q2.sub.txt.gz,15.721
2016Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2016q3.zip,2026-08-13T09:49:28.089697+00:00,200,71116399,4d014b8ee4476887aba067c59bfef967d4b12c905d4b1b3f89e8ff7ff7310156,1809862,c86c01f45c87ada5ad13cd75c76803600814dc531136eec866104a9f1d3a8230,/project/data/sec_fsds_sub_cache/2016q3.sub.txt.gz,3.74
2016Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2016q4.zip,2026-08-13T09:49:34.345008+00:00,200,79400707,b8a9550c386ea95eefcc95fc3b3c19f2b1428c0a7f46d5d547a671c3f9284e26,1989011,e55a1274bba3e07cb27a7da02dd932c0743bf12dd2b2eaaf97ca01f97c7f9917,/project/data/sec_fsds_sub_cache/2016q4.sub.txt.gz,6.284
2017Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2017q1.zip,2026-08-13T09:49:33.820445+00:00,200,92433981,ffb6989983c4c9f87e2f39166b20e4a21f024f0fe1adccc199e08da5fc94a915,1843921,d1b217900f73851082796fd62a63715cc1d693d03db92cc1611feaf43532aed3,/project/data/sec_fsds_sub_cache/2017q1.sub.txt.gz,5.73
2017Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2017q2.zip,2026-08-13T09:49:37.202295+00:00,200,71429748,63a590d7deaac8f82d22f08cb2ada46f199341ecc7e7a8a0a7d6a181cec1d53b,2147127,bf1c8c8f0f125ab32da8deabcbd8a306e57d358e215ec2f2c26f198a7baa6149,/project/data/sec_fsds_sub_cache/2017q2.sub.txt.gz,3.378
2017Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2017q3.zip,2026-08-13T09:49:51.289590+00:00,200,74356472,5aa58d799c4fb3f5f98974eb713696d1aebe747a01a794e7ac58517631b5735d,1923811,4462a6f224dfa9ae0e511144dd6efe001e73ca302ee17558457c2a649a608cd9,/project/data/sec_fsds_sub_cache/2017q3.sub.txt.gz,16.942
2017Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2017q4.zip,2026-08-13T09:49:39.872741+00:00,200,76051784,be03bfd71f356a7f53d82a40ee907bb51aec4f61d6ce97f059f2df785bc37658,1935807,b8064f8f01634d47728a433bf99d89e90512a083df4453a5b891cd76dddd7ad9,/project/data/sec_fsds_sub_cache/2017q4.sub.txt.gz,3.176
2018Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2018q1.zip,2026-08-13T09:49:57.486199+00:00,200,93176693,f7f0083d28779ff373cd097ded88d5408eae9cc178f89014ca3ed8b24dc84185,1763807,329d23d92b3494fe264bc69aec420b7cd0c08f89f535d8cbac7295023af81802,/project/data/sec_fsds_sub_cache/2018q1.sub.txt.gz,20.283
2018Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2018q2.zip,2026-08-13T09:49:43.741793+00:00,200,91972487,99daaf8af1fb1ba94b100613536d9dbee5e9a356f0736190963a3a68af623d54,2227373,4bf1e2d91223545ed9a5943b95b669f25858471bf55811af9452328664c387b8,/project/data/sec_fsds_sub_cache/2018q2.sub.txt.gz,3.869
