decision_at,sector,members,current_ticker_matches,former_or_unmapped,current_ticker_coverage
2012-04-01 00:00:00+00:00,energy,179,48,131,0.2681564245810056
2012-04-01 00:00:00+00:00,technology,450,184,266,0.4088888888888889
2012-07-01 00:00:00+00:00,energy,186,49,137,0.26344086021505375
2012-07-01 00:00:00+00:00,technology,459,184,275,0.4008714596949891
2012-10-01 00:00:00+00:00,energy,188,50,138,0.26595744680851063
2012-10-01 00:00:00+00:00,technology,465,185,280,0.3978494623655914
2013-01-01 00:00:00+00:00,energy,188,50,138,0.26595744680851063
2013-01-01 00:00:00+00:00,technology,467,186,281,0.39828693790149894
2013-04-01 00:00:00+00:00,energy,202,52,150,0.25742574257425743
2013-04-01 00:00:00+00:00,technology,488,192,296,0.39344262295081966
2013-07-01 00:00:00+00:00,energy,202,52,150,0.25742574257425743
2013-07-01 00:00:00+00:00,technology,486,195,291,0.4012345679012346
2013-10-01 00:00:00+00:00,energy,199,52,147,0.2613065326633166
2013-10-01 00:00:00+00:00,technology,483,198,285,0.40993788819875776
2014-01-01 00:00:00+00:00,energy,196,52,144,0.2653061224489796
2014-01-01 00:00:00+00:00,technology,475,198,277,0.4168421052631579
2014-04-01 00:00:00+00:00,energy,197,56,141,0.28426395939086296
2014-04-01 00:00:00+00:00,technology,478,201,277,0.4205020920502092
2014-07-01 00:00:00+00:00,energy,197,57,140,0.2893401015228426
2014-07-01 00:00:00+00:00,technology,481,204,277,0.42411642411642414
2014-10-01 00:00:00+00:00,energy,197,58,139,0.29441624365482233
2014-10-01 00:00:00+00:00,technology,482,206,276,0.42738589211618255
2015-01-01 00:00:00+00:00,energy,196,59,137,0.3010204081632653
2015-01-01 00:00:00+00:00,technology,480,208,272,0.43333333333333335
2015-04-01 00:00:00+00:00,energy,199,61,138,0.3065326633165829
2015-04-01 00:00:00+00:00,technology,491,213,278,0.43380855397148677
2015-07-01 00:00:00+00:00,energy,200,62,138,0.31
2015-07-01 00:00:00+00:00,technology,497,219,278,0.44064386317907445
2015-10-01 00:00:00+00:00,energy,197,62,135,0.3147208121827411
2015-10-01 00:00:00+00:00,technology,493,221,272,0.4482758620689655
2016-01-01 00:00:00+00:00,energy,198,62,136,0.31313131313131315
2016-01-01 00:00:00+00:00,technology,494,223,271,0.451417004048583
2016-04-01 00:00:00+00:00,energy,205,63,142,0.3073170731707317
2016-04-01 00:00:00+00:00,technology,510,234,276,0.4588235294117647
2016-07-01 00:00:00+00:00,energy,204,63,141,0.3088235294117647
2016-07-01 00:00:00+00:00,technology,509,238,271,0.4675834970530452
2016-10-01 00:00:00+00:00,energy,201,63,138,0.31343283582089554
2016-10-01 00:00:00+00:00,technology,499,237,262,0.4749498997995992
2017-01-01 00:00:00+00:00,energy,194,62,132,0.31958762886597936
2017-01-01 00:00:00+00:00,technology,500,240,260,0.48
2017-04-01 00:00:00+00:00,energy,181,61,120,0.3370165745856354
2017-04-01 00:00:00+00:00,technology,490,244,246,0.49795918367346936
2017-07-01 00:00:00+00:00,energy,177,61,116,0.3446327683615819
2017-07-01 00:00:00+00:00,technology,485,247,238,0.5092783505154639
2017-10-01 00:00:00+00:00,energy,174,62,112,0.3563218390804598
2017-10-01 00:00:00+00:00,technology,468,246,222,0.5256410256410257
2018-01-01 00:00:00+00:00,energy,171,61,110,0.3567251461988304
2018-01-01 00:00:00+00:00,technology,456,245,211,0.5372807017543859
2018-04-01 00:00:00+00:00,energy,165,64,101,0.3878787878787879
2018-04-01 00:00:00+00:00,technology,450,255,195,0.5666666666666667
2018-07-01 00:00:00+00:00,energy,168,65,103,0.3869047619047619
2018-07-01 00:00:00+00:00,technology,444,259,185,0.5833333333333334
2018-10-01 00:00:00+00:00,energy,165,66,99,0.4
2018-10-01 00:00:00+00:00,technology,438,257,181,0.58675799086758
2019-01-01 00:00:00+00:00,energy,168,67,101,0.39880952380952384
2019-01-01 00:00:00+00:00,technology,432,260,172,0.6018518518518519
2019-04-01 00:00:00+00:00,energy,175,73,102,0.41714285714285715
2019-04-01 00:00:00+00:00,technology,450,270,180,0.6
2019-07-01 00:00:00+00:00,energy,171,73,98,0.4269005847953216
2019-07-01 00:00:00+00:00,technology,445,273,172,0.6134831460674157
2019-10-01 00:00:00+00:00,energy,168,74,94,0.44047619047619047
2019-10-01 00:00:00+00:00,technology,435,274,161,0.6298850574712643
2020-01-01 00:00:00+00:00,energy,165,74,91,0.4484848484848485
2020-01-01 00:00:00+00:00,technology,436,277,159,0.6353211009174312
2020-04-01 00:00:00+00:00,energy,163,79,84,0.48466257668711654
2020-04-01 00:00:00+00:00,technology,448,288,160,0.6428571428571429
2020-07-01 00:00:00+00:00,energy,163,79,84,0.48466257668711654
2020-07-01 00:00:00+00:00,technology,451,293,158,0.6496674057649667
2020-10-01 00:00:00+00:00,energy,163,79,84,0.48466257668711654
2020-10-01 00:00:00+00:00,technology,446,295,151,0.6614349775784754
2021-01-01 00:00:00+00:00,energy,159,79,80,0.4968553459119497
2021-01-01 00:00:00+00:00,technology,440,296,144,0.6727272727272727
2021-04-01 00:00:00+00:00,energy,137,77,60,0.5620437956204379
2021-04-01 00:00:00+00:00,technology,447,306,141,0.6845637583892618
2021-07-01 00:00:00+00:00,energy,136,78,58,0.5735294117647058
2021-07-01 00:00:00+00:00,technology,439,304,135,0.6924829157175398
2021-10-01 00:00:00+00:00,energy,136,78,58,0.5735294117647058
2021-10-01 00:00:00+00:00,technology,426,304,122,0.7136150234741784
2022-01-01 00:00:00+00:00,energy,135,78,57,0.5777777777777777
2022-01-01 00:00:00+00:00,technology,422,304,118,0.7203791469194313
2022-04-01 00:00:00+00:00,energy,107,70,37,0.6542056074766355
2022-04-01 00:00:00+00:00,technology,439,322,117,0.7334851936218679
2022-07-01 00:00:00+00:00,energy,107,71,36,0.6635514018691588
2022-07-01 00:00:00+00:00,technology,438,329,109,0.7511415525114156
2022-10-01 00:00:00+00:00,energy,109,73,36,0.6697247706422018
2022-10-01 00:00:00+00:00,technology,434,330,104,0.7603686635944701
2023-01-01 00:00:00+00:00,energy,108,74,34,0.6851851851851852
2023-01-01 00:00:00+00:00,technology,427,332,95,0.7775175644028103
2023-04-01 00:00:00+00:00,energy,116,78,38,0.6724137931034483
2023-04-01 00:00:00+00:00,technology,490,373,117,0.7612244897959184
2023-07-01 00:00:00+00:00,energy,116,79,37,0.6810344827586207
2023-07-01 00:00:00+00:00,technology,496,384,112,0.7741935483870968
2023-10-01 00:00:00+00:00,energy,115,81,34,0.7043478260869566
2023-10-01 00:00:00+00:00,technology,493,388,105,0.7870182555780934
2024-01-01 00:00:00+00:00,energy,113,81,32,0.7168141592920354
2024-01-01 00:00:00+00:00,technology,482,386,96,0.8008298755186722
2024-04-01 00:00:00+00:00,energy,114,86,28,0.7543859649122807
2024-04-01 00:00:00+00:00,technology,476,392,84,0.8235294117647058
2024-07-01 00:00:00+00:00,energy,114,86,28,0.7543859649122807
2024-07-01 00:00:00+00:00,technology,475,393,82,0.8273684210526315
2024-10-01 00:00:00+00:00,energy,113,87,26,0.7699115044247787
2024-10-01 00:00:00+00:00,technology,469,392,77,0.835820895522388
2025-01-01 00:00:00+00:00,energy,110,86,24,0.7818181818181819
2025-01-01 00:00:00+00:00,technology,460,390,70,0.8478260869565217
2025-04-01 00:00:00+00:00,energy,113,91,22,0.8053097345132744
2025-04-01 00:00:00+00:00,technology,454,397,57,0.8744493392070485
2025-07-01 00:00:00+00:00,energy,111,91,20,0.8198198198198198
2025-07-01 00:00:00+00:00,technology,452,398,54,0.8805309734513275
2025-10-01 00:00:00+00:00,energy,107,90,17,0.8411214953271028
2025-10-01 00:00:00+00:00,technology,449,398,51,0.8864142538975501
2026-01-01 00:00:00+00:00,energy,104,91,13,0.875
2026-01-01 00:00:00+00:00,technology,442,398,44,0.9004524886877828
2026-04-01 00:00:00+00:00,energy,104,94,10,0.9038461538461539
2026-04-01 00:00:00+00:00,technology,436,401,35,0.9197247706422018
