decision_date,label_end_date,assets,rank_ic
2006-01-06,2006-02-03,24,0.01217391304347822
2006-02-03,2006-03-03,25,0.008849558177180812
2006-03-03,2006-03-31,25,0.7061538461538461
2006-04-07,2006-05-05,26,0.6868376068376069
2006-05-05,2006-06-02,26,-0.8420512820512821
2006-06-02,2006-06-30,26,-0.3094017094017094
2006-07-07,2006-08-04,26,-0.04547008547008546
2006-08-04,2006-09-01,26,-0.6225641025641027
2006-09-01,2006-09-29,26,-0.36547008547008547
2006-10-06,2006-11-03,26,-0.3148717948717949
2006-11-03,2006-12-01,26,-0.19794871794871793
2006-12-01,2006-12-29,26,0.414017094017094
2007-01-05,2007-02-02,26,0.40622329196886237
2007-02-02,2007-03-02,26,-0.4899145299145299
2007-03-02,2007-03-30,26,0.5822222222222223
2007-04-06,2007-05-04,26,-0.2574358974358974
2007-05-04,2007-06-01,28,0.42802408319649693
2007-06-01,2007-06-29,28,0.1045429666119321
2007-07-06,2007-08-03,28,-0.45703338806787086
2007-08-03,2007-08-31,28,0.08866995073891625
2007-09-07,2007-10-05,28,0.056376573617952945
2007-10-05,2007-11-02,28,0.45265462506841814
2007-11-02,2007-11-30,28,-0.4113863457164573
2007-12-07,2008-01-04,28,0.6458675424192666
2008-01-04,2008-02-01,28,-0.20470717022441162
2008-02-01,2008-02-29,29,0.7926108374384236
2008-03-07,2008-04-04,30,-0.7917686318131257
2008-04-04,2008-05-02,31,-0.5874999999999999
2008-05-02,2008-05-30,32,0.20857771260997063
2008-06-06,2008-07-04,33,0.5243983957219251
2008-07-04,2008-08-01,33,-0.5887858297485079
2008-08-01,2008-08-29,34,-0.22841864018334607
2008-09-05,2008-10-03,34,0.5422459893048128
2008-10-03,2008-10-31,34,0.5031321619556914
2008-11-07,2008-12-05,34,0.7430099312452254
2008-12-05,2009-01-02,34,-0.40614256364234486
2009-01-02,2009-01-30,34,0.6941176470588236
2009-02-06,2009-03-06,34,0.7054239877769289
2009-03-06,2009-04-03,34,-0.8615737203972499
2009-04-03,2009-05-01,34,-0.6724216959511077
2009-05-01,2009-05-29,34,-0.3152024446142093
2009-06-05,2009-07-03,34,0.1086325439266616
2009-07-03,2009-07-31,34,-0.018181818181818174
2009-08-07,2009-09-04,34,0.1037433155080214
2009-09-04,2009-10-02,34,-0.028877005347593545
2009-10-02,2009-10-30,34,0.1852078261233137
2009-11-06,2009-12-04,34,0.14774637127578308
2009-12-04,2010-01-01,34,-0.0646294881588999
2010-01-01,2010-01-29,34,-0.5960275019098549
2010-02-05,2010-03-05,34,0.23116883116883113
2010-03-05,2010-04-02,34,0.28647822765469827
2010-04-02,2010-04-30,34,0.10954927425515663
2010-05-07,2010-06-04,34,-0.19083269671504965
2010-06-04,2010-07-02,34,-0.5116883116883117
2010-07-02,2010-07-30,34,-0.5517188693659282
2010-08-06,2010-09-03,34,0.5807486631016043
2010-09-03,2010-10-01,34,-0.1284950343773873
2010-10-01,2010-10-29,34,0.09320803755524093
2010-11-05,2010-12-03,34,-0.0517952635599694
2010-12-03,2010-12-31,34,0.254698242933537
2011-01-07,2011-02-04,34,0.5237986110481408
2011-02-04,2011-03-04,34,0.11474407944996176
2011-03-04,2011-04-01,34,0.11689204709796608
2011-04-01,2011-04-29,34,0.3741787624140565
