decision_at,cik10,company_name,score,intended_weight,current_total_portfolio_target_weight
2026-04-01 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,0.9909872496526902,0.05,0.025
2026-04-01 00:00:00+00:00,0001393052,VEEVA SYSTEMS INC,0.989385422383064,0.05,0.025
2026-04-01 00:00:00+00:00,0000917273,RAMBUS INC,0.9755671902268762,0.05,0.025
2026-04-01 00:00:00+00:00,0001327567,PALO ALTO NETWORKS INC,0.9581151832460733,0.05,0.025
2026-04-01 00:00:00+00:00,0000851310,HARMONIC INC.,0.9534777944222792,0.05,0.025
2026-04-01 00:00:00+00:00,0001104485,"NORTHERN OIL & GAS, INC.",0.949367088607595,0.05,0.025
2026-04-01 00:00:00+00:00,0001713683,"ZSCALER, INC.",0.94795544547113,0.05,0.025
2026-04-01 00:00:00+00:00,0001792849,"HIGHPEAK ENERGY, INC.",0.9367088607594936,0.05,0.025
2026-04-01 00:00:00+00:00,0001031308,BENTLEY SYSTEMS INC,0.9344239601718504,0.05,0.025
2026-04-01 00:00:00+00:00,0001107843,"QUALYS, INC.",0.929618478362972,0.05,0.025
2026-04-01 00:00:00+00:00,0001013857,PEGASYSTEMS INC,0.9236660091264604,0.05,0.025
2026-04-01 00:00:00+00:00,0001773383,"DYNATRACE, INC.",0.923379262269552,0.05,0.025
2026-04-01 00:00:00+00:00,0001493761,TURTLE BEACH CORP,0.9214906881430176,0.05,0.025
2026-04-01 00:00:00+00:00,0001124804,VERADIGM INC.,0.9155382189065056,0.05,0.025
2026-04-01 00:00:00+00:00,0000033213,EQT CORP,0.9085507620769828,0.05,0.025
2026-04-01 00:00:00+00:00,0001044777,ONESPAN INC.,0.9038953077337606,0.05,0.025
2026-04-01 00:00:00+00:00,0001653482,GITLAB INC.,0.888930088149939,0.05,0.025
2026-04-01 00:00:00+00:00,0001373715,"SERVICENOW, INC.",0.8786022573899115,0.05,0.025
2026-04-01 00:00:00+00:00,0001855747,"BLEND LABS, INC.",0.8631574784074673,0.05,0.025
2026-04-01 00:00:00+00:00,0001861795,DEFINITIVE HEALTHCARE CORP.,0.855247220285857,0.05,0.025
