variant,ann_return,ann_vol,sharpe,calmar,max_drawdown,cvar_5,avg_turnover,extra_cost_annual,avg_BIL,avg_offense,hidden_beta,sharpe_calm_trend,ann_return_calm_trend,capture_calm_trend,max_dd_calm_trend,sharpe_neutral_mixed,ann_return_neutral_mixed,capture_neutral_mixed,max_dd_neutral_mixed,sharpe_recovery_confirmed,ann_return_recovery_confirmed,capture_recovery_confirmed,max_dd_recovery_confirmed,sharpe_recovery_fragile,ann_return_recovery_fragile,capture_recovery_fragile,max_dd_recovery_fragile,sharpe_stressed_panic,ann_return_stressed_panic,capture_stressed_panic,max_dd_stressed_panic
ggg_baseline_no_modifier,0.07138099253495311,0.07624804196475425,0.9361682043972889,0.6062669886059027,-0.11773854403501682,-0.02537714571816087,0.06183881682725351,0.0032156184750171827,0.2665801265614856,0.4162378001730258,0.24314482514415692,0.5136249379525288,0.040850501925236316,0.47348866999573624,-0.13932214620799088,1.4615605918081227,0.11211233905762019,0.9456616483785811,-0.09121696089228437,0.3442672689903927,0.025704515117367377,0.3954557240128317,-0.05379827566557094,1.1421213151968135,0.0666705276141002,0.24764069057396362,-0.03219421138249978,0.48068706208748657,0.035802805834723506,0.46401861979458403,-0.1216216745899299
phase1_r2a_only,0.07144560059257987,0.07607031902339909,0.9392046925766585,0.6129073365864568,-0.11656835597774207,-0.025310995299794487,0.06578934641935406,0.0034210460138064114,0.2688031260693835,0.41449659847359943,0.24294595057292978,0.5139418789691664,0.04033942045338956,0.46756484348297833,-0.14243320624211342,1.4654105688723935,0.11258630427503458,0.9496595199112038,-0.08906730302639376,0.33298332838716743,0.025339819890962012,0.389621489126844,-0.05548862160469281,1.1554057385348568,0.06733615024697248,0.2501130761146968,-0.031577128364462914,0.47989728407852467,0.03574327291345458,0.46324704942976214,-0.12162571228329389
phase3b_gate_3w,0.07122967814856396,0.07629573486563962,0.9335997388845232,0.6049818157032711,-0.11773854403501671,-0.025432462724186523,0.06265343711783555,0.003257978730127449,0.2662962148394202,0.41662076397469827,0.24338414270392286,0.5136249379525288,0.040850501925236316,0.47348866999573624,-0.13932214620799088,1.4609957487857532,0.11206395001883163,0.9452534893965377,-0.09124062505342856,0.282409886461362,0.02141038880150803,0.33035591131123526,-0.05488455696529371,1.1583124122063753,0.06774350407394869,0.25162614923156534,-0.03126281659236818,0.48068706208748657,0.035802805834723506,0.46401861979458403,-0.1216216745899299
phase3b_gate_2w,0.07116500266286185,0.07634178982243468,0.9321893399196738,0.6044325012350796,-0.11773854403501693,-0.025432457511693724,0.06317923052719895,0.0032853199874143457,0.2664266890959904,0.4165030219283801,0.24349999087727914,0.513678591978347,0.04085485132823563,0.4735390829146568,-0.13932214620799044,1.4608706463340544,0.11205157693562517,0.9451491230943191,-0.09124062505342834,0.26643823689148555,0.02050748636450428,0.3166685389436435,-0.05644257481691384,1.1487559749124316,0.06724001476562869,0.24975599094017356,-0.03075652935398976,0.48064069209547594,0.03579944784237821,0.46397509887668337,-0.12162167458993023
phase3b_continuous_recovery,0.07134543428549511,0.07633483790830331,0.9346379220874002,0.605964978336033,-0.11773854403501693,-0.025424131995663735,0.06354128595310297,0.0033041468695613548,0.2663908761221372,0.4165170434508037,0.24338273750765801,0.5136741470837741,0.04085453267527228,0.47353538948224605,-0.13931834025262457,1.4606593108132604,0.11203924376045826,0.9450450934143024,-0.0912398213194352,0.3161035712723991,0.024370819804723,0.3746643897708826,-0.056984861340591,1.1659183169480982,0.06784334173521445,0.251996985765577,-0.03118379433350249,0.48055253462546577,0.035792964004192074,0.4638910657520174,-0.12162167458993023
phase3b_recovery_confirmed_only,0.07130715271348587,0.07634056147839069,0.9340663905605462,0.6056398378111268,-0.11773854403501693,-0.02542375816004473,0.06265644283089757,0.0032581350272066732,0.2659418873151642,0.41694542022906184,0.24344431938587988,0.5136741470837741,0.04085453267527228,0.47353538948224605,-0.13931834025262457,1.4610655273520965,0.11206925574454285,0.9452982429121998,-0.0912169608922846,0.3160818558332851,0.024369097428779574,0.3746382787086326,-0.056984861340591,1.1417459392365505,0.06664388149020284,0.24754171633813254,-0.03219421138249934,0.48068706208748657,0.035802805834723506,0.46401861979458403,-0.1216216745899299
phase1_plus_best_phase3b,0.07131671908731119,0.07613019739805534,0.936773074610902,0.6118017062960789,-0.11656835597774184,-0.025346562906877226,0.06750561033386461,0.0035102917373609596,0.26889501861407145,0.4146346016719612,0.243143608464461,0.5139179019151383,0.04033755081117163,0.46754317289472563,-0.14242553807599512,1.4645372477097944,0.1125149837827848,0.9490579353324587,-0.08907891102123067,0.2874064543078034,0.022365703163947703,0.34398620474902875,-0.05879750353475943,1.1705587750444353,0.06796016531658533,0.25243091472041385,-0.030761724209270258,0.479760121273686,0.03573323291240138,0.46311692701832463,-0.12162571228329411
