variant,gate_verdict,ok,fail
phase1_r2a_only,FAIL,Holdout Sharpe Δ=+0.0007 ≥ -0.02; MaxDD Δ=+0.0012 ≥ -0.01; SP Sharpe Δ=-0.0008 (intact); Extra cost=0.021% (< 0.15%); Rolling win=66.7% ≥ 55%,Full Sharpe Δ=+0.0030 < +0.01; RC capture Δ=-0.006 < +5pp; Bootstrap P=0.477 < 0.60
phase3b_gate_3w,FAIL,Holdout Sharpe Δ=-0.0162 ≥ -0.02; MaxDD Δ=+0.0000 ≥ -0.01; SP Sharpe Δ=+0.0000 (intact); Extra cost=0.004% (< 0.15%),Full Sharpe Δ=-0.0026 < +0.01; RC capture Δ=-0.065 < +5pp; Bootstrap P=0.089 < 0.60; Rolling win=26.7% < 55%
phase3b_gate_2w,FAIL,MaxDD Δ=-0.0000 ≥ -0.01; SP Sharpe Δ=-0.0000 (intact); Extra cost=0.007% (< 0.15%),Full Sharpe Δ=-0.0040 < +0.01; Holdout Sharpe Δ=-0.0259 < -0.02; RC capture Δ=-0.079 < +5pp; Bootstrap P=0.037 < 0.60; Rolling win=26.7% < 55%
phase3b_continuous_recovery,FAIL,Holdout Sharpe Δ=-0.0127 ≥ -0.02; MaxDD Δ=-0.0000 ≥ -0.01; SP Sharpe Δ=-0.0001 (intact); Extra cost=0.009% (< 0.15%),Full Sharpe Δ=-0.0015 < +0.01; RC capture Δ=-0.021 < +5pp; Bootstrap P=0.120 < 0.60; Rolling win=40.0% < 55%
phase3b_recovery_confirmed_only,FAIL,Holdout Sharpe Δ=-0.0145 ≥ -0.02; MaxDD Δ=-0.0000 ≥ -0.01; SP Sharpe Δ=+0.0000 (intact); Extra cost=0.004% (< 0.15%),Full Sharpe Δ=-0.0021 < +0.01; RC capture Δ=-0.021 < +5pp; Bootstrap P=0.102 < 0.60; Rolling win=33.3% < 55%
phase1_plus_best_phase3b,FAIL,Holdout Sharpe Δ=-0.0097 ≥ -0.02; MaxDD Δ=+0.0012 ≥ -0.01; SP Sharpe Δ=-0.0009 (intact); Extra cost=0.029% (< 0.15%); Rolling win=60.0% ≥ 55%,Full Sharpe Δ=+0.0006 < +0.01; RC capture Δ=-0.051 < +5pp; Bootstrap P=0.297 < 0.60
