outer_year,test_start,maximum_training_decision_date,maximum_training_label_end_date,embargo_pass,train_rows,test_rows,test_months,real_mean_rank_ic,real_positive_month_share,family_weights,selected_configs
2012,2012-01-01,2011-12-02,2011-12-30,True,2246,408,12,0.024052567194055824,0.5833333333333334,"{""elastic_net"": 0.313853339058532, ""hist_gradient_boosting"": 0.3733972315377986, ""ridge"": 0.3127494294036693}","{""elastic_net"": ""elastic_net-317772f571b5"", ""hist_gradient_boosting"": ""hist_gradient_boosting-87401023cb42"", ""ridge"": ""ridge-d3ccf501b007""}"
2013,2013-01-01,2012-11-02,2012-11-30,True,2620,408,12,0.07448433919022153,0.75,"{""elastic_net"": 0.28525295278964663, ""hist_gradient_boosting"": 0.42931835531115303, ""ridge"": 0.2854286918992004}","{""elastic_net"": ""elastic_net-317772f571b5"", ""hist_gradient_boosting"": ""hist_gradient_boosting-9b8526324067"", ""ridge"": ""ridge-d3ccf501b007""}"
2014,2014-01-01,2013-11-01,2013-11-29,True,3028,408,12,0.047746371275782996,0.5833333333333334,"{""elastic_net"": 0.35641933774932744, ""hist_gradient_boosting"": 0.3080789755590681, ""ridge"": 0.33550168669160446}","{""elastic_net"": ""elastic_net-3fd68254e0b3"", ""hist_gradient_boosting"": ""hist_gradient_boosting-9b8526324067"", ""ridge"": ""ridge-d3ccf501b007""}"
2015,2015-01-01,2014-11-07,2014-12-05,True,3436,409,12,0.015686274509803925,0.75,"{""elastic_net"": 0.3401264773731672, ""hist_gradient_boosting"": 0.33589862434100437, ""ridge"": 0.32397489828582837}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-b5965c32b010"", ""ridge"": ""ridge-4979b3f4e21b""}"
2016,2016-01-01,2015-11-06,2015-12-04,True,3844,420,12,-0.04782913165266104,0.3333333333333333,"{""elastic_net"": 0.35156039594235855, ""hist_gradient_boosting"": 0.3430867742359184, ""ridge"": 0.30535282982172307}","{""elastic_net"": ""elastic_net-6da92d318c10"", ""hist_gradient_boosting"": ""hist_gradient_boosting-45604b4d380a"", ""ridge"": ""ridge-4979b3f4e21b""}"
2017,2017-01-01,2016-12-02,2016-12-30,True,4299,420,12,0.15163398692810456,0.75,"{""elastic_net"": 0.2, ""hist_gradient_boosting"": 0.6, ""ridge"": 0.2}","{""elastic_net"": ""elastic_net-3fd68254e0b3"", ""hist_gradient_boosting"": ""hist_gradient_boosting-45604b4d380a"", ""ridge"": ""ridge-4979b3f4e21b""}"
2018,2018-01-01,2017-12-01,2017-12-29,True,4719,420,12,-0.028921568627450937,0.5,"{""elastic_net"": 0.19397462973626328, ""hist_gradient_boosting"": 0.6, ""ridge"": 0.2060253702637368}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-45604b4d380a"", ""ridge"": ""ridge-4979b3f4e21b""}"
2019,2019-01-01,2018-11-02,2018-11-30,True,5104,420,12,0.13223622782446318,0.75,"{""elastic_net"": 0.11670142612698947, ""hist_gradient_boosting"": 0.599925567404956, ""ridge"": 0.2833730064680547}","{""elastic_net"": ""elastic_net-ed48097726dd"", ""hist_gradient_boosting"": ""hist_gradient_boosting-d7879ba18957"", ""ridge"": ""ridge-a63fede2878d""}"
2020,2020-01-01,2019-11-01,2019-11-29,True,5524,420,12,0.09360410830999066,0.6666666666666666,"{""elastic_net"": 0.34345534654832577, ""hist_gradient_boosting"": 0.333911105590382, ""ridge"": 0.32263354786129234}","{""elastic_net"": ""elastic_net-6da92d318c10"", ""hist_gradient_boosting"": ""hist_gradient_boosting-5bc6e71478b2"", ""ridge"": ""ridge-a63fede2878d""}"
2021,2021-01-01,2020-11-06,2020-12-04,True,5944,420,12,0.11746031746031747,0.6666666666666666,"{""elastic_net"": 0.3168497239479249, ""hist_gradient_boosting"": 0.379962928999976, ""ridge"": 0.30318734705209904}","{""elastic_net"": ""elastic_net-3fd68254e0b3"", ""hist_gradient_boosting"": ""hist_gradient_boosting-85e95204e560"", ""ridge"": ""ridge-48bf3ac658e3""}"
