Date,gross_return,net_return,turnover,cost,adverse_loss,wealth,drawdown
2023-01-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-02-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-02-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-02-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-02-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-03-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-03-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-03-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-03-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-03-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-04-07,0.004989111786347644,-0.015010888213652374,1.0,0.02,0.0,0.9849891117863476,-0.015010888213652374
2023-04-14,-0.020280720695756704,-0.020280720695756704,0.0,0.0,0.0,0.9650128227218472,-0.034987177278152815
2023-04-21,-0.01869722060076562,-0.01869722060076562,0.0,0.0,0.0,0.9469697650928492,-0.05303023490715075
2023-04-28,-0.010500282788017179,-0.010500282788017179,0.0,0.0,0.0,0.9370263147676722,-0.06297368523232783
2023-05-05,0.00453827782078009,0.00453827782078009,0.0,0.0,0.0,0.9412788005094697,-0.05872119949053034
2023-05-12,0.03513868003199794,0.03513868003199794,0.0,0.0,0.0,0.9743540951014746,-0.025645904898525362
2023-05-19,0.025680495070519394,0.025680495070519394,0.0,0.0,0.0,0.9993759906376684,-0.0006240093623316456
2023-05-26,0.016065402988074684,0.016065402988074684,0.0,0.0,0.0,1.0154313686638687,0.0
2023-06-02,-0.02048564676836484,-0.02048564676836484,0.0,0.0,0.0,0.9946296003279035,-0.02048564676836484
2023-06-09,0.018090097481260337,0.018090097481260337,0.0,0.0,0.0,1.0126225467555823,-0.0027661366341108495
2023-06-16,-0.032335741190534284,-0.032335741190534284,0.0,0.0,0.0,0.9798786461599941,-0.03501243274634691
2023-06-23,0.026626503220409825,0.026626503220409825,0.0,0.0,0.0,1.005969388087584,-0.009318188179212039
2023-06-30,-0.014050389002227992,-0.014050389002227992,0.0,0.0,0.0,0.9918351268606201,-0.023237653012726178
2023-07-07,0.058757265447371365,-0.05924273455262852,1.0,0.02,0.098,0.9330761017200437,-0.08110372545629574
2023-07-14,-0.018803223971686767,-0.018803223971686767,0.0,0.0,0.0,0.9155312627967733,-0.09838193791328964
2023-07-21,-0.00210624522769165,-0.00210624522769165,0.0,0.0,0.0,0.9136029294437051,-0.1002809666537603
2023-07-28,-0.01934659229695801,-0.01934659229695801,0.0,0.0,0.0,0.8959278260464513,-0.1176874639737232
2023-08-04,-0.04813920884006051,-0.04813920884006051,0.0,0.0,0.0,0.8527985693227798,-0.16016129140769553
2023-08-11,-0.003281580342492929,-0.003281580342492929,0.0,0.0,0.0,0.850000042301584,-0.16291728960467666
2023-08-18,0.006562673254576934,0.006562673254576934,0.0,0.0,0.0,0.8555783148455859,-0.15742378928929657
2023-08-25,0.07737739826048706,0.07737739826048706,0.0,0.0,0.0,0.9217807388564292,-0.09222743426832236
2023-09-01,-0.046650661452425024,-0.046650661452425024,0.0,0.0,0.0,0.8787790576746717,-0.13457562490807007
2023-09-08,-0.01811668863988325,-0.01811668863988325,0.0,0.0,0.0,0.8628584911035296,-0.1502542488529761
2023-09-15,-0.06733380942797607,-0.06733380942797607,0.0,0.0,0.0,0.8047589419002535,-0.2074708673229423
2023-09-22,0.015681284524840855,0.015681284524840855,0.0,0.0,0.0,0.8173785958421014,-0.19504299249920787
2023-09-29,0.0166000978239349,0.0166000978239349,0.0,0.0,0.0,0.8309471604922708,-0.18168062743063285
2023-10-06,-0.007628127061981904,-0.027628127061982033,1.0,0.02,0.0,0.8079896467603972,-0.20428925903326067
2023-10-13,-0.032308300756024866,-0.032308300756024866,0.0,0.0,0.0,0.781884874245108,-0.22999732096721348
2023-10-20,-0.031545892658738195,-0.031545892658738195,0.0,0.0,0.0,0.7572196179306808,-0.2542877428269227
2023-10-27,0.04773559736157362,0.04773559736157362,0.0,0.0,0.0,0.7933659487265045,-0.21869072277091828
2023-11-03,-0.06496418192401199,-0.06496418192401199,0.0,0.0,0.0,0.7418255789011194,-0.2694478407957467
2023-11-10,0.028350885514884627,0.028350885514884627,0.0,0.0,0.0,0.762856990960558,-0.24873604016749518
2023-11-17,-0.0017194652407334088,-0.0017194652407334088,0.0,0.0,0.0,0.7615452848809509,-0.25002781243304295
2023-11-24,0.019567843981816546,0.019567843981816546,0.0,0.0,0.0,0.7764470842005894,-0.23535247367603107
2023-12-01,-0.023672371179933482,-0.023672371179933482,0.0,0.0,0.0,0.758066740621816,-0.25345349374099
2023-12-08,0.034630021076640594,0.034630021076640594,0.0,0.0,0.0,0.7843186078270497,-0.22760057249454813
2023-12-15,0.02672448800050642,0.02672448800050642,0.0,0.0,0.0,0.8052791210504976,-0.2069585932625806
2023-12-22,0.005217719778096708,0.005217719778096708,0.0,0.0,0.0,0.8094808418472911,-0.20282072542979712
2023-12-29,-0.03727290151351215,-0.03727290151351215,0.0,0.0,0.0,0.7793091421520421,-0.23253391001946544
2024-01-05,0.0005107425013146649,-0.015622334417404238,0.8066538459359545,0.01613307691871909,0.0,0.7671345141188024,-0.244523521931159
2024-01-12,-0.0051056992088703845,-0.0051056992088703845,0.0,0.0,0.0,0.7632177560369688,-0.2483807575875553
2024-01-19,0.015817244754880777,0.015817244754880777,0.0,0.0,0.0,0.7752897580854765,-0.23649221206783955
2024-01-26,0.008612772284111392,0.008612772284111392,0.0,0.0,0.0,0.7819671522260705,-0.22991629335323427
2024-02-02,0.0353145289317236,0.0353145289317236,0.0,0.0,0.0,0.8095819538470156,-0.20272115001500812
2024-02-09,0.0033161068600988663,0.0033161068600988663,0.0,0.0,0.0,0.81226661411798,-0.2000772881511611
2024-02-16,-0.06245035522007991,-0.06245035522007991,0.0,0.0,0.0,0.7615402755329005,-0.25003274565473077
2024-02-23,0.007304596054863222,0.007304596054863222,0.0,0.0,0.0,0.7671030196251776,-0.2445545378073637
2024-03-01,-0.024380097657233257,-0.024380097657233257,0.0,0.0,0.0,0.7484009730935572,-0.26297237195033385
2024-03-08,-0.0335041642826579,-0.0335041642826579,0.0,0.0,0.0,0.7233264239417296,-0.2876658666813676
2024-03-15,0.026925963403126918,0.026925963403126918,0.0,0.0,0.0,0.7428026847612993,-0.26848558387683197
2024-03-22,0.01259391962573253,0.01259391962573253,0.0,0.0,0.0,0.7521574820709614,-0.2592729501151122
