family,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week,correlation_growth,correlation_spy,correlation_xlk,correlation_xle,adverse_full_cagr,independence_gate,robustness_gate
balance_sheet_quality,base,50,full_recent,188,2023-01-06,2026-08-07,0.22206182797223528,0.7604778608381475,1.1626408515981892,-0.3612890990538056,1.453305782074493,1.0647873875267106,0.3395170250639142,0.526595744680851,0.17595088048680085,-0.14853773656452507,0.6326486615456862,0.6439619010882077,0.6109941389983783,0.3292240669471243,0.22206182797223528,True,True
balance_sheet_quality,base,50,trailing_3y,157,2023-08-11,2026-08-07,0.1690397014337246,0.6382712803639424,0.9809551635029676,-0.33364941639086443,1.1517559288369974,0.6024784207798999,0.3290030331159475,0.5031847133757962,0.17595088048680085,-0.14853773656452507,0.6326486615456862,0.6439619010882077,0.6109941389983783,0.3292240669471243,0.22206182797223528,True,True
balance_sheet_quality,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.4343561045530624,1.2018682149134157,1.9926187825245716,-0.33364941639086465,1.0623819228282279,1.0716987620305387,0.3517034964203603,0.5333333333333333,0.17595088048680085,-0.14853773656452507,0.6326486615456862,0.6439619010882077,0.6109941389983783,0.3292240669471243,0.22206182797223528,True,True
balance_sheet_quality,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.7265442449499591,1.7513246878298934,3.074931966038036,-0.19985261057226678,0.8801923298830466,0.7447725582177975,0.34682169476934666,0.5660377358490566,0.12951481134015674,-0.08654244670860445,0.6326486615456862,0.6439619010882077,0.6109941389983783,0.3292240669471243,0.22206182797223528,True,True
balance_sheet_quality,base,50,ytd,32,2026-01-02,2026-08-07,0.6054356457531489,1.461386060362711,2.4730361184176526,-0.199852610572267,1.177750386588721,0.3381928607480018,0.37062520070156474,0.53125,0.12951481134015674,-0.08654244670860445,0.6326486615456862,0.6439619010882077,0.6109941389983783,0.3292240669471243,0.22206182797223528,True,True
cash_conversion,base,50,full_recent,188,2023-01-06,2026-08-07,0.23726084277013704,0.9698853960732556,1.5483406294512518,-0.33098086474612076,1.8856717705093122,1.1591511578184477,0.25254843651481695,0.5531914893617021,0.10646342318545132,-0.12588602957710504,0.4975148096230013,0.5937628348270121,0.5580044995208385,0.35465793554398123,0.23726084277013704,True,True
cash_conversion,base,50,trailing_3y,157,2023-08-11,2026-08-07,0.17711025445168582,0.7762828293922247,1.2043774584789557,-0.330980864746121,1.6412366503498357,0.6361130075824495,0.25047804458727935,0.5414012738853503,0.10646342318545132,-0.12588602957710504,0.4975148096230013,0.5937628348270121,0.5580044995208385,0.35465793554398123,0.23726084277013704,True,True
cash_conversion,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.24654922221657394,0.9375895944996248,1.4595686957296836,-0.330980864746121,1.436020751400208,0.5604843953800511,0.2756591440269535,0.5714285714285714,0.10646342318545132,-0.12588602957710504,0.4975148096230013,0.5937628348270121,0.5580044995208385,0.35465793554398123,0.23726084277013704,True,True
cash_conversion,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6482671171513641,1.90083251021328,3.598049871568698,-0.1442512214541375,1.3326630175028076,0.6641834631500447,0.28474288890880434,0.5660377358490566,0.10646342318545132,-0.06425106821879956,0.4975148096230013,0.5937628348270121,0.5580044995208385,0.35465793554398123,0.23726084277013704,True,True
cash_conversion,base,50,ytd,32,2026-01-02,2026-08-07,0.9554070449627448,2.5402126812979007,5.491481570733987,-0.08243056684174666,1.4979105692665473,0.5108553168776975,0.2803713580470923,0.59375,0.09767332857787059,-0.058249567824654735,0.4975148096230013,0.5937628348270121,0.5580044995208385,0.35465793554398123,0.23726084277013704,True,True
profitability,base,50,full_recent,188,2023-01-06,2026-08-07,0.24254604348557662,1.1085861467109777,1.7974682251735983,-0.18968231944489322,1.2905136754200197,1.1926833979715195,0.21743378927860327,0.526595744680851,0.11525547198230246,-0.11600637017662718,0.5974735368998336,0.7853763201675276,0.7691931046530345,0.14407666057634563,0.24254604348557662,True,True
profitability,base,50,trailing_3y,157,2023-08-11,2026-08-07,0.21926327689092173,1.013921138621449,1.64782577637138,-0.189682319444893,0.9272789944534614,0.8194838343747266,0.2193689308594412,0.5159235668789809,0.11525547198230246,-0.11600637017662718,0.5974735368998336,0.7853763201675276,0.7691931046530345,0.14407666057634563,0.24254604348557662,True,True
profitability,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.25267150829102225,1.0791602464506909,1.7434048502315502,-0.18968231944489278,0.8099942659516205,0.575998804942867,0.2343125003352158,0.5428571428571428,0.11525547198230246,-0.11600637017662718,0.5974735368998336,0.7853763201675276,0.7691931046530345,0.14407666057634563,0.24254604348557662,True,True
profitability,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.1458105150497231,0.7032290485931371,1.1502785976658552,-0.1896823194448929,0.7527439897205238,0.14881365257811185,0.2304836528568496,0.5094339622641509,0.09254251177612716,-0.06548532170321608,0.5974735368998336,0.7853763201675276,0.7691931046530345,0.14407666057634563,0.24254604348557662,True,True
