family,decision_at,cik10,company_name,sector,score,available_features,intended_weight
profitability,2023-01-01 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,0.9860165229809028,4,0.1
profitability,2023-01-01 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,0.9629996229260935,4,0.1
profitability,2023-01-01 00:00:00+00:00,0001730168,BROADCOM INC.,technology,0.939687204954523,4,0.1
profitability,2023-01-01 00:00:00+00:00,0000789019,MICROSOFT CORP,technology,0.9229138592849533,4,0.1
profitability,2023-01-01 00:00:00+00:00,0000097476,TEXAS INSTRUMENTS INC,technology,0.9199681192620024,4,0.1
profitability,2023-01-01 00:00:00+00:00,0000320193,APPLE INC,technology,0.9174690773111773,4,0.1
profitability,2023-01-01 00:00:00+00:00,0001107843,"QUALYS, INC.",technology,0.9123635257966543,4,0.1
profitability,2023-01-01 00:00:00+00:00,0000833640,POWER INTEGRATIONS INC,technology,0.9116390917856254,4,0.1
profitability,2023-01-01 00:00:00+00:00,0000796343,ADOBE INC.,technology,0.9037180900125874,4,0.1
profitability,2023-01-01 00:00:00+00:00,0000006951,APPLIED MATERIALS INC /DE,technology,0.8956072779026025,4,0.1
profitability,2023-04-01 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,0.9855943222513753,4,0.1
profitability,2023-04-01 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,0.966800563777308,4,0.1
profitability,2023-04-01 00:00:00+00:00,0001730168,BROADCOM INC.,technology,0.9529100414826186,4,0.1
profitability,2023-04-01 00:00:00+00:00,0001803696,ADEIA INC.,technology,0.939527682364153,4,0.1
profitability,2023-04-01 00:00:00+00:00,0000004127,SKYWORKS SOLUTIONS INC,technology,0.9323284851257152,4,0.1
profitability,2023-04-01 00:00:00+00:00,0000097476,TEXAS INSTRUMENTS INC,technology,0.9274513113228167,4,0.1
profitability,2023-04-01 00:00:00+00:00,0001107843,"QUALYS, INC.",technology,0.9266386494313624,4,0.1
profitability,2023-04-01 00:00:00+00:00,0000006281,ANALOG DEVICES INC,technology,0.9262315873571765,4,0.1
profitability,2023-04-01 00:00:00+00:00,0000833640,POWER INTEGRATIONS INC,technology,0.9224820045921753,4,0.1
profitability,2023-04-01 00:00:00+00:00,0000882835,ROPER TECHNOLOGIES INC,technology,0.8949269517393811,3,0.1
profitability,2023-07-01 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,1.0,4,0.1
profitability,2023-07-01 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,0.9928743978799595,4,0.1
profitability,2023-07-01 00:00:00+00:00,0001803696,ADEIA INC.,technology,0.9413117157337111,4,0.1
profitability,2023-07-01 00:00:00+00:00,0001621434,"BLACK STONE MINERALS, L.P.",energy,0.9381977671451356,3,0.1
profitability,2023-07-01 00:00:00+00:00,0001730168,BROADCOM INC.,technology,0.9353789191009675,4,0.1
profitability,2023-07-01 00:00:00+00:00,0000789019,MICROSOFT CORP,technology,0.909475982620858,4,0.1
profitability,2023-07-01 00:00:00+00:00,0000006281,ANALOG DEVICES INC,technology,0.8998136761308198,4,0.1
profitability,2023-07-01 00:00:00+00:00,0001516513,"DOXIMITY, INC.",technology,0.8920482565646455,4,0.1
profitability,2023-07-01 00:00:00+00:00,0001280452,MONOLITHIC POWER SYSTEMS INC,technology,0.8915820191726442,4,0.1
profitability,2023-07-01 00:00:00+00:00,0000004127,SKYWORKS SOLUTIONS INC,technology,0.8905816268787068,4,0.1
profitability,2023-10-01 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,0.9871383826879272,4,0.1
profitability,2023-10-01 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,0.9827586206896552,4,0.1
profitability,2023-10-01 00:00:00+00:00,0001730168,BROADCOM INC.,technology,0.9350577630242994,4,0.1
profitability,2023-10-01 00:00:00+00:00,0001621434,"BLACK STONE MINERALS, L.P.",energy,0.9298084291187739,3,0.1
profitability,2023-10-01 00:00:00+00:00,0001107843,"QUALYS, INC.",technology,0.9182914139315156,4,0.1
profitability,2023-10-01 00:00:00+00:00,0000917273,RAMBUS INC,technology,0.9174574734200656,4,0.1
profitability,2023-10-01 00:00:00+00:00,0001516513,"DOXIMITY, INC.",technology,0.917407266146554,4,0.1
profitability,2023-10-01 00:00:00+00:00,0000789019,MICROSOFT CORP,technology,0.9137919807772231,4,0.1
profitability,2023-10-01 00:00:00+00:00,0000006281,ANALOG DEVICES INC,technology,0.9106488016013721,4,0.1
profitability,2023-10-01 00:00:00+00:00,0001280452,MONOLITHIC POWER SYSTEMS INC,technology,0.8861961562337246,4,0.1
profitability,2024-01-01 00:00:00+00:00,0000917273,RAMBUS INC,technology,0.98874691447655,4,0.1
profitability,2024-01-01 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,0.9881173047500589,4,0.1
profitability,2024-01-01 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,0.9709302325581395,4,0.1
profitability,2024-01-01 00:00:00+00:00,0001621434,"BLACK STONE MINERALS, L.P.",energy,0.9587261680284936,3,0.1
profitability,2024-01-01 00:00:00+00:00,0001803696,ADEIA INC.,technology,0.9430381841462152,4,0.1
profitability,2024-01-01 00:00:00+00:00,0000789019,MICROSOFT CORP,technology,0.9393119554759016,4,0.1
profitability,2024-01-01 00:00:00+00:00,0001730168,BROADCOM INC.,technology,0.9370301564868897,4,0.1
profitability,2024-01-01 00:00:00+00:00,0001516513,"DOXIMITY, INC.",technology,0.9233304573064214,4,0.1
profitability,2024-01-01 00:00:00+00:00,0001107843,"QUALYS, INC.",technology,0.9201192194898109,4,0.1
profitability,2024-01-01 00:00:00+00:00,0000006281,ANALOG DEVICES INC,technology,0.9054320645730352,4,0.1
profitability,2024-04-01 00:00:00+00:00,0000917273,RAMBUS INC,technology,0.9911255411255411,4,0.1
profitability,2024-04-01 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,0.98558588304351,4,0.1
profitability,2024-04-01 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,0.9722222222222223,4,0.1
profitability,2024-04-01 00:00:00+00:00,0001621434,"BLACK STONE MINERALS, L.P.",energy,0.9606837606837607,3,0.1
profitability,2024-04-01 00:00:00+00:00,0001516513,"DOXIMITY, INC.",technology,0.9375816274121358,4,0.1
profitability,2024-04-01 00:00:00+00:00,0001107843,"QUALYS, INC.",technology,0.9306093623890235,4,0.1
profitability,2024-04-01 00:00:00+00:00,0001280452,MONOLITHIC POWER SYSTEMS INC,technology,0.9055561669968449,4,0.1
profitability,2024-04-01 00:00:00+00:00,0001866633,"CONSENSUS CLOUD SOLUTIONS, INC.",technology,0.8979510602391958,4,0.1
profitability,2024-04-01 00:00:00+00:00,0001262039,"FORTINET, INC.",technology,0.8875522782302443,4,0.1
profitability,2024-04-01 00:00:00+00:00,0001442145,"VERISK ANALYTICS, INC.",technology,0.8815485362095532,4,0.1
profitability,2024-07-01 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,0.9943181818181819,4,0.1
profitability,2024-07-01 00:00:00+00:00,0000917273,RAMBUS INC,technology,0.9725126120455281,4,0.1
profitability,2024-07-01 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,0.9714793788470647,4,0.1
profitability,2024-07-01 00:00:00+00:00,0001621434,"BLACK STONE MINERALS, L.P.",energy,0.9687257187257187,3,0.1
profitability,2024-07-01 00:00:00+00:00,0001045810,NVIDIA CORP,technology,0.9615224910811613,4,0.1
profitability,2024-07-01 00:00:00+00:00,0001044777,ONESPAN INC.,technology,0.9212295350436761,4,0.1
profitability,2024-07-01 00:00:00+00:00,0001393052,VEEVA SYSTEMS INC,technology,0.9198913861199924,4,0.1
profitability,2024-07-01 00:00:00+00:00,0001442145,"VERISK ANALYTICS, INC.",technology,0.9192705230530935,4,0.1
profitability,2024-07-01 00:00:00+00:00,0001107843,"QUALYS, INC.",technology,0.9165946560080429,4,0.1
profitability,2024-07-01 00:00:00+00:00,0001866633,"CONSENSUS CLOUD SOLUTIONS, INC.",technology,0.8928122449034855,4,0.1
profitability,2024-10-01 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,1.0,4,0.1
profitability,2024-10-01 00:00:00+00:00,0000917273,RAMBUS INC,technology,0.9749079288453855,4,0.1
profitability,2024-10-01 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,0.9689068412359022,4,0.1
profitability,2024-10-01 00:00:00+00:00,0001621434,"BLACK STONE MINERALS, L.P.",energy,0.952468380252958,3,0.1
profitability,2024-10-01 00:00:00+00:00,0001045810,NVIDIA CORP,technology,0.9487020288801602,4,0.1
profitability,2024-10-01 00:00:00+00:00,0001107843,"QUALYS, INC.",technology,0.9231676297263991,4,0.1
profitability,2024-10-01 00:00:00+00:00,0001393052,VEEVA SYSTEMS INC,technology,0.918949194189492,4,0.1
profitability,2024-10-01 00:00:00+00:00,0001866633,"CONSENSUS CLOUD SOLUTIONS, INC.",technology,0.9046427691321796,4,0.1
profitability,2024-10-01 00:00:00+00:00,0000789019,MICROSOFT CORP,technology,0.9030809473586459,4,0.1
profitability,2024-10-01 00:00:00+00:00,0001262039,"FORTINET, INC.",technology,0.8999134301369971,4,0.1
profitability,2025-01-01 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,0.9939759036144578,4,0.1
profitability,2025-01-01 00:00:00+00:00,0000917273,RAMBUS INC,technology,0.9818948563550474,4,0.1
