Date,gross_return,net_return,turnover,cost,adverse_loss,wealth,drawdown
2023-01-06,0.1058059221647436,0.0958059221647436,1.0,0.01,0.0,1.0958059221647436,0.0
2023-01-13,0.04661602598851067,0.04661602598851067,0.0,0.0,0.0,1.1468880395107393,0.0
2023-01-20,0.020611530959343094,0.020611530959343094,0.0,0.0,0.0,1.170527157844015,0.0
2023-01-27,-0.000204292419123564,-0.000204292419123564,0.0,0.0,0.0,1.1702880280192893,-0.000204292419123564
2023-02-03,0.016203423032540742,0.016203423032540742,0.0,0.0,0.0,1.1892507000072037,0.0
2023-02-10,-0.021470701515732382,-0.021470701515732382,0.0,0.0,0.0,1.1637166531999732,-0.021470701515732382
2023-02-17,0.002530596152893194,0.002530596152893194,0.0,0.0,0.0,1.1666615500856188,-0.01899443903749487
2023-02-24,0.05015114608131266,0.05015114608131266,0.0,0.0,0.0,1.2251709639114132,0.0
2023-03-03,-0.06842695241483443,-0.06842695241483443,0.0,0.0,0.0,1.1413362486638101,-0.06842695241483443
2023-03-10,0.003775906140607299,0.003775906140607299,0.0,0.0,0.0,1.1456458272136374,-0.06490942002403344
2023-03-17,0.019070638855323452,0.019070638855323452,0.0,0.0,0.0,1.167494025040537,-0.047076645276296736
2023-03-24,0.056955950861844906,0.056955950861844906,0.0,0.0,0.0,1.2339897573622434,0.0
2023-03-31,-0.016038235989626837,-0.016038235989626837,0.0,0.0,0.0,1.2141987384248853,-0.016038235989626837
2023-04-07,0.00967986322044223,0.008058298076052406,0.1621565144389721,0.001621565144389721,0.0,1.22398311378268,-0.008109178799792782
2023-04-14,-0.03429328139501575,-0.03429328139501575,0.0,0.0,0.0,1.182008716438983,-0.042124369844344756
2023-04-21,-0.038039921770225416,-0.038039921770225416,0.0,0.0,0.0,1.1370451973339195,-0.07856188388107122
2023-04-28,-0.015973427777128513,-0.015973427777128513,0.0,0.0,0.0,1.1188826879949754,-0.09328040907999025
2023-05-05,0.0027990230734260546,0.0027990230734260546,0.0,0.0,0.0,1.1220144664551304,-0.09074248002387764
