scope,quintile,n,mean_fwd,median_sig
all,1,222,0.009538483007897934,-1.6316603469536697
all,2,221,0.00972394964570173,-0.3787325423806963
all,3,221,0.012330092081211054,0.15784613063604758
all,4,221,0.009243291228927716,0.7215810773795058
all,5,221,0.0027183179441985336,1.2735545362069232
neutral_mixed,1,99,0.017521944645942422,-1.4709739001043547
neutral_mixed,2,131,0.010242931264718909,-0.037185218957847585
neutral_mixed,3,65,0.015969776080505507,0.27906508990797374
neutral_mixed,4,98,0.006878689274103943,0.7166229356129523
neutral_mixed,5,98,0.0015657340641805203,1.3167053212419777
calm_trend,1,59,0.012507044976056812,-0.9669866881175807
calm_trend,2,59,0.0016511615408117493,0.0
calm_trend,3,59,0.00615066801748972,0.49899174325065443
calm_trend,4,59,0.010832404612860093,0.8641279681595302
calm_trend,5,59,0.0020413825713898846,1.2310096334286487
stressed_panic,1,46,0.011660766482104647,-2.2412819960253945
stressed_panic,2,45,0.0037920876902732257,-1.5715729694380196
stressed_panic,3,46,-0.0007758265255049282,-0.802604525161587
stressed_panic,4,45,0.007342909527115873,-0.1855698367572908
stressed_panic,5,46,0.01249948171537483,0.823450807808145
recovery_fragile,1,10,0.01048115494019558,-1.3226786345746517
recovery_fragile,2,10,0.02311057491976811,-0.08565580786115176
recovery_fragile,3,9,0.029493909974505864,0.5221210218999102
recovery_fragile,4,10,0.007741224553933368,0.9300586509226646
recovery_fragile,5,10,0.00688965526607932,1.5473774743159299
recovery_confirmed,1,9,0.021367241035363423,-0.37160448596900153
recovery_confirmed,2,8,0.016438232873113676,0.34024004404599606
recovery_confirmed,3,9,0.010776713201571487,0.7463663867784271
recovery_confirmed,4,8,0.00035169126611049595,1.0159468712154647
recovery_confirmed,5,9,-0.0014338835841104884,1.290133330583436
