component,scope,spearman_ic,n
leadership_breadth,full,-0.050534070924196414,1092
leadership_breadth,dev,-0.05237217928331947,992
leadership_breadth,holdout,-0.017814122558506087,100
leadership_breadth,state_calm_trend,-0.026524427467988658,295
leadership_breadth,state_neutral_mixed,-0.10403274031716887,477
leadership_breadth,state_recovery_confirmed,0.026838729492850655,43
leadership_breadth,state_recovery_fragile,0.15347153830363097,49
leadership_breadth,state_stressed_panic,-0.03613100251185323,228
leadership_concentration,full,-0.012348472227485453,1092
leadership_concentration,dev,-0.021148139477645198,992
leadership_concentration,holdout,0.08586190446541789,100
leadership_concentration,state_calm_trend,-0.0021649752234802443,295
leadership_concentration,state_neutral_mixed,-0.0006805365449477745,477
leadership_concentration,state_recovery_confirmed,0.17847487737292847,43
leadership_concentration,state_recovery_fragile,0.20022714374157438,49
leadership_concentration,state_stressed_panic,-0.1269210369036384,228
leadership_type_quality,full,-0.08101320747874746,1092
leadership_type_quality,dev,-0.08915560884724573,992
leadership_type_quality,holdout,0.013424631289605592,100
leadership_type_quality,state_calm_trend,-0.09010234457320401,295
leadership_type_quality,state_neutral_mixed,-0.12391347223056809,477
leadership_type_quality,state_recovery_confirmed,-0.20399532452455627,43
leadership_type_quality,state_recovery_fragile,0.026684354201392136,49
leadership_type_quality,state_stressed_panic,0.023387002059405713,228
leadership_rotation_persistence,full,0.027113720015700928,1088
leadership_rotation_persistence,dev,0.017897255582263336,988
leadership_rotation_persistence,holdout,0.13908513605438946,100
leadership_rotation_persistence,state_calm_trend,0.07685012562813424,295
leadership_rotation_persistence,state_neutral_mixed,-0.07975517263382643,473
leadership_rotation_persistence,state_recovery_confirmed,-0.1971895192456222,43
leadership_rotation_persistence,state_recovery_fragile,-0.1261036019619157,49
leadership_rotation_persistence,state_stressed_panic,0.18557680641586663,228
credit_equity_alignment,full,-0.01380374501269633,1105
credit_equity_alignment,dev,-0.020439237915851605,1005
credit_equity_alignment,holdout,0.02756838335144456,100
credit_equity_alignment,state_calm_trend,-0.004669503103697077,295
credit_equity_alignment,state_neutral_mixed,-0.01083936903938301,490
credit_equity_alignment,state_recovery_confirmed,-0.14030589761797344,43
credit_equity_alignment,state_recovery_fragile,-0.1052101662329309,49
credit_equity_alignment,state_stressed_panic,0.03143066189624942,228
