input,nonmissing_assets,total_assets,current_output_available
xsmom_global,35,35,True
xsmom_raw_return_52_4w,35,35,True
multi_mom_invvol,35,35,True
residual_momentum,35,35,True
reversal_4w_global,35,35,True
quality_proxy,35,35,True
value_proxy,35,35,True
bab_proxy,35,35,True
carry_proxy,31,35,True
regime_features,12,12,True
