portfolio,state,ann_return,sharpe,max_drawdown,delta_ann_return_vs_ggg1,avg_defense_component,avg_offense_component,avg_cash_bil_sleeve
improved_phase2_aggressive_neutral_cash_unlock,calm_trend,0.041268,0.517105,-0.139793,0.0004,0.2905,0.0898,0.0303
improved_phase2_aggressive_calm_offense_unlock,calm_trend,0.038689,0.463799,-0.147356,-0.0022,0.2387,0.1031,0.0393
improved_phase2_aggressive_recovery_confirmed_boost,calm_trend,0.041392,0.523194,-0.136577,0.0005,0.29,0.0854,0.0361
improved_phase2_aggressive_nonstressed_offense_mandate,calm_trend,0.039527,0.473505,-0.147014,-0.0013,0.2369,0.1026,0.0331
improved_phase2_aggressive_balanced_mandate,calm_trend,0.039853,0.482961,-0.145977,-0.001,0.2548,0.1002,0.0323
improved_phase2_aggressive_stretch_mandate,calm_trend,0.038545,0.455013,-0.150163,-0.0023,0.218,0.1082,0.0343
ggg1,calm_trend,0.040851,0.513625,-0.139322,0.0,,,
