portfolio,state,n_weeks,label,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY
improved_phase2_aggressive_neutral_cash_unlock,neutral_mixed,493,improved_phase2_aggressive_neutral_cash_unlock,0.117435,0.079954,1.468792,-0.097213,1.208013,-0.025602,-0.073128,-0.071446,0.2268,0.0689
improved_phase2_aggressive_neutral_cash_unlock,calm_trend,295,improved_phase2_aggressive_neutral_cash_unlock,0.041268,0.079806,0.517105,-0.139793,0.29521,-0.027137,-0.067186,-0.074348,0.1052,0.0803
improved_phase2_aggressive_neutral_cash_unlock,stressed_panic,229,improved_phase2_aggressive_neutral_cash_unlock,0.035563,0.077812,0.457031,-0.130394,0.272732,-0.024113,-0.119506,-0.109933,0.5218,0.0261
improved_phase2_aggressive_neutral_cash_unlock,recovery_fragile,49,improved_phase2_aggressive_neutral_cash_unlock,0.069606,0.060179,1.156644,-0.032387,2.149203,-0.017249,-0.027489,-0.019219,0.1476,0.0554
improved_phase2_aggressive_neutral_cash_unlock,recovery_confirmed,44,improved_phase2_aggressive_neutral_cash_unlock,0.026741,0.077157,0.346583,-0.05393,0.495847,-0.022877,-0.035128,-0.048619,0.084,0.0573
improved_phase2_aggressive_calm_offense_unlock,neutral_mixed,493,improved_phase2_aggressive_calm_offense_unlock,0.11352,0.07722,1.470078,-0.091372,1.242389,-0.024779,-0.070705,-0.068338,0.2582,0.0665
improved_phase2_aggressive_calm_offense_unlock,calm_trend,295,improved_phase2_aggressive_calm_offense_unlock,0.038689,0.083418,0.463799,-0.147356,0.262558,-0.028509,-0.068408,-0.079224,0.0953,0.0827
improved_phase2_aggressive_calm_offense_unlock,stressed_panic,229,improved_phase2_aggressive_calm_offense_unlock,0.035749,0.075998,0.470389,-0.125922,0.283897,-0.023507,-0.116035,-0.106468,0.5308,0.0255
improved_phase2_aggressive_calm_offense_unlock,recovery_fragile,49,improved_phase2_aggressive_calm_offense_unlock,0.066745,0.058352,1.143832,-0.032148,2.076166,-0.017114,-0.027488,-0.020455,0.17,0.0544
improved_phase2_aggressive_calm_offense_unlock,recovery_confirmed,44,improved_phase2_aggressive_calm_offense_unlock,0.026788,0.074817,0.358047,-0.053793,0.497983,-0.022095,-0.033817,-0.048164,0.1124,0.056
improved_phase2_aggressive_recovery_confirmed_boost,neutral_mixed,493,improved_phase2_aggressive_recovery_confirmed_boost,0.112062,0.07696,1.456116,-0.091274,1.227759,-0.024801,-0.070496,-0.068133,0.2622,0.0658
improved_phase2_aggressive_recovery_confirmed_boost,calm_trend,295,improved_phase2_aggressive_recovery_confirmed_boost,0.041392,0.079113,0.523194,-0.136577,0.303065,-0.026758,-0.067161,-0.073889,0.1111,0.0801
improved_phase2_aggressive_recovery_confirmed_boost,stressed_panic,229,improved_phase2_aggressive_recovery_confirmed_boost,0.035699,0.074454,0.479474,-0.12153,0.293745,-0.023124,-0.111288,-0.101699,0.5314,0.0251
improved_phase2_aggressive_recovery_confirmed_boost,recovery_fragile,49,improved_phase2_aggressive_recovery_confirmed_boost,0.068938,0.058507,1.178286,-0.031207,2.209029,-0.017042,-0.027195,-0.019826,0.1707,0.0541
