portfolio,window,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,active_return_vs_spy,active_return_vs_ggg1
improved_phase2_aggressive_neutral_cash_unlock,full,0.0464,-0.1308,-0.0321,-0.0716,-0.0455,0.0025
improved_phase2_aggressive_neutral_cash_unlock,holdout_2016,0.0612,-0.1451,-0.0595,-0.1225,-0.0709,0.002
improved_phase2_aggressive_neutral_cash_unlock,holdout_2020,0.0658,-0.1397,-0.0674,-0.1422,-0.0613,0.0017
improved_phase2_aggressive_neutral_cash_unlock,holdout_2021,0.0932,-0.1452,-0.0363,-0.0743,-0.0433,0.0027
improved_phase2_aggressive_neutral_cash_unlock,bear_2022,0.0421,0.0449,0.0135,0.0482,0.1508,0.0017
improved_phase2_aggressive_neutral_cash_unlock,recovery_2023,0.1369,-0.2437,-0.0755,-0.13,-0.0669,0.0039
improved_phase2_aggressive_calm_offense_unlock,full,0.0443,-0.1277,-0.0313,-0.0705,-0.048,0.0002
improved_phase2_aggressive_calm_offense_unlock,holdout_2016,0.0591,-0.142,-0.0584,-0.122,-0.0733,-0.0002
improved_phase2_aggressive_calm_offense_unlock,holdout_2020,0.0643,-0.1367,-0.0663,-0.1418,-0.0636,-0.0004
improved_phase2_aggressive_calm_offense_unlock,holdout_2021,0.0913,-0.1437,-0.0351,-0.0731,-0.045,0.0012
improved_phase2_aggressive_calm_offense_unlock,bear_2022,0.0375,0.0425,0.0122,0.0456,0.1499,0.0009
improved_phase2_aggressive_calm_offense_unlock,recovery_2023,0.1348,-0.2354,-0.0716,-0.1265,-0.071,0.0004
improved_phase2_aggressive_recovery_confirmed_boost,full,0.0449,-0.1267,-0.031,-0.0713,-0.0481,0.0001
improved_phase2_aggressive_recovery_confirmed_boost,holdout_2016,0.0603,-0.1407,-0.0573,-0.1218,-0.0731,-0.0001
improved_phase2_aggressive_recovery_confirmed_boost,holdout_2020,0.0653,-0.1374,-0.0651,-0.142,-0.0627,0.0004
improved_phase2_aggressive_recovery_confirmed_boost,holdout_2021,0.0905,-0.1416,-0.0344,-0.0723,-0.0464,-0.0
improved_phase2_aggressive_recovery_confirmed_boost,bear_2022,0.0358,0.0425,0.0118,0.0444,0.1489,-0.0001
improved_phase2_aggressive_recovery_confirmed_boost,recovery_2023,0.134,-0.2347,-0.0703,-0.1249,-0.0716,-0.0002
improved_phase2_aggressive_nonstressed_offense_mandate,full,0.0456,-0.1335,-0.0327,-0.071,-0.0448,0.0032
improved_phase2_aggressive_nonstressed_offense_mandate,holdout_2016,0.0601,-0.1463,-0.0602,-0.1205,-0.0711,0.0018
improved_phase2_aggressive_nonstressed_offense_mandate,holdout_2020,0.0648,-0.141,-0.0681,-0.1391,-0.0614,0.0016
improved_phase2_aggressive_nonstressed_offense_mandate,holdout_2021,0.093,-0.1494,-0.0367,-0.0733,-0.0417,0.0042
improved_phase2_aggressive_nonstressed_offense_mandate,bear_2022,0.0471,0.0437,0.0143,0.0506,0.1546,0.0056
improved_phase2_aggressive_nonstressed_offense_mandate,recovery_2023,0.1343,-0.2484,-0.0766,-0.1284,-0.0667,0.0041
improved_phase2_aggressive_balanced_mandate,full,0.046,-0.1325,-0.0325,-0.0713,-0.045,0.003
improved_phase2_aggressive_balanced_mandate,holdout_2016,0.0607,-0.146,-0.0601,-0.1215,-0.0709,0.002
improved_phase2_aggressive_balanced_mandate,holdout_2020,0.0655,-0.1401,-0.068,-0.1406,-0.0613,0.0017
improved_phase2_aggressive_balanced_mandate,holdout_2021,0.094,-0.1472,-0.0364,-0.0734,-0.042,0.0039
improved_phase2_aggressive_balanced_mandate,bear_2022,0.046,0.044,0.0143,0.0505,0.1537,0.0047
improved_phase2_aggressive_balanced_mandate,recovery_2023,0.1366,-0.2448,-0.0758,-0.1288,-0.0667,0.0041
improved_phase2_aggressive_stretch_mandate,full,0.0457,-0.1348,-0.0329,-0.0705,-0.0442,0.0037
improved_phase2_aggressive_stretch_mandate,holdout_2016,0.06,-0.1469,-0.0606,-0.1194,-0.0708,0.002
improved_phase2_aggressive_stretch_mandate,holdout_2020,0.0647,-0.1409,-0.0685,-0.1376,-0.0615,0.0015
improved_phase2_aggressive_stretch_mandate,holdout_2021,0.0939,-0.1506,-0.0369,-0.0727,-0.0407,0.0051
improved_phase2_aggressive_stretch_mandate,bear_2022,0.0509,0.0438,0.0153,0.0529,0.1567,0.0078
improved_phase2_aggressive_stretch_mandate,recovery_2023,0.1345,-0.2509,-0.0777,-0.1287,-0.0658,0.0049
ggg1,full,0.0451,-0.1262,-0.0308,-0.071,-0.0482,0.0
ggg1,holdout_2016,0.0605,-0.1406,-0.0575,-0.1224,-0.073,0.0
ggg1,holdout_2020,0.0655,-0.1362,-0.0653,-0.1429,-0.0632,0.0
ggg1,holdout_2021,0.0914,-0.1404,-0.0343,-0.0726,-0.0463,0.0
ggg1,bear_2022,0.0362,0.0425,0.012,0.0452,0.149,0.0
ggg1,recovery_2023,0.136,-0.2322,-0.0703,-0.1257,-0.0714,0.0
prod_pin,full,0.0433,-0.1227,-0.0249,-0.0561,-0.0505,-0.0022
prod_pin,holdout_2016,0.0621,-0.1187,-0.0419,-0.0908,-0.0807,-0.0071
