portfolio,state,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
improved_phase2_aggressive_neutral_cash_unlock,calm_trend,0.1232,0.1138,0.2034,0.0898,0.2905,0.149,0.0303
improved_phase2_aggressive_neutral_cash_unlock,neutral_mixed,0.0927,0.1128,0.1585,0.118,0.2141,0.1125,0.1915
improved_phase2_aggressive_neutral_cash_unlock,recovery_confirmed,0.0596,0.1688,0.1389,0.2321,0.2282,0.1246,0.0478
improved_phase2_aggressive_neutral_cash_unlock,recovery_fragile,0.1038,0.1246,0.1624,0.1296,0.2469,0.127,0.1057
improved_phase2_aggressive_neutral_cash_unlock,stressed_panic,0.0562,0.0627,0.1073,0.0498,0.1521,0.0731,0.4988
improved_phase2_aggressive_calm_offense_unlock,calm_trend,0.1382,0.1222,0.2349,0.1031,0.2387,0.1235,0.0393
improved_phase2_aggressive_calm_offense_unlock,neutral_mixed,0.0922,0.1102,0.1571,0.1153,0.1934,0.1029,0.2289
improved_phase2_aggressive_calm_offense_unlock,recovery_confirmed,0.0592,0.1642,0.1354,0.2231,0.2156,0.1181,0.0843
improved_phase2_aggressive_calm_offense_unlock,recovery_fragile,0.1017,0.1212,0.1579,0.1268,0.2393,0.1229,0.1302
improved_phase2_aggressive_calm_offense_unlock,stressed_panic,0.0562,0.0619,0.1064,0.0492,0.1465,0.0706,0.5092
improved_phase2_aggressive_recovery_confirmed_boost,calm_trend,0.1232,0.1124,0.2039,0.0854,0.29,0.149,0.0361
improved_phase2_aggressive_recovery_confirmed_boost,neutral_mixed,0.0891,0.1097,0.1511,0.1161,0.1994,0.1053,0.2293
improved_phase2_aggressive_recovery_confirmed_boost,recovery_confirmed,0.0562,0.1766,0.1394,0.2471,0.188,0.1011,0.0916
improved_phase2_aggressive_recovery_confirmed_boost,recovery_fragile,0.1012,0.1218,0.1563,0.1324,0.2367,0.1207,0.1309
improved_phase2_aggressive_recovery_confirmed_boost,stressed_panic,0.0554,0.0612,0.1047,0.0487,0.149,0.0717,0.5092
improved_phase2_aggressive_nonstressed_offense_mandate,calm_trend,0.1411,0.123,0.2409,0.1026,0.2369,0.1225,0.0331
improved_phase2_aggressive_nonstressed_offense_mandate,neutral_mixed,0.1015,0.1184,0.1754,0.1281,0.1859,0.098,0.1927
improved_phase2_aggressive_nonstressed_offense_mandate,recovery_confirmed,0.0603,0.181,0.149,0.2558,0.196,0.1033,0.0546
improved_phase2_aggressive_nonstressed_offense_mandate,recovery_fragile,0.1063,0.1293,0.1669,0.137,0.2347,0.119,0.1068
improved_phase2_aggressive_nonstressed_offense_mandate,stressed_panic,0.0585,0.0633,0.1126,0.051,0.1457,0.0701,0.4988
improved_phase2_aggressive_balanced_mandate,calm_trend,0.1344,0.1202,0.2269,0.1002,0.2548,0.1312,0.0323
improved_phase2_aggressive_balanced_mandate,neutral_mixed,0.0978,0.1157,0.169,0.1227,0.1984,0.1046,0.1919
improved_phase2_aggressive_balanced_mandate,recovery_confirmed,0.0619,0.1698,0.1436,0.234,0.2219,0.1205,0.0483
improved_phase2_aggressive_balanced_mandate,recovery_fragile,0.1057,0.1255,0.1664,0.1314,0.2413,0.1238,0.1057
improved_phase2_aggressive_balanced_mandate,stressed_panic,0.0579,0.0636,0.1107,0.0513,0.1471,0.0706,0.4988
improved_phase2_aggressive_stretch_mandate,calm_trend,0.1471,0.1264,0.2529,0.1082,0.218,0.1131,0.0343
improved_phase2_aggressive_stretch_mandate,neutral_mixed,0.1074,0.1214,0.1861,0.1319,0.1729,0.0916,0.1887
improved_phase2_aggressive_stretch_mandate,recovery_confirmed,0.0677,0.1819,0.1621,0.257,0.1815,0.0955,0.0544
improved_phase2_aggressive_stretch_mandate,recovery_fragile,0.1088,0.1333,0.1712,0.1384,0.2294,0.1157,0.1031
improved_phase2_aggressive_stretch_mandate,stressed_panic,0.0594,0.0638,0.1156,0.0511,0.1439,0.0696,0.4967
