portfolio,state,delta_ann_return_vs_ggg1,delta_sharpe_vs_ggg1,delta_max_dd_vs_ggg1,delta_avg_BIL_vs_ggg1
improved_phase2_aggressive_neutral_cash_unlock,neutral_mixed,0.0053,0.0072,-0.006,0.0
improved_phase2_aggressive_neutral_cash_unlock,calm_trend,0.0004,0.0035,-0.0005,0.0
improved_phase2_aggressive_neutral_cash_unlock,stressed_panic,-0.0002,-0.0237,-0.0088,0.0
improved_phase2_aggressive_neutral_cash_unlock,recovery_fragile,0.0029,0.0145,-0.0002,0.0
improved_phase2_aggressive_neutral_cash_unlock,recovery_confirmed,0.001,0.0023,-0.0001,0.0
improved_phase2_aggressive_calm_offense_unlock,neutral_mixed,0.0014,0.0085,-0.0002,0.0
improved_phase2_aggressive_calm_offense_unlock,calm_trend,-0.0022,-0.0498,-0.008,-0.0
improved_phase2_aggressive_calm_offense_unlock,stressed_panic,-0.0001,-0.0103,-0.0043,0.0
improved_phase2_aggressive_calm_offense_unlock,recovery_fragile,0.0001,0.0017,0.0,0.0
improved_phase2_aggressive_calm_offense_unlock,recovery_confirmed,0.0011,0.0138,0.0,0.0
improved_phase2_aggressive_recovery_confirmed_boost,neutral_mixed,-0.0001,-0.0054,-0.0001,0.0
improved_phase2_aggressive_recovery_confirmed_boost,calm_trend,0.0005,0.0096,0.0027,-0.0
improved_phase2_aggressive_recovery_confirmed_boost,stressed_panic,-0.0001,-0.0012,0.0001,-0.0
improved_phase2_aggressive_recovery_confirmed_boost,recovery_fragile,0.0023,0.0362,0.001,0.0
improved_phase2_aggressive_recovery_confirmed_boost,recovery_confirmed,-0.0027,-0.0389,0.0008,-0.0
improved_phase2_aggressive_nonstressed_offense_mandate,neutral_mixed,0.0075,0.0072,-0.0072,0.0
improved_phase2_aggressive_nonstressed_offense_mandate,calm_trend,-0.0013,-0.0401,-0.0077,-0.0
improved_phase2_aggressive_nonstressed_offense_mandate,stressed_panic,-0.0012,-0.049,-0.0147,0.0
improved_phase2_aggressive_nonstressed_offense_mandate,recovery_fragile,0.0089,0.1156,0.0005,-0.0
improved_phase2_aggressive_nonstressed_offense_mandate,recovery_confirmed,0.0012,0.0005,0.0001,0.0
improved_phase2_aggressive_balanced_mandate,neutral_mixed,0.0068,0.0102,-0.0066,-0.0
improved_phase2_aggressive_balanced_mandate,calm_trend,-0.001,-0.0307,-0.0067,-0.0
improved_phase2_aggressive_balanced_mandate,stressed_panic,-0.0004,-0.0351,-0.013,0.0
improved_phase2_aggressive_balanced_mandate,recovery_fragile,0.005,0.0511,-0.0,-0.0
improved_phase2_aggressive_balanced_mandate,recovery_confirmed,0.0025,0.02,0.0002,-0.0
improved_phase2_aggressive_stretch_mandate,neutral_mixed,0.0093,0.0127,-0.0086,-0.0
improved_phase2_aggressive_stretch_mandate,calm_trend,-0.0023,-0.0586,-0.0108,0.0
improved_phase2_aggressive_stretch_mandate,stressed_panic,-0.002,-0.0674,-0.0193,-0.0
improved_phase2_aggressive_stretch_mandate,recovery_fragile,0.0115,0.1563,0.0001,-0.0
improved_phase2_aggressive_stretch_mandate,recovery_confirmed,0.0015,0.0044,-0.0002,-0.0
ggg1,neutral_mixed,0.0,0.0,0.0,
ggg1,calm_trend,0.0,0.0,0.0,
ggg1,stressed_panic,0.0,0.0,0.0,
ggg1,recovery_fragile,0.0,0.0,0.0,
ggg1,recovery_confirmed,0.0,0.0,0.0,
prod_pin,neutral_mixed,-0.0017,0.0006,0.0015,
prod_pin,calm_trend,-0.0053,-0.1294,-0.0254,
prod_pin,stressed_panic,-0.0021,0.016,0.0008,
prod_pin,recovery_fragile,0.0031,0.1747,0.0013,
prod_pin,recovery_confirmed,0.0004,0.0404,0.0041,
