portfolio,classification,reason,full_ann_return,full_sharpe,full_max_dd,holdout_2020_return,holdout_2020_sharpe,bear_2022_return,beats_ggg1_full,beats_ggg1_holdout_2020,mandate_ok,bear_ok,sharpe_ok,disguised_spy,hidden_beta_risk
improved_phase2_aggressive_neutral_cash_unlock,KEEP_AS_AGGRESSIVE_SHADOW,"Beats GGG1 full + holdout, passes mandate guardrails",0.0739,0.9398,-0.125,0.097,1.0607,-0.0114,True,True,True,True,True,False,LOW
improved_phase2_aggressive_calm_offense_unlock,KEEP_AS_AGGRESSIVE_SHADOW,Beats GGG1 full-period but holdout benefit modest or Sharpe marginal,0.0714,0.9171,-0.1275,0.0948,1.0506,-0.0121,True,False,True,True,True,False,HIGH
improved_phase2_aggressive_recovery_confirmed_boost,KEEP_AS_AGGRESSIVE_SHADOW,"Beats GGG1 full + holdout, passes mandate guardrails",0.0715,0.9371,-0.1175,0.0959,1.0837,-0.0131,True,True,True,True,True,False,LOW
improved_phase2_aggressive_nonstressed_offense_mandate,KEEP_AS_AGGRESSIVE_SHADOW,"Beats GGG1 full + holdout, passes mandate guardrails",0.0744,0.9208,-0.1365,0.0966,1.0231,-0.0077,True,True,True,True,True,False,LOW
improved_phase2_aggressive_balanced_mandate,KEEP_AS_AGGRESSIVE_SHADOW,"Beats GGG1 full + holdout, passes mandate guardrails",0.0742,0.9271,-0.1329,0.0968,1.0373,-0.0085,True,True,True,True,True,False,LOW
improved_phase2_aggressive_stretch_mandate,KEEP_AS_AGGRESSIVE_SHADOW,"Beats GGG1 full + holdout, passes mandate guardrails",0.0749,0.914,-0.1427,0.0963,1.0026,-0.0056,True,True,True,True,True,False,LOW
