observable,fit_weeks,mean_probability_pre_break_year,max_probability_within_8_weeks_of_break,mean_probability_after,spike_near_break,level_shift_after_vs_before,detects_transition_at_the_time
dispersion,495,0.4768252338117115,0.7400429518734447,0.24434218965001528,True,-0.2324830441616962,False
average_correlation,495,0.9090504085302284,0.9872835332028259,0.720386444375748,True,-0.1886639641544805,False
breadth,495,0.19329998931942055,0.9313020359371822,0.19023964364323973,True,-0.0030603456761808256,False
volatility,495,0.030745634001613672,0.030554058025482004,0.030304411583958413,False,-0.00044122241765525913,False
