strategy,weeks,return_high_state_annualised,return_low_state_annualised,difference,high_state_weeks
sector_ensemble,188,0.2420725790078846,0.521590505954046,-0.2795179269461614,94
residual_composite,195,0.3235865639920051,0.3793371020097853,-0.05575053801778025,97
cash_conversion_b20,188,0.2522949820540118,0.46315420415666364,-0.21085922210265182,94
growth_top_five,188,0.12408631167995582,0.5522651680880509,-0.4281788564080951,94
