candidate,cutoff,shocked_date,maximum_prefix_difference
residual_momentum_raw_standalone,2023-12-29,2024-01-05,0.0
residual_momentum_vol_managed_standalone,2023-12-29,2024-01-05,0.0
ggg_plus_residual_raw_10,2023-12-29,2024-01-05,0.0
ggg_plus_residual_vol_05,2023-12-29,2024-01-05,0.0
ggg_plus_residual_vol_10,2023-12-29,2024-01-05,0.0
ggg_plus_residual_vol_15,2023-12-29,2024-01-05,0.0
residual_momentum_raw_standalone,2024-12-27,2025-01-03,0.0
residual_momentum_vol_managed_standalone,2024-12-27,2025-01-03,0.0
ggg_plus_residual_raw_10,2024-12-27,2025-01-03,0.0
ggg_plus_residual_vol_05,2024-12-27,2025-01-03,0.0
ggg_plus_residual_vol_10,2024-12-27,2025-01-03,0.0
ggg_plus_residual_vol_15,2024-12-27,2025-01-03,0.0
residual_momentum_raw_standalone,2025-12-26,2026-01-02,0.0
residual_momentum_vol_managed_standalone,2025-12-26,2026-01-02,0.0
ggg_plus_residual_raw_10,2025-12-26,2026-01-02,0.0
ggg_plus_residual_vol_05,2025-12-26,2026-01-02,0.0
ggg_plus_residual_vol_10,2025-12-26,2026-01-02,0.0
ggg_plus_residual_vol_15,2025-12-26,2026-01-02,0.0
