,composite_regime_conditioned,composite_selective_signals,cta_trend_long_only,dual_momentum_topn,taa_10m_sma
composite_regime_conditioned,1.0,0.7769944444860474,0.7520298034665873,0.7799592498316498,0.659540996924204
composite_selective_signals,0.7769944444860474,1.0,0.7399314832883507,0.767142846553454,0.6806284894543774
cta_trend_long_only,0.7520298034665873,0.7399314832883507,1.0,0.8003597600268066,0.8017743260496085
dual_momentum_topn,0.7799592498316498,0.767142846553454,0.8003597600268066,1.0,0.7303687171771586
taa_10m_sma,0.659540996924204,0.6806284894543774,0.8017743260496085,0.7303687171771586,1.0
