group_type,group_value,runs,mean_sharpe,median_sharpe,min_sharpe,max_sharpe,std_sharpe,pct_sharpe_gt_0,pct_beating_simple_momentum,pct_beating_current_production,pct_beating_official_shadow,pct_beating_phase4b,worst_case_max_drawdown,worst_case_cvar_5
overall,overall,18,1.276038782680625,1.6283396006078545,0.15850824609570066,1.9609713800642807,0.6533240726222698,1.0,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.3888888888888889,-0.14563007572051745,-0.04166140782620685
model_type,gru,2,1.7113520739290533,1.7113520739290533,1.6742799293897508,1.7484242184683556,0.03707214453930241,1.0,1.0,1.0,1.0,0.5,-0.07902466346873704,-0.026747430646527667
model_type,lstm,14,1.1824209809263893,1.5863470486853735,0.15850824609570066,1.9609713800642807,0.7104734718600877,1.0,0.7857142857142857,0.5714285714285714,0.5714285714285714,0.42857142857142855,-0.14563007572051745,-0.04166140782620685
model_type,tcn,2,1.4960501037118479,1.4960501037118479,1.4097009355977377,1.582399271825958,0.0863491681141102,1.0,0.5,0.0,0.0,0.0,-0.10483071847271974,-0.0339733920552157
sequence_length,13,2,1.8326274472523267,1.8326274472523267,1.7042835144403727,1.9609713800642807,0.128343932811954,1.0,1.0,1.0,1.0,0.5,-0.07450589154911313,-0.03122666389741487
sequence_length,26,16,1.2064651996091622,1.525404927378166,0.15850824609570066,1.9564779086157091,0.6592139372482935,1.0,0.75,0.5,0.5,0.375,-0.14563007572051745,-0.04166140782620685
seed,0,14,1.1480293273787037,1.4960501037118479,0.15850824609570066,1.9609713800642807,0.6845905204726962,1.0,0.7857142857142857,0.5,0.5,0.2857142857142857,-0.14563007572051745,-0.04166140782620685
seed,1,2,1.7943783456906806,1.7943783456906806,1.773710269546035,1.8150464218353264,0.02066807614464572,1.0,1.0,1.0,1.0,1.0,-0.10364173787058173,-0.03003208013754388
seed,2,2,1.653765406784018,1.653765406784018,1.468410582930374,1.839120230637662,0.185354823853644,1.0,0.5,0.5,0.5,0.5,-0.10782944351955293,-0.03178657751280967
fold,fold_a_2017_2018,2,0.1865012079415641,0.1865012079415641,0.15850824609570066,0.21449416978742752,0.02799296184586343,1.0,1.0,0.0,0.0,0.0,-0.09560614369023135,-0.024548693794024787
fold,fold_b_2019_2020,2,0.3387209704762043,0.3387209704762043,0.19024018951355837,0.4872017514388503,0.14848078096264597,1.0,0.0,0.0,0.0,0.0,-0.14563007572051745,-0.04166140782620685
fold,fold_c_2021_2022,2,0.6378143283328148,0.6378143283328148,0.6067136888616033,0.6689149678040265,0.03110063947121161,1.0,1.0,0.5,0.5,0.5,-0.08531550487182582,-0.033889414329654165
fold,fold_d_2023_2026,12,1.7202187562291735,1.7291123149334386,1.4097009355977377,1.9609713800642807,0.16377389974442788,1.0,0.8333333333333334,0.75,0.75,0.5,-0.10782944351955293,-0.0339733920552157
top_n,10,9,1.276354656467874,1.582399271825958,0.15850824609570066,1.9609713800642807,0.7033648673236684,1.0,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.14563007572051745,-0.04166140782620685
top_n,15,9,1.275722908893376,1.6742799293897508,0.21449416978742752,1.839120230637662,0.5991179780291667,1.0,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.12351043594702638,-0.03781330450145797
