stage,state,n_weeks,avg_offensive_exposure,avg_defensive_exposure,avg_cash_exposure,avg_bil_exposure,avg_spy_exposure,avg_risky_exposure,strong_neutral_share,stage_type
final_etf_weights,calm_trend,295,0.7802874769786681,0.15123183822595013,0.06848068479538143,0.06848068479538143,0.09618626161545958,0.9315193152046186,0.0,etf
final_sleeve_weights,calm_trend,295,0.4860551496231372,0.4804284245936192,0.033516425783243604,0.033516425783243604,,0.9664835742167562,0.0,sleeve
post_layer3_expression_sleeve_weights,calm_trend,295,0.4879091545557444,0.48497220137645886,0.02711864406779661,0.02711864406779661,,0.9728813559322034,0.0,sleeve
post_overlay_pre_lookthrough_sleeve_weights,calm_trend,295,0.4860551496231372,0.4804284245936192,0.033516425783243604,0.033516425783243604,,0.9664835742167562,0.0,sleeve
post_state_tilt_sleeve_weights,calm_trend,295,0.4879091545557444,0.48497220137645886,0.02711864406779661,0.02711864406779661,,0.9728813559322034,0.0,sleeve
raw_hrp_sleeve_weights,calm_trend,295,0.49051973895202267,0.48236161698018054,0.027118644067796616,0.027118644067796616,,0.9728813559322034,0.0,sleeve
final_etf_weights,neutral_healthy_proxy,293,0.6107571265535626,0.17617395615915932,0.21306891728727764,0.21306891728727764,0.08628317246103223,0.7869310827127224,1.0,etf
final_sleeve_weights,neutral_healthy_proxy,293,0.4253970555563971,0.4253695438356003,0.14923340060800244,0.14923340060800244,,0.8507665993919976,1.0,sleeve
post_layer3_expression_sleeve_weights,neutral_healthy_proxy,293,0.44172538803149614,0.4490595949036574,0.10921501706484642,0.10921501706484642,,0.8907849829351536,1.0,sleeve
post_overlay_pre_lookthrough_sleeve_weights,neutral_healthy_proxy,293,0.4253970555563971,0.4253695438356003,0.14923340060800244,0.14923340060800244,,0.8507665993919976,1.0,sleeve
post_state_tilt_sleeve_weights,neutral_healthy_proxy,293,0.44172538803149614,0.4490595949036574,0.10921501706484642,0.10921501706484642,,0.8907849829351536,1.0,sleeve
raw_hrp_sleeve_weights,neutral_healthy_proxy,293,0.4411874352773824,0.449597547657771,0.10921501706484642,0.10921501706484642,,0.8907849829351536,1.0,sleeve
final_etf_weights,neutral_mixed,200,0.45293058142575937,0.16108122966213784,0.3859881889121024,0.3859881889121024,0.06482284412769075,0.6140118110878975,0.0,etf
final_sleeve_weights,neutral_mixed,200,0.34552910137255316,0.3228032596385282,0.3316676389889186,0.3316676389889186,,0.6683323610110814,0.0,sleeve
post_layer3_expression_sleeve_weights,neutral_mixed,200,0.426145520030318,0.39885447996968176,0.175,0.175,,0.825,0.0,sleeve
post_overlay_pre_lookthrough_sleeve_weights,neutral_mixed,200,0.34552910137255316,0.3228032596385282,0.3316676389889186,0.3316676389889186,,0.6683323610110814,0.0,sleeve
post_state_tilt_sleeve_weights,neutral_mixed,200,0.426145520030318,0.39885447996968176,0.175,0.175,,0.825,0.0,sleeve
raw_hrp_sleeve_weights,neutral_mixed,200,0.4288912451241188,0.3961087548758811,0.175,0.175,,0.825,0.0,sleeve
final_etf_weights,recovery_confirmed,44,0.5818031228389988,0.29251966965349946,0.12567720750750142,0.12567720750750142,0.05956006771272775,0.8743227924924988,0.0,etf
final_sleeve_weights,recovery_confirmed,44,0.42720297040177857,0.5089594139417021,0.06383761565651912,0.06383761565651912,,0.9361623843434809,0.0,sleeve
post_layer3_expression_sleeve_weights,recovery_confirmed,44,0.45642401959679657,0.5435759804032032,2.523234146875355e-18,2.523234146875355e-18,,1.0,0.0,sleeve
post_overlay_pre_lookthrough_sleeve_weights,recovery_confirmed,44,0.42720297040177857,0.5089594139417021,0.06383761565651912,0.06383761565651912,,0.9361623843434809,0.0,sleeve
post_state_tilt_sleeve_weights,recovery_confirmed,44,0.45642401959679657,0.5435759804032032,2.523234146875355e-18,2.523234146875355e-18,,1.0,0.0,sleeve
raw_hrp_sleeve_weights,recovery_confirmed,44,0.4521330158049153,0.5478669841950846,0.0,0.0,,1.0,0.0,sleeve
final_etf_weights,recovery_fragile,49,0.5619989634857996,0.21978313618133272,0.21821790033286736,0.21821790033286736,0.06231161074691929,0.7817820996671325,0.0,etf
final_sleeve_weights,recovery_fragile,49,0.45843794814584216,0.418048881109759,0.12351317074439862,0.12351317074439862,,0.8764868292556013,0.0,sleeve
post_layer3_expression_sleeve_weights,recovery_fragile,49,0.5358094543734097,0.4641905456265901,2.265761274745217e-18,2.265761274745217e-18,,1.0,0.0,sleeve
post_overlay_pre_lookthrough_sleeve_weights,recovery_fragile,49,0.45843794814584216,0.418048881109759,0.12351317074439862,0.12351317074439862,,0.8764868292556013,0.0,sleeve
post_state_tilt_sleeve_weights,recovery_fragile,49,0.5358094543734097,0.4641905456265901,9.063045098980867e-18,9.063045098980867e-18,,1.0,0.0,sleeve
raw_hrp_sleeve_weights,recovery_fragile,49,0.5263897406549906,0.4736102593450092,6.7972838242356506e-18,6.7972838242356506e-18,,1.0,0.0,sleeve
final_etf_weights,stressed_panic,229,0.2621469133461832,0.130439388269325,0.6074136983844914,0.6074136983844914,0.027539553880161514,0.39258630161550856,0.0,etf
final_sleeve_weights,stressed_panic,229,0.2419112275012731,0.24876405057846637,0.5093247219202602,0.5093247219202602,,0.4906752780797398,0.0,sleeve
post_layer3_expression_sleeve_weights,stressed_panic,229,0.4752508105317486,0.5160155650141028,0.008733624454148473,0.008733624454148473,,0.9912663755458515,0.0,sleeve
post_overlay_pre_lookthrough_sleeve_weights,stressed_panic,229,0.2419112275012731,0.24876405057846637,0.5093247219202602,0.5093247219202602,,0.4906752780797398,0.0,sleeve
post_state_tilt_sleeve_weights,stressed_panic,229,0.4752508105317486,0.5160155650141027,0.00873362445414848,0.00873362445414848,,0.9912663755458515,0.0,sleeve
raw_hrp_sleeve_weights,stressed_panic,229,0.49532074891336914,0.49594562663248215,0.008733624454148478,0.008733624454148478,,0.9912663755458515,0.0,sleeve
