sector,decision_rows,unique_ciks,validated_price_rows,companyfacts_rows,single_ticker_rows,validated_price_coverage,companyfacts_coverage,single_ticker_coverage
agriculture_forestry_fishing,181,17,165,181,151,0.9116022099447514,1.0,0.8342541436464088
construction,633,50,619,633,503,0.9778830963665087,1.0,0.7946287519747235
energy,1431,128,1376,1431,1130,0.9615653389238294,1.0,0.7896575821104123
finance_insurance_real_estate,9635,817,9357,9635,6352,0.9711468604047743,1.0,0.6592631032693306
manufacturing,11565,1004,11282,11565,9660,0.9755296152183311,1.0,0.8352788586251622
materials_and_mining,313,27,313,313,247,1.0,1.0,0.7891373801916933
retail_trade,2402,196,2263,2402,2037,0.9421315570358035,1.0,0.8480432972522898
services,4101,360,3907,4101,3345,0.9526944647646916,1.0,0.8156547183613753
technology,6087,519,5942,6087,5068,0.9761787415804173,1.0,0.8325940528996222
transport_communications_utilities,3054,258,2956,3054,2243,0.9679109364767517,1.0,0.7344466273739358
wholesale_trade,882,72,864,882,702,0.9795918367346939,1.0,0.7959183673469388
